Orthogroup	Prar	Syar
OG0000001	Prar.g_00926	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prar.g_01525	Syar.g_02051
OG0000004	Prar.g_00095	Syar.g_02225, Syar.g_00842
OG0000005	Prar.g_01130	Syar.g_02952
OG0000005	Prar.g_00771	Syar.g_02909
OG0000006	Prar.g_00086	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prar.g_01328	Syar.g_01491
OG0000007	Prar.g_01143	Syar.g_02929
OG0000008	Prar.g_01185	Syar.g_02097
OG0000008	Prar.g_01502	Syar.g_00419, Syar.g_02048
OG0000009	Prar.g_00223	Syar.g_03116
OG0000010	Prar.g_01567, Prar.g_01912	Syar.g_01272
OG0000012	Prar.g_01453	Syar.g_00690, Syar.g_02860
OG0000013	Prar.g_00260	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prar.g_00281	Syar.g_00825
OG0000015	Prar.g_01179	Syar.g_00451, Syar.g_00180
OG0000016	Prar.g_00025	Syar.g_02859
OG0000017	Prar.g_01428	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Prar.g_01282	Syar.g_01409
OG0000019	Prar.g_00078, Prar.g_01663	Syar.g_00163
OG0000022	Prar.g_01300	Syar.g_00835
OG0000025	Prar.g_00256, Prar.g_01718	Syar.g_01811
OG0000026	Prar.g_00007, Prar.g_01919	Syar.g_00505
OG0000027	Prar.g_00520	Syar.g_02055, Syar.g_02835
OG0000028	Prar.g_00985, Prar.g_00267	Syar.g_00718
OG0000031	Prar.g_00879	Syar.g_00714
OG0000032	Prar.g_00886	Syar.g_00543
OG0000034	Prar.g_00945	Syar.g_00074, Syar.g_02790
OG0000035	Prar.g_00339	Syar.g_02809
OG0000037	Prar.g_00219	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prar.g_00702	Syar.g_00334, Syar.g_00336
OG0000039	Prar.g_01516	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prar.g_00715	Syar.g_02831
OG0000040	Prar.g_01283	Syar.g_00858
OG0000041	Prar.g_00602	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prar.g_00660	Syar.g_00595, Syar.g_01970
OG0000044	Prar.g_01172	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prar.g_01583	Syar.g_02592
OG0000048	Prar.g_00435	Syar.g_00213
