Orthogroup	Syad	Prbd
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prbd.g_01779
OG0000002	Syad.g_00619	Prbd.g_01771, Prbd.g_00566
OG0000004	Syad.g_01304	Prbd.g_00549
OG0000004	Syad.g_02184, Syad.g_00810	Prbd.g_01007
OG0000005	Syad.g_02639	Prbd.g_01512
OG0000005	Syad.g_02596	Prbd.g_01612
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prbd.g_00998
OG0000007	Syad.g_00923	Prbd.g_00745
OG0000007	Syad.g_02623	Prbd.g_01525
OG0000009	Syad.g_01952, Syad.g_00868	Prbd.g_01887, Prbd.g_01576
OG0000009	Syad.g_02799	Prbd.g_01139
OG0000010	Syad.g_02354	Prbd.g_00348
OG0000011	Syad.g_02006	Prbd.g_01859
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Prbd.g_00621
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prbd.g_00912
OG0000014	Syad.g_00480	Prbd.g_00933
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prbd.g_00065, Prbd.g_00826
OG0000016	Syad.g_00176	Prbd.g_01224
OG0000017	Syad.g_01084, Syad.g_01091	Prbd.g_00646
OG0000018	Syad.g_02306	Prbd.g_00449
OG0000019	Syad.g_00569	Prbd.g_00990, Prbd.g_00082
OG0000020	Syad.g_00845	Prbd.g_00406
OG0000021	Syad.g_01835, Syad.g_00874	Prbd.g_01546, Prbd.g_00874
OG0000022	Syad.g_02090	Prbd.g_00423
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbd.g_00879
OG0000024	Syad.g_01374	Prbd.g_00045, Prbd.g_00569
OG0000025	Syad.g_01241	Prbd.g_00908, Prbd.g_00137
OG0000026	Syad.g_00198	Prbd.g_01206, Prbd.g_00355
OG0000027	Syad.g_01257	Prbd.g_00772, Prbd.g_01832
OG0000028	Syad.g_00463	Prbd.g_01864, Prbd.g_00919
OG0000029	Syad.g_02099	Prbd.g_00052, Prbd.g_00863
OG0000030	Syad.g_00328, Syad.g_00327	Prbd.g_01325
OG0000034	Syad.g_02420, Syad.g_02872	Prbd.g_01791
OG0000035	Syad.g_02275	Prbd.g_01689
OG0000037	Syad.g_02805	Prbd.g_01135
OG0000038	Syad.g_03038	Prbd.g_01283
OG0000039	Syad.g_01249, Syad.g_01111	Prbd.g_00558
OG0000040	Syad.g_00104	Prbd.g_00448
OG0000041	Syad.g_02498, Syad.g_01281	Prbd.g_01478
OG0000042	Syad.g_00333	Prbd.g_01328
OG0000047	Syad.g_00754	Prbd.g_00909
OG0000048	Syad.g_00534	Prbd.g_00439, Prbd.g_00864
OG0000050	Syad.g_02114	Prbd.g_01928
OG0000050	Syad.g_02478	Prbd.g_00375
OG0000053	Syad.g_02302	Prbd.g_01669
OG0000054	Syad.g_02209	Prbd.g_00638
OG0000055	Syad.g_01255	Prbd.g_00083
OG0000057	Syad.g_01301	Prbd.g_00546
OG0000059	Syad.g_00642	Prbd.g_01439
