Orthogroup	Prai	Syai
OG0000001	Prai.g_01235, Prai.g_01356	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prai.g_01363, Prai.g_00707	Syai.g_01728
OG0000004	Prai.g_00724	Syai.g_01994
OG0000004	Prai.g_00243	Syai.g_01062, Syai.g_00530
OG0000005	Prai.g_01651	Syai.g_02393
OG0000005	Prai.g_01538	Syai.g_02356
OG0000006	Prai.g_00252, Prai.g_00254	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prai.g_00527	Syai.g_00657
OG0000007	Prai.g_01638	Syai.g_02378
OG0000008	Prai.g_00701	Syai.g_01956, Syai.g_01955
OG0000009	Prai.g_01578	Syai.g_01626
OG0000009	Prai.g_00105	Syai.g_02541
OG0000010	Prai.g_01292, Prai.g_01067	Syai.g_00864
OG0000012	Prai.g_00652	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Prai.g_00340	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prai.g_00319	Syai.g_00220
OG0000015	Prai.g_01243	Syai.g_01246, Syai.g_01245
OG0000016	Prai.g_00013	Syai.g_00014
OG0000016	Prai.g_01573	Syai.g_01632
OG0000017	Prai.g_00626	Syai.g_00801, Syai.g_00808
OG0000018	Prai.g_01153	Syai.g_00915
OG0000019	Prai.g_00262, Prai.g_00867	Syai.g_00304
OG0000020	Prai.g_01125, Prai.g_01248, Prai.g_00400	Syai.g_00476
OG0000021	Prai.g_00378	Syai.g_00556
OG0000022	Prai.g_01139	Syai.g_01159
OG0000023	Prai.g_00373	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prai.g_00899, Prai.g_00704	Syai.g_01951
OG0000025	Prai.g_00344, Prai.g_00812	Syai.g_02044
OG0000026	Prai.g_00031, Prai.g_01074	Syai.g_00038
OG0000027	Prai.g_00904	Syai.g_01128, Syai.g_01654
OG0000028	Prai.g_01297, Prai.g_00333	Syai.g_00205
OG0000029	Prai.g_00890	Syai.g_01035, Syai.g_01584
OG0000030	Prai.g_01848	Syai.g_00096, Syai.g_00095
OG0000034	Prai.g_01345	Syai.g_02192, Syai.g_02604
OG0000035	Prai.g_01463	Syai.g_00955
OG0000037	Prai.g_00109	Syai.g_02544, Syai.g_02815
OG0000038	Prai.g_01890	Syai.g_02780
OG0000039	Prai.g_00715	Syai.g_02034
OG0000041	Prai.g_01684	Syai.g_02265, Syai.g_02016
OG0000042	Prai.g_01845	Syai.g_00099
OG0000045	Prai.g_00384	Syai.g_02432
OG0000047	Prai.g_00343, Prai.g_00424	Syai.g_00462
OG0000048	Prai.g_00387	Syai.g_00272
OG0000050	Prai.g_01233	Syai.g_01893
OG0000050	Prai.g_01093	Syai.g_01332
OG0000051	Prai.g_00434	Syai.g_01773
OG0000053	Prai.g_01483	Syai.g_00930
OG0000054	Prai.g_00634	Syai.g_01040
OG0000055	Prai.g_00866	Syai.g_02029
OG0000057	Prai.g_00727	Syai.g_01997
OG0000059	Prai.g_01725	Syai.g_00351
OG0000061	Prai.g_01171	Syai.g_02144
OG0000062	Prai.g_01540	Syai.g_02358
OG0000063	Prai.g_00033, Prai.g_01261	Syai.g_00042
OG0000066	Prai.g_00567	Syai.g_01709, Syai.g_00719
OG0000067	Prai.g_00848	Syai.g_01321
OG0000068	Prai.g_01370	Syai.g_00628
OG0000070	Prai.g_00481	Syai.g_02196
OG0000071	Prai.g_01335	Syai.g_02179
OG0000072	Prai.g_00182	Syai.g_02636
OG0000073	Prai.g_00529	Syai.g_00659
OG0000075	Prai.g_01814	Syai.g_00161
OG0000076	Prai.g_01838	Syai.g_00111
OG0000077	Prai.g_00078	Syai.g_02486
OG0000078	Prai.g_00250	Syai.g_00543
OG0000079	Prai.g_00265	Syai.g_00300
OG0000081	Prai.g_00559	Syai.g_00553, Syai.g_02292
OG0000082	Prai.g_00613	Syai.g_00781
OG0000084	Prai.g_01459	Syai.g_01196, Syai.g_00958
OG0000085	Prai.g_01631	Syai.g_02365
OG0000086	Prai.g_00088	Syai.g_02507
OG0000087	Prai.g_00139	Syai.g_02592
OG0000088	Prai.g_00177	Syai.g_02630
OG0000089	Prai.g_00368	Syai.g_00517
OG0000090	Prai.g_00561	Syai.g_00707
OG0000091	Prai.g_00671	Syai.g_01112
OG0000092	Prai.g_01041	Syai.g_01358
OG0000093	Prai.g_01021	Syai.g_01306
OG0000094	Prai.g_00937	Syai.g_01424
OG0000095	Prai.g_00918	Syai.g_02007
OG0000097	Prai.g_01214	Syai.g_01787
OG0000098	Prai.g_01353	Syai.g_01718
OG0000099	Prai.g_01393	Syai.g_00199
OG0000100	Prai.g_01536	Syai.g_01372
OG0000101	Prai.g_01782	Syai.g_00404
OG0000102	Prai.g_01843	Syai.g_00106
OG0000103	Prai.g_01923	Syai.g_02912
OG0000104	Prai.g_01932	Syai.g_02929
OG0000105	Prai.g_00286, Prai.g_00287	Syai.g_00267
OG0000106	Prai.g_00383	Syai.g_01601
OG0000107	Prai.g_00397	Syai.g_00319
OG0000108	Prai.g_00510	Syai.g_00638
OG0000109	Prai.g_00524	Syai.g_00653
OG0000110	Prai.g_00603	Syai.g_00878, Syai.g_00766
OG0000111	Prai.g_00728	Syai.g_00884, Syai.g_01998
OG0000112	Prai.g_00882	Syai.g_01512
OG0000113	Prai.g_00825	Syai.g_01367
OG0000114	Prai.g_01046	Syai.g_01261
OG0000115	Prai.g_01119	Syai.g_00932
OG0000116	Prai.g_01162	Syai.g_02156
OG0000117	Prai.g_01273	Syai.g_01756
OG0000118	Prai.g_01347	Syai.g_00818
OG0000119	Prai.g_01366	Syai.g_02127
OG0000120	Prai.g_01443	Syai.g_00198
OG0000121	Prai.g_01465	Syai.g_00951
OG0000123	Prai.g_01789	Syai.g_00411
OG0000124	Prai.g_01854	Syai.g_00089
OG0000125	Prai.g_01892	Syai.g_02782
OG0000126	Prai.g_01931	Syai.g_02927
OG0000128	Prai.g_00011	Syai.g_00012
OG0000129	Prai.g_00051	Syai.g_02771
OG0000130	Prai.g_00069	Syai.g_02474
OG0000131	Prai.g_00156	Syai.g_02608
OG0000132	Prai.g_00175	Syai.g_02628
OG0000133	Prai.g_00335	Syai.g_01507
OG0000134	Prai.g_00369	Syai.g_00520
OG0000135	Prai.g_00393	Syai.g_02826
OG0000136	Prai.g_00472	Syai.g_02217
OG0000137	Prai.g_00505	Syai.g_00865
OG0000138	Prai.g_00525	Syai.g_00654
OG0000139	Prai.g_00565	Syai.g_00714
OG0000140	Prai.g_00566	Syai.g_00716
OG0000141	Prai.g_00635	Syai.g_01041
OG0000142	Prai.g_00664	Syai.g_01104
OG0000143	Prai.g_00668	Syai.g_01108
OG0000144	Prai.g_00681	Syai.g_01608
OG0000145	Prai.g_00883	Syai.g_00660
OG0000146	Prai.g_00881	Syai.g_01513
OG0000147	Prai.g_00880	Syai.g_01514
OG0000148	Prai.g_00831	Syai.g_01361
OG0000149	Prai.g_00800	Syai.g_02059
OG0000150	Prai.g_00792	Syai.g_00717
OG0000151	Prai.g_01036	Syai.g_01280
OG0000152	Prai.g_00989	Syai.g_01503
OG0000153	Prai.g_00970	Syai.g_01461
OG0000154	Prai.g_00943	Syai.g_01434
OG0000155	Prai.g_01191	Syai.g_02109
OG0000156	Prai.g_01323	Syai.g_02162
OG0000157	Prai.g_01324	Syai.g_02163
OG0000158	Prai.g_01392	Syai.g_00135
OG0000160	Prai.g_01464	Syai.g_00952
OG0000161	Prai.g_01470	Syai.g_00946
OG0000162	Prai.g_01476	Syai.g_00939
OG0000163	Prai.g_01509	Syai.g_02300
OG0000164	Prai.g_01662	Syai.g_02411
OG0000165	Prai.g_01669	Syai.g_02244
OG0000166	Prai.g_01740	Syai.g_00364
OG0000167	Prai.g_01812	Syai.g_00164
OG0000168	Prai.g_01822	Syai.g_00134
OG0000169	Prai.g_01832	Syai.g_00123
OG0000170	Prai.g_01834	Syai.g_00116
OG0000171	Prai.g_01853	Syai.g_00090
OG0000172	Prai.g_01863	Syai.g_00083
OG0000173	Prai.g_01878	Syai.g_00064
OG0000174	Prai.g_01905	Syai.g_02828
OG0000175	Prai.g_01915	Syai.g_02901
OG0000176	Prai.g_00004	Syai.g_00004
OG0000177	Prai.g_00005	Syai.g_00005
OG0000178	Prai.g_00006	Syai.g_00006
OG0000179	Prai.g_00016	Syai.g_00023
OG0000180	Prai.g_00017	Syai.g_00024
OG0000181	Prai.g_00018	Syai.g_00025
OG0000182	Prai.g_00019	Syai.g_00026
OG0000183	Prai.g_00023	Syai.g_00030
OG0000184	Prai.g_00053	Syai.g_02756
OG0000185	Prai.g_00056	Syai.g_02734
OG0000186	Prai.g_00064	Syai.g_02469
OG0000187	Prai.g_00065	Syai.g_02471
OG0000188	Prai.g_00082	Syai.g_00696, Syai.g_02494
OG0000189	Prai.g_00096	Syai.g_02530
