Orthogroup	Syap	Prbc
OG0000004	Syap.g_01987	Prbc.g_00339
OG0000005	Syap.g_01773	Prbc.g_00098
OG0000005	Syap.g_01218	Prbc.g_00788
OG0000007	Syap.g_00275	Prbc.g_01556
OG0000007	Syap.g_00621	Prbc.g_00832
OG0000010	Syap.g_02757	Prbc.g_02115, Prbc.g_01533
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbc.g_01219
OG0000014	Syap.g_01675	Prbc.g_01198
OG0000014	Syap.g_00813	Prbc.g_00680
OG0000016	Syap.g_00071	Prbc.g_01083
OG0000016	Syap.g_00404	Prbc.g_00929
OG0000017	Syap.g_00449	Prbc.g_01681
OG0000018	Syap.g_02010	Prbc.g_01468, Prbc.g_01887
OG0000019	Syap.g_01586	Prbc.g_01836
OG0000025	Syap.g_01846	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000027	Syap.g_01440	Prbc.g_00072
OG0000028	Syap.g_01658	Prbc.g_00653
OG0000030	Syap.g_00787, Syap.g_00788	Prbc.g_00199
OG0000031	Syap.g_00722	Prbc.g_01228
OG0000033	Syap.g_01198	Prbc.g_00402
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbc.g_00575
OG0000035	Syap.g_02465	Prbc.g_00709
OG0000037	Syap.g_02492	Prbc.g_00464
OG0000038	Syap.g_00139	Prbc.g_00995
OG0000039	Syap.g_01749, Syap.g_01748	Prbc.g_01768
OG0000042	Syap.g_01891, Syap.g_01120	Prbc.g_00203
OG0000043	Syap.g_01998	Prbc.g_01953, Prbc.g_00135
OG0000044	Syap.g_00378	Prbc.g_00533
OG0000045	Syap.g_02525	Prbc.g_02137
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prbc.g_01220
OG0000048	Syap.g_02340	Prbc.g_01165
OG0000051	Syap.g_01574	Prbc.g_00088, Prbc.g_00095
OG0000053	Syap.g_02006	Prbc.g_00728
OG0000054	Syap.g_00678	Prbc.g_01683
OG0000059	Syap.g_01082, Syap.g_02478	Prbc.g_00958
OG0000061	Syap.g_00228	Prbc.g_01446
OG0000062	Syap.g_01365	Prbc.g_00790
OG0000063	Syap.g_01796	Prbc.g_00932
OG0000066	Syap.g_01972	Prbc.g_01618
OG0000067	Syap.g_00194	Prbc.g_01858
OG0000068	Syap.g_00108, Syap.g_00144	Prbc.g_00657
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbc.g_01511
OG0000072	Syap.g_00555	Prbc.g_00400
OG0000073	Syap.g_00273	Prbc.g_01579
OG0000075	Syap.g_01064, Syap.g_00664	Prbc.g_00236
OG0000076	Syap.g_01111	Prbc.g_00211
OG0000077	Syap.g_00416	Prbc.g_00495
OG0000079	Syap.g_01589	Prbc.g_01148
OG0000080	Syap.g_01003	Prbc.g_00679
OG0000085	Syap.g_00611	Prbc.g_00826
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbc.g_00432
OG0000088	Syap.g_01202	Prbc.g_00405
OG0000089	Syap.g_00115, Syap.g_02042	Prbc.g_01268
OG0000090	Syap.g_01451	Prbc.g_01612
OG0000091	Syap.g_01861	Prbc.g_01719
OG0000095	Syap.g_01556	Prbc.g_02113
OG0000098	Syap.g_01975	Prbc.g_00585
OG0000099	Syap.g_01385	Prbc.g_01229
OG0000101	Syap.g_00472	Prbc.g_00284
OG0000102	Syap.g_01116	Prbc.g_00206
OG0000103	Syap.g_02607, Syap.g_02608	Prbc.g_01053
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbc.g_01065
OG0000105	Syap.g_01369, Syap.g_01368	Prbc.g_01167
OG0000107	Syap.g_02496	Prbc.g_00934
OG0000108	Syap.g_00733, Syap.g_02255	Prbc.g_01540
OG0000109	Syap.g_00279, Syap.g_02237	Prbc.g_01553
OG0000110	Syap.g_01313	Prbc.g_01654
OG0000111	Syap.g_01566, Syap.g_01568	Prbc.g_01781
OG0000112	Syap.g_02023	Prbc.g_02028
OG0000113	Syap.g_02714	Prbc.g_01882, Prbc.g_00153
OG0000114	Syap.g_01255	Prbc.g_01977
OG0000115	Syap.g_02004	Prbc.g_00801
OG0000116	Syap.g_00241	Prbc.g_01457
OG0000117	Syap.g_01889	Prbc.g_00102
OG0000118	Syap.g_02286	Prbc.g_00577
OG0000120	Syap.g_02075	Prbc.g_01753
OG0000121	Syap.g_02471	Prbc.g_00711
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbc.g_00277
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbc.g_00193
OG0000125	Syap.g_01046, Syap.g_01047	Prbc.g_00997
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prbc.g_01063
