Orthogroup	Syao	Prab
OG0000001	Syao.g_00314	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000004	Syao.g_02374	Prab.g_00700
OG0000004	Syao.g_01271, Syao.g_01007	Prab.g_00223
OG0000005	Syao.g_01680	Prab.g_01682
OG0000005	Syao.g_01578	Prab.g_01542
OG0000006	Syao.g_01518	Prab.g_00231
OG0000007	Syao.g_00105	Prab.g_00501
OG0000007	Syao.g_01554	Prab.g_01669
OG0000009	Syao.g_02598	Prab.g_00096
OG0000010	Syao.g_02683	Prab.g_01104, Prab.g_00478
OG0000011	Syao.g_01282	Prab.g_01624, Prab.g_00799
OG0000012	Syao.g_01193	Prab.g_00627
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prab.g_00315
OG0000014	Syao.g_02027	Prab.g_00294
OG0000014	Syao.g_01136	Prab.g_01444, Prab.g_01445
OG0000015	Syao.g_00302	Prab.g_00789
OG0000016	Syao.g_01955	Prab.g_00013
OG0000017	Syao.g_00997	Prab.g_00602
OG0000018	Syao.g_00071	Prab.g_01201, Prab.g_00867
OG0000019	Syao.g_02108	Prab.g_00239, Prab.g_00820
OG0000021	Syao.g_01002	Prab.g_00354
OG0000022	Syao.g_01218	Prab.g_00782, Prab.g_01182
OG0000023	Syao.g_01266	Prab.g_00348
OG0000025	Syao.g_00436, Syao.g_00437	Prab.g_00874, Prab.g_00319
OG0000026	Syao.g_02234	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syao.g_00202	Prab.g_00914, Prab.g_01616
OG0000028	Syao.g_02012	Prab.g_00308
OG0000030	Syao.g_02189, Syao.g_02188	Prab.g_01867
OG0000031	Syao.g_01083	Prab.g_01446
OG0000033	Syao.g_02507	Prab.g_01400, Prab.g_00160
OG0000035	Syao.g_01486	Prab.g_01466
OG0000037	Syao.g_00374	Prab.g_00100
OG0000038	Syao.g_02440, Syao.g_02442	Prab.g_01908
OG0000039	Syao.g_00704	Prab.g_00691
OG0000042	Syao.g_00019, Syao.g_01941	Prab.g_01864
OG0000045	Syao.g_01214, Syao.g_00148	Prab.g_00360
OG0000047	Syao.g_01899	Prab.g_00318
OG0000048	Syao.g_02077	Prab.g_00411, Prab.g_00363
OG0000051	Syao.g_01261	Prab.g_01304, Prab.g_01643
OG0000052	Syao.g_01085	Prab.g_01423
OG0000053	Syao.g_00067	Prab.g_01486
OG0000059	Syao.g_01959	Prab.g_01754
OG0000060	Syao.g_00312	Prab.g_00784
OG0000061	Syao.g_00123	Prab.g_01219
OG0000063	Syao.g_02230	Prab.g_00033
OG0000065	Syao.g_02600	Prab.g_00098
OG0000066	Syao.g_01422	Prab.g_00543
OG0000067	Syao.g_00756	Prab.g_00840
OG0000068	Syao.g_00868, Syao.g_00036	Prab.g_01360
OG0000069	Syao.g_00313	Prab.g_01585
