Orthogroup	Syao	Syac
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syac.g_00341, Syac.g_00340
OG0000004	Syao.g_02374	Syac.g_00898
OG0000004	Syao.g_01007	Syac.g_00948
OG0000005	Syao.g_01680	Syac.g_00527
OG0000005	Syao.g_01578	Syac.g_00569
OG0000005	Syao.g_01210	Syac.g_01087
OG0000006	Syao.g_00919	Syac.g_01002
OG0000007	Syao.g_00105	Syac.g_01885
OG0000007	Syao.g_01554	Syac.g_00544
OG0000008	Syao.g_01321	Syac.g_00922
OG0000009	Syao.g_02598	Syac.g_01004, Syac.g_00398
OG0000010	Syao.g_02683	Syac.g_01701
OG0000011	Syao.g_01282	Syac.g_00924
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syac.g_00758, Syac.g_01577
OG0000013	Syao.g_01910	Syac.g_02056
OG0000013	Syao.g_01844	Syac.g_02062
OG0000014	Syao.g_02027	Syac.g_00253
OG0000014	Syao.g_01136	Syac.g_00100
OG0000015	Syao.g_00302	Syac.g_01408
OG0000016	Syao.g_01955	Syac.g_00014
OG0000017	Syao.g_01064	Syac.g_01742
OG0000018	Syao.g_00071	Syac.g_01660
OG0000019	Syao.g_02108	Syac.g_02207
OG0000022	Syao.g_01218	Syac.g_01031
OG0000023	Syao.g_01266	Syac.g_00760
OG0000025	Syao.g_00436, Syao.g_00437	Syac.g_00847
OG0000026	Syao.g_02234	Syac.g_00034
OG0000027	Syao.g_01286	Syac.g_01095
OG0000027	Syao.g_00202	Syac.g_01009
OG0000028	Syao.g_02012	Syac.g_00237
OG0000030	Syao.g_02189	Syac.g_00143
OG0000030	Syao.g_02188	Syac.g_00142
OG0000031	Syao.g_02008	Syac.g_00232
OG0000032	Syao.g_00090	Syac.g_01677
OG0000033	Syao.g_02507	Syac.g_00304
OG0000035	Syao.g_01483, Syao.g_01486	Syac.g_01630
OG0000038	Syao.g_02440	Syac.g_02357
