Orthogroup	Prat	Syab
OG0000000	Prat.g_00680, Prat.g_01191	Syab.g_01226
OG0000001	Prat.g_01285, Prat.g_01286	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Syab.g_02285
OG0000004	Prat.g_00772	Syab.g_00549, Syab.g_01193
OG0000004	Prat.g_00236	Syab.g_01911, Syab.g_02377
OG0000005	Prat.g_01440	Syab.g_02806, Syab.g_02232
OG0000006	Prat.g_00248	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prat.g_00458	Syab.g_02117
OG0000007	Prat.g_01592	Syab.g_02256
OG0000008	Prat.g_00376	Syab.g_01755
OG0000008	Prat.g_00377	Syab.g_01168
OG0000009	Prat.g_01451	Syab.g_00995
OG0000010	Prat.g_00682, Prat.g_00662	Syab.g_00696
OG0000011	Prat.g_01532	Syab.g_01491
OG0000013	Prat.g_00334	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prat.g_00314	Syab.g_00249
OG0000014	Prat.g_01267	Syab.g_00178
OG0000015	Prat.g_00701	Syab.g_02889
OG0000016	Prat.g_00014	Syab.g_00014
OG0000016	Prat.g_01219	Syab.g_01049
OG0000017	Prat.g_00560	Syab.g_01953
OG0000017	Prat.g_00567	Syab.g_01945
OG0000018	Prat.g_01177	Syab.g_00742
OG0000019	Prat.g_00255, Prat.g_01180	Syab.g_00344
OG0000020	Prat.g_01470, Prat.g_00617, Prat.g_00648	Syab.g_02230
OG0000022	Prat.g_01448	Syab.g_01825
OG0000023	Prat.g_00834	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prat.g_00622, Prat.g_00749	Syab.g_01834
OG0000025	Prat.g_01003	Syab.g_01705
OG0000026	Prat.g_00033	Syab.g_00036
