Orthogroup	Prak	Other
OG0000024	Prak.g_00325	Praa.g_01409
OG0000034	Prak.g_01369	Praa.g_01447
OG0000054	Prak.g_00601	Prax.g_00457
OG0000056	Prak.g_01228	Prav.g_01388
OG0000056	Prak.g_01228	Prau.g_00749
OG0000069	Prak.g_01430	Prau.g_01475
OG0000069	Prak.g_01430	Prad.g_00572
OG0000073	Prak.g_01072	Pras.g_00327
OG0000079	Prak.g_01476	Prbi.g_01482
OG0000083	Prak.g_00003	Prae.g_01306
OG0000091	Prak.g_00181	Prae.g_01396
OG0000096	Prak.g_00268	Prax.g_00488
OG0000101	Prak.g_00381	Prax.g_01573
OG0000118	Prak.g_01217	Prax.g_01759
OG0000138	Prak.g_01895	Prba.g_01089
OG0001365	Prak.g_00061	Prae.g_01425
OG0001365	Prak.g_00061	Praa.g_01611
