Orthogroup	Syat	Syar
OG0000001	Syat.g_02910, Syat.g_02911	Syar.g_00069
OG0000001	Syat.g_02908, Syat.g_02909	Syar.g_00070
OG0000001	Syat.g_00878	Syar.g_02229
OG0000005	Syat.g_03065	Syar.g_02952
OG0000005	Syat.g_03105	Syar.g_02909
OG0000005	Syat.g_01038	Syar.g_01752
OG0000006	Syat.g_01439, Syat.g_01865	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000006	Syat.g_00371	Syar.g_02439
OG0000007	Syat.g_03191	Syar.g_01491
OG0000007	Syat.g_03124	Syar.g_02929
OG0000008	Syat.g_02626	Syar.g_02097
OG0000008	Syat.g_02627	Syar.g_02098
OG0000009	Syat.g_01567	Syar.g_03116
OG0000010	Syat.g_01372	Syar.g_01272
OG0000012	Syat.g_02642	Syar.g_00690
OG0000012	Syat.g_02987, Syat.g_00139, Syat.g_00143	Syar.g_02860
OG0000013	Syat.g_01027	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syat.g_02104	Syar.g_00825
OG0000014	Syat.g_02250	Syar.g_02736
OG0000015	Syat.g_00775, Syat.g_01677	Syar.g_00180
OG0000016	Syat.g_02329, Syat.g_00909, Syat.g_00222, Syat.g_00832	Syar.g_02859
OG0000017	Syat.g_00015	Syar.g_02188
OG0000018	Syat.g_01334	Syar.g_01409
OG0000019	Syat.g_01876	Syar.g_00163
OG0000022	Syat.g_00210	Syar.g_00835
OG0000025	Syat.g_00719	Syar.g_01811
OG0000026	Syat.g_02306	Syar.g_00505
OG0000027	Syat.g_00850	Syar.g_02055
OG0000028	Syat.g_02126	Syar.g_00718
OG0000031	Syat.g_02131	Syar.g_00714
OG0000032	Syat.g_01354	Syar.g_01390
OG0000032	Syat.g_00349	Syar.g_02465
OG0000032	Syat.g_02237	Syar.g_00543
OG0000033	Syat.g_02858	Syar.g_00105
OG0000034	Syat.g_01165, Syat.g_02902	Syar.g_00074, Syar.g_02790
OG0000035	Syat.g_01227	Syar.g_02809
OG0000037	Syat.g_00849, Syat.g_00187	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syat.g_02688	Syar.g_00334
OG0000038	Syat.g_02686	Syar.g_00336
OG0000039	Syat.g_01278	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Syat.g_02551	Syar.g_00858
OG0000041	Syat.g_03006	Syar.g_02993
OG0000041	Syat.g_00785	Syar.g_01370, Syar.g_02014
OG0000042	Syat.g_00223	Syar.g_00595, Syar.g_01970
OG0000044	Syat.g_00933	Syar.g_02052, Syar.g_02167
OG0000044	Syat.g_01910, Syat.g_00146, Syat.g_03333	Syar.g_01631
OG0000045	Syat.g_00935	Syar.g_02592
OG0000046	Syat.g_01026	Syar.g_01102, Syar.g_01105
