Orthogroup	Prbg	Syar
OG0000001	Prbg.g_00502	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prbg.g_01140	Syar.g_02051
OG0000004	Prbg.g_01014	Syar.g_02225, Syar.g_00842
OG0000005	Prbg.g_00674	Syar.g_02909
OG0000006	Prbg.g_01024	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbg.g_00216	Syar.g_01491
OG0000007	Prbg.g_01650	Syar.g_02929
OG0000008	Prbg.g_00744	Syar.g_02097
OG0000008	Prbg.g_00745	Syar.g_02098
OG0000010	Prbg.g_01053, Prbg.g_01348	Syar.g_01272
OG0000012	Prbg.g_00706	Syar.g_00690, Syar.g_02860
OG0000013	Prbg.g_00104	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbg.g_00086	Syar.g_00825
OG0000015	Prbg.g_01589, Prbg.g_01635	Syar.g_00451, Syar.g_00180
OG0000016	Prbg.g_01544	Syar.g_02859
OG0000017	Prbg.g_00317	Syar.g_03181
OG0000017	Prbg.g_00324	Syar.g_02180
OG0000018	Prbg.g_01508	Syar.g_01409
OG0000019	Prbg.g_01032, Prbg.g_01510	Syar.g_00163
OG0000025	Prbg.g_01195	Syar.g_01811
OG0000026	Prbg.g_00842	Syar.g_00505
OG0000027	Prbg.g_00721, Prbg.g_01569	Syar.g_02055, Syar.g_02835
OG0000028	Prbg.g_00743	Syar.g_00718
OG0000031	Prbg.g_00550	Syar.g_00714
OG0000032	Prbg.g_00630	Syar.g_01390
OG0000033	Prbg.g_00557	Syar.g_00105
OG0000034	Prbg.g_00488	Syar.g_00074, Syar.g_02790
OG0000035	Prbg.g_00591	Syar.g_02809
OG0000037	Prbg.g_00881	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbg.g_01898	Syar.g_00334, Syar.g_00336
OG0000039	Prbg.g_01128	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000041	Prbg.g_01697	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prbg.g_01855	Syar.g_00595, Syar.g_01970
OG0000045	Prbg.g_01530	Syar.g_02592
OG0000046	Prbg.g_00105	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Prbg.g_00464	Syar.g_00213
OG0000051	Prbg.g_00408	Syar.g_01597
OG0000052	Prbg.g_00816	Syar.g_00281
OG0000053	Prbg.g_00612, Prbg.g_01595	Syar.g_01413
OG0000054	Prbg.g_00326	Syar.g_02265
OG0000055	Prbg.g_01624	Syar.g_01386
OG0000057	Prbg.g_01143	Syar.g_01941, Syar.g_00006
OG0000058	Prbg.g_00551	Syar.g_00648
OG0000059	Prbg.g_01737	Syar.g_01024
OG0000061	Prbg.g_01486	Syar.g_01539
OG0000062	Prbg.g_00676	Syar.g_02911
OG0000063	Prbg.g_00730	Syar.g_00509
OG0000064	Prbg.g_00802	Syar.g_03117, Syar.g_00860
OG0000065	Prbg.g_00879	Syar.g_03119
