Orthogroup	Praw	Syap
OG0000001	Praw.g_01000	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Praw.g_01203	Syap.g_01987
OG0000005	Praw.g_00528	Syap.g_01773
OG0000005	Praw.g_00413	Syap.g_01218
OG0000006	Praw.g_01950	Syap.g_02770
OG0000007	Praw.g_00651	Syap.g_00275
OG0000007	Praw.g_00515	Syap.g_00621
OG0000009	Praw.g_01330	Syap.g_02081
OG0000010	Praw.g_01460	Syap.g_02757
OG0000013	Praw.g_00807	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Praw.g_00828	Syap.g_01675
OG0000015	Praw.g_01738	Syap.g_02606, Syap.g_00786
OG0000017	Praw.g_01944	Syap.g_00449
OG0000018	Praw.g_01670	Syap.g_02708
OG0000018	Praw.g_00215	Syap.g_02010
OG0000019	Praw.g_00884, Praw.g_01717	Syap.g_01586
OG0000025	Praw.g_00803, Praw.g_01664	Syap.g_01846
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syap.g_01440
OG0000028	Praw.g_00334, Praw.g_00814	Syap.g_01658
OG0000030	Praw.g_00029	Syap.g_00787, Syap.g_00788
OG0000031	Praw.g_01073	Syap.g_00722
OG0000032	Praw.g_01043	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000034	Praw.g_00991	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Praw.g_01081, Praw.g_01083	Syap.g_02125, Syap.g_02465
OG0000037	Praw.g_01326	Syap.g_02492
OG0000038	Praw.g_01182	Syap.g_00139
OG0000039	Praw.g_01836	Syap.g_01749, Syap.g_01748
OG0000040	Praw.g_00214	Syap.g_01819
OG0000041	Praw.g_00562	Syap.g_01510
OG0000042	Praw.g_00032	Syap.g_01891, Syap.g_01120
OG0000048	Praw.g_00504, Praw.g_00758	Syap.g_02340
OG0000051	Praw.g_00491, Praw.g_00955	Syap.g_01574
OG0000053	Praw.g_00357	Syap.g_02006
OG0000054	Praw.g_00142	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Praw.g_01824	Syap.g_01569
OG0000059	Praw.g_01894	Syap.g_01918
OG0000060	Praw.g_01743	Syap.g_00795
OG0000061	Praw.g_00234	Syap.g_00228
OG0000062	Praw.g_00415	Syap.g_01220
OG0000063	Praw.g_01395	Syap.g_01796
OG0000066	Praw.g_00609	Syap.g_01972
OG0000067	Praw.g_01697	Syap.g_00194
OG0000068	Praw.g_01016	Syap.g_00108, Syap.g_00144
OG0000069	Praw.g_00448	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Praw.g_00697	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Praw.g_00981	Syap.g_01483
OG0000072	Praw.g_01264	Syap.g_00555
OG0000073	Praw.g_00649	Syap.g_01020, Syap.g_00273
OG0000075	Praw.g_00064	Syap.g_01064, Syap.g_00664
OG0000076	Praw.g_00039	Syap.g_01111
OG0000077	Praw.g_01356	Syap.g_00416
OG0000078	Praw.g_01196	Syap.g_01149
OG0000085	Praw.g_00508	Syap.g_00611
OG0000087	Praw.g_01296	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Praw.g_01269	Syap.g_01202
OG0000089	Praw.g_00776	Syap.g_00115, Syap.g_02042
OG0000090	Praw.g_00615	Syap.g_01451
OG0000091	Praw.g_01880	Syap.g_01861
OG0000094	Praw.g_01486	Syap.g_02781
OG0000095	Praw.g_01467	Syap.g_01556
OG0000098	Praw.g_00997	Syap.g_01975
