Orthogroup	Pras	Prbf
OG0000000	Pras.g_00493, Pras.g_00470	Prbf.g_00776
OG0000002	Pras.g_00243	Prbf.g_01182, Prbf.g_01177
OG0000002	Pras.g_01554	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Pras.g_01571	Prbf.g_01264
OG0000004	Pras.g_01084	Prbf.g_01570
OG0000005	Pras.g_00429	Prbf.g_00240
OG0000006	Pras.g_00148, Pras.g_01093	Prbf.g_01580
OG0000007	Pras.g_01375	Prbf.g_01780
OG0000007	Pras.g_00550	Prbf.g_00693
OG0000009	Pras.g_00157	Prbf.g_00252
OG0000010	Pras.g_01352	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Pras.g_01499	Prbf.g_00272, Prbf.g_01905
OG0000013	Pras.g_01179	Prbf.g_01665
OG0000014	Pras.g_01158	Prbf.g_01647
OG0000015	Pras.g_00127	Prbf.g_00754, Prbf.g_00708
OG0000017	Pras.g_01474	Prbf.g_01880
OG0000018	Pras.g_00037	Prbf.g_00896
OG0000018	Pras.g_01728	Prbf.g_01217
OG0000019	Pras.g_01101	Prbf.g_01588
OG0000019	Pras.g_01681	Prbf.g_00894
OG0000020	Pras.g_00001	Prbf.g_00264
OG0000020	Pras.g_00530	Prbf.g_00811
OG0000021	Pras.g_00507, Pras.g_01218	Prbf.g_00265
OG0000022	Pras.g_01662	Prbf.g_00248
OG0000023	Pras.g_01213	Prbf.g_00287
OG0000024	Pras.g_01645	Prbf.g_01052
OG0000024	Pras.g_01551	Prbf.g_01288
OG0000025	Pras.g_01735, Pras.g_01183	Prbf.g_01209
OG0000026	Pras.g_00873, Pras.g_01949	Prbf.g_01354
OG0000027	Pras.g_01348, Pras.g_00185	Prbf.g_00817
OG0000028	Pras.g_00169	Prbf.g_00794
OG0000029	Pras.g_01228	Prbf.g_00603
OG0000029	Pras.g_01653	Prbf.g_00804, Prbf.g_00762
OG0000030	Pras.g_00753	Prbf.g_00484
OG0000031	Pras.g_00331	Prbf.g_00116
OG0000033	Pras.g_01020	Prbf.g_01503
OG0000034	Pras.g_00219	Prbf.g_00015
OG0000037	Pras.g_00960	Prbf.g_01437
OG0000038	Pras.g_00795	Prbf.g_00445
OG0000039	Pras.g_01562	Prbf.g_01276
OG0000041	Pras.g_00597	Prbf.g_00646
OG0000042	Pras.g_00750	Prbf.g_00487
OG0000043	Pras.g_01772	Prbf.g_00897
OG0000045	Pras.g_01224	Prbf.g_00874
OG0000047	Pras.g_01263	Prbf.g_01707
OG0000048	Pras.g_01227	Prbf.g_01611
OG0000052	Pras.g_00285	Prbf.g_00135
OG0000053	Pras.g_00886, Pras.g_00370	Prbf.g_00748, Prbf.g_00178
OG0000054	Pras.g_01482	Prbf.g_01889
OG0000055	Pras.g_01682	Prbf.g_00869
OG0000057	Pras.g_01574	Prbf.g_01261
OG0000058	Pras.g_00291	Prbf.g_00117
OG0000059	Pras.g_00637	Prbf.g_00606
OG0000061	Pras.g_00056	Prbf.g_00918
OG0000062	Pras.g_00431	Prbf.g_00242
OG0000063	Pras.g_00875	Prbf.g_00808
OG0000065	Pras.g_00958	Prbf.g_01435
