Orthogroup	Syak	Praj
OG0000001	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579	Praj.g_01549
OG0000004	Syak.g_01219, Syak.g_00720	Praj.g_01396
OG0000004	Syak.g_00003, Syak.g_02297	Praj.g_00271
OG0000005	Syak.g_02401	Praj.g_01349
OG0000005	Syak.g_02436	Praj.g_01712
OG0000006	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syak.g_02595	Praj.g_00489
OG0000007	Syak.g_02416	Praj.g_01768
OG0000008	Syak.g_00267	Praj.g_01829
OG0000008	Syak.g_00692	Praj.g_01830
OG0000010	Syak.g_01119	Praj.g_01026
OG0000011	Syak.g_00960	Praj.g_01158
OG0000013	Syak.g_01270, Syak.g_01275	Praj.g_00362
OG0000014	Syak.g_01505	Praj.g_00341
OG0000014	Syak.g_01582	Praj.g_01609
OG0000015	Syak.g_01813, Syak.g_00107, Syak.g_00358	Praj.g_01113
OG0000016	Syak.g_01780	Praj.g_00013
OG0000016	Syak.g_00818	Praj.g_01865
OG0000018	Syak.g_01072	Praj.g_01482
OG0000019	Syak.g_01413	Praj.g_00747
OG0000021	Syak.g_00566	Praj.g_01859, Praj.g_00084
OG0000022	Syak.g_00088	Praj.g_01216
OG0000023	Syak.g_00316, Syak.g_00223	Praj.g_01365, Praj.g_01329
OG0000025	Syak.g_00610	Praj.g_00805
OG0000026	Syak.g_01757	Praj.g_00031
OG0000027	Syak.g_00127	Praj.g_01331
OG0000028	Syak.g_01522	Praj.g_01571
OG0000029	Syak.g_00169, Syak.g_00178	Praj.g_01745
OG0000030	Syak.g_01684, Syak.g_01685	Praj.g_02024
OG0000031	Syak.g_01630	Praj.g_00371
OG0000032	Syak.g_01092	Praj.g_01669
OG0000033	Syak.g_02101	Praj.g_00209
OG0000034	Syak.g_00950, Syak.g_02133	Praj.g_01538
OG0000035	Syak.g_01041, Syak.g_01040	Praj.g_01632
OG0000037	Syak.g_02188	Praj.g_00147
OG0000038	Syak.g_01938, Syak.g_01936	Praj.g_02089
OG0000039	Syak.g_00772, Syak.g_01918	Praj.g_00679
OG0000041	Syak.g_02354, Syak.g_00752	Praj.g_01813
OG0000042	Syak.g_00843, Syak.g_01681	Praj.g_02020
OG0000043	Syak.g_00335	Praj.g_01157, Praj.g_00864
OG0000045	Syak.g_00317	Praj.g_01303
OG0000046	Syak.g_01269, Syak.g_01276	Praj.g_00363
OG0000047	Syak.g_01147	Praj.g_00370, Praj.g_00408
OG0000048	Syak.g_01446	Praj.g_00308
OG0000050	Syak.g_00106	Praj.g_01398
OG0000052	Syak.g_01549	Praj.g_00095
OG0000053	Syak.g_01068	Praj.g_01651
OG0000054	Syak.g_02744, Syak.g_02321	Praj.g_00594
OG0000055	Syak.g_00766	Praj.g_00733, Praj.g_01842
OG0000057	Syak.g_00724, Syak.g_01676	Praj.g_01313, Praj.g_00691
OG0000058	Syak.g_01530	Praj.g_00839
OG0000059	Syak.g_01355	Praj.g_01892
OG0000060	Syak.g_01138, Syak.g_02572, Syak.g_00844	Praj.g_01108
OG0000061	Syak.g_00898	Praj.g_01461
OG0000062	Syak.g_02434	Praj.g_01714
OG0000063	Syak.g_01752	Praj.g_01867
OG0000065	Syak.g_02192, Syak.g_00282	Praj.g_00145
OG0000066	Syak.g_02653	Praj.g_00530
OG0000067	Syak.g_00434	Praj.g_00769
OG0000068	Syak.g_02565	Praj.g_01575
OG0000070	Syak.g_01174	Praj.g_00444
OG0000071	Syak.g_02322, Syak.g_00936	Praj.g_01528
OG0000072	Syak.g_02099	Praj.g_00211
OG0000073	Syak.g_02597	Praj.g_00491
OG0000075	Syak.g_01564	Praj.g_01987
OG0000076	Syak.g_01650	Praj.g_02012
OG0000077	Syak.g_02243	Praj.g_00116
OG0000078	Syak.g_02310	Praj.g_00280
OG0000079	Syak.g_01417	Praj.g_00291
OG0000081	Syak.g_00115	Praj.g_00522
OG0000082	Syak.g_02711	Praj.g_01827
OG0000084	Syak.g_01036	Praj.g_01628
OG0000085	Syak.g_02427	Praj.g_01762
OG0000086	Syak.g_02219	Praj.g_00126
OG0000087	Syak.g_02141	Praj.g_00179
OG0000088	Syak.g_02106	Praj.g_00206
OG0000089	Syak.g_01215	Praj.g_00403
OG0000090	Syak.g_02640	Praj.g_00524
OG0000091	Syak.g_00043	Praj.g_00630
OG0000092	Syak.g_01126	Praj.g_00892
OG0000093	Syak.g_00416	Praj.g_00754
OG0000094	Syak.g_00656	Praj.g_00846
OG0000095	Syak.g_00736	Praj.g_01024
OG0000097	Syak.g_00816	Praj.g_01416
OG0000098	Syak.g_00345, Syak.g_02651	Praj.g_01546
OG0000099	Syak.g_01527	Praj.g_00372
OG0000100	Syak.g_00622	Praj.g_01709
OG0000101	Syak.g_01305	Praj.g_01952
OG0000102	Syak.g_01661	Praj.g_02017
OG0000103	Syak.g_01812	Praj.g_02135
OG0000104	Syak.g_01799	Praj.g_02145
OG0000105	Syak.g_01451	Praj.g_00310
OG0000106	Syak.g_00096	Praj.g_01156, Praj.g_01282
OG0000107	Syak.g_01392	Praj.g_01869
OG0000108	Syak.g_02574	Praj.g_00473
OG0000109	Syak.g_01061, Syak.g_02590	Praj.g_00486
OG0000110	Syak.g_02698	Praj.g_00565
OG0000111	Syak.g_00725	Praj.g_00692
OG0000112	Syak.g_00512	Praj.g_00938
OG0000113	Syak.g_00461	Praj.g_00793, Praj.g_01176
OG0000114	Syak.g_00373, Syak.g_00065	Praj.g_00887
OG0000115	Syak.g_01066	Praj.g_01725
OG0000116	Syak.g_00911	Praj.g_01471
OG0000117	Syak.g_00846	Praj.g_01355
OG0000118	Syak.g_00954	Praj.g_01540
OG0000119	Syak.g_00917	Praj.g_01568
OG0000120	Syak.g_01526	Praj.g_00664
OG0000121	Syak.g_01044	Praj.g_01634
OG0000122	Syak.g_00081	Praj.g_01673
OG0000123	Syak.g_01299	Praj.g_01959
OG0000124	Syak.g_01692	Praj.g_02031
OG0000125	Syak.g_01934	Praj.g_02091
OG0000126	Syak.g_01801	Praj.g_02144
OG0000128	Syak.g_01782	Praj.g_00011
OG0000129	Syak.g_01947	Praj.g_00048
OG0000130	Syak.g_02255	Praj.g_00107
OG0000131	Syak.g_02128	Praj.g_00185
OG0000132	Syak.g_02108	Praj.g_00204
OG0000133	Syak.g_00507	Praj.g_00357
OG0000134	Syak.g_01212	Praj.g_00405
OG0000135	Syak.g_01897	Praj.g_01279
OG0000136	Syak.g_01186	Praj.g_00435
OG0000137	Syak.g_01118	Praj.g_00467
OG0000138	Syak.g_01062, Syak.g_02591	Praj.g_00487
OG0000139	Syak.g_02646	Praj.g_00528
OG0000140	Syak.g_02650	Praj.g_00529
OG0000141	Syak.g_02746	Praj.g_00595
OG0000142	Syak.g_00035	Praj.g_00623
OG0000143	Syak.g_00039	Praj.g_00627
OG0000144	Syak.g_00260	Praj.g_00640
OG0000145	Syak.g_02598	Praj.g_01054
OG0000146	Syak.g_00514	Praj.g_00937
OG0000147	Syak.g_00515	Praj.g_00936
OG0000148	Syak.g_00455	Praj.g_00787
OG0000149	Syak.g_00596	Praj.g_00819
OG0000150	Syak.g_02747	Praj.g_00828
OG0000151	Syak.g_00387	Praj.g_00898
OG0000152	Syak.g_00503	Praj.g_01601, Praj.g_00946
OG0000153	Syak.g_00470	Praj.g_00965
OG0000154	Syak.g_00645	Praj.g_00995
OG0000155	Syak.g_00855	Praj.g_01440
OG0000156	Syak.g_00919	Praj.g_01517
OG0000157	Syak.g_00920	Praj.g_01518
OG0000158	Syak.g_01624	Praj.g_01995
OG0000160	Syak.g_01043	Praj.g_01633
OG0000161	Syak.g_01050	Praj.g_01639
OG0000162	Syak.g_01058	Praj.g_01645
OG0000163	Syak.g_02478	Praj.g_01681
OG0000164	Syak.g_02384	Praj.g_01790
OG0000165	Syak.g_02374	Praj.g_01798
OG0000166	Syak.g_01345	Praj.g_01915
OG0000167	Syak.g_01561	Praj.g_01985
OG0000168	Syak.g_01625	Praj.g_01996
OG0000169	Syak.g_01637	Praj.g_02006
OG0000170	Syak.g_01644	Praj.g_02008
OG0000171	Syak.g_01691	Praj.g_02030
OG0000172	Syak.g_01713	Praj.g_02061
OG0000173	Syak.g_01733	Praj.g_02076
OG0000174	Syak.g_01895	Praj.g_02107
OG0000175	Syak.g_01827	Praj.g_02125
OG0000176	Syak.g_01790	Praj.g_00004
OG0000177	Syak.g_01789	Praj.g_00005
OG0000178	Syak.g_01788	Praj.g_00006
OG0000179	Syak.g_01773	Praj.g_00016
OG0000180	Syak.g_01772	Praj.g_00017
OG0000181	Syak.g_01771	Praj.g_00018
OG0000182	Syak.g_01770	Praj.g_00019
OG0000183	Syak.g_01766	Praj.g_00023
OG0000184	Syak.g_01955	Praj.g_00050
OG0000185	Syak.g_01971	Praj.g_00053
OG0000186	Syak.g_02258	Praj.g_00102
OG0000187	Syak.g_02257	Praj.g_00103
OG0000188	Syak.g_02235	Praj.g_00120
OG0000189	Syak.g_02203	Praj.g_00134
OG0000190	Syak.g_01575	Praj.g_00135
OG0000191	Syak.g_02171	Praj.g_00158
OG0000192	Syak.g_02165	Praj.g_00162
OG0000193	Syak.g_02127	Praj.g_00186
OG0000194	Syak.g_02124	Praj.g_00189
OG0000195	Syak.g_02122	Praj.g_00191
OG0000196	Syak.g_02111	Praj.g_00201
OG0000197	Syak.g_02110	Praj.g_00202
OG0000198	Syak.g_02109	Praj.g_00203
OG0000199	Syak.g_02100	Praj.g_00210
OG0000200	Syak.g_02083	Praj.g_00223
OG0000201	Syak.g_02068	Praj.g_00232
OG0000202	Syak.g_02067	Praj.g_00233
OG0000203	Syak.g_02066	Praj.g_00234
OG0000204	Syak.g_02065	Praj.g_00235
OG0000205	Syak.g_02058	Praj.g_00242
OG0000206	Syak.g_02038	Praj.g_00246
OG0000207	Syak.g_02025	Praj.g_00248
OG0000208	Syak.g_02024	Praj.g_00249
OG0000209	Syak.g_01995	Praj.g_00258
OG0000210	Syak.g_01994	Praj.g_00259
OG0000211	Syak.g_02017, Syak.g_02300	Praj.g_00273
OG0000212	Syak.g_02311	Praj.g_00281
