Orthogroup	Syad	Syao
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864	Syao.g_00314
OG0000001	Syad.g_02865	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syad.g_01304	Syao.g_02374
OG0000004	Syad.g_02184	Syao.g_01007
OG0000005	Syad.g_02639	Syao.g_01680
OG0000005	Syad.g_02596	Syao.g_01578
OG0000005	Syad.g_02028	Syao.g_01210
OG0000006	Syad.g_02130	Syao.g_00919
OG0000007	Syad.g_00923	Syao.g_00105
OG0000007	Syad.g_02623	Syao.g_01554
OG0000008	Syad.g_01371	Syao.g_01321
OG0000009	Syad.g_02799	Syao.g_02598
OG0000010	Syad.g_02354	Syao.g_02683
OG0000011	Syad.g_02006, Syad.g_02680	Syao.g_01282
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Syao.g_01193
OG0000013	Syad.g_00724	Syao.g_01844
OG0000013	Syad.g_00729	Syao.g_01910
OG0000014	Syad.g_00480	Syao.g_02027
OG0000015	Syad.g_00142	Syao.g_02339
OG0000015	Syad.g_01600, Syad.g_01601	Syao.g_00302
OG0000016	Syad.g_00176	Syao.g_01955
OG0000017	Syad.g_01091	Syao.g_01064
OG0000017	Syad.g_01084	Syao.g_00997
OG0000018	Syad.g_02306	Syao.g_00071
OG0000019	Syad.g_00569	Syao.g_02108
OG0000021	Syad.g_00874, Syad.g_01835	Syao.g_01002
OG0000022	Syad.g_02090	Syao.g_01218
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Syao.g_01266
OG0000025	Syad.g_01241	Syao.g_00436, Syao.g_00437
OG0000026	Syad.g_00198	Syao.g_02234
OG0000027	Syad.g_01257	Syao.g_00202
OG0000028	Syad.g_00463	Syao.g_02012
OG0000030	Syad.g_00328	Syao.g_02189
OG0000030	Syad.g_00327	Syao.g_02188
OG0000031	Syad.g_00458	Syao.g_02008
OG0000031	Syad.g_00294	Syao.g_01083
OG0000032	Syad.g_02326	Syao.g_00090
OG0000033	Syad.g_00289, Syad.g_02903	Syao.g_02507
OG0000035	Syad.g_02275	Syao.g_01486
OG0000037	Syad.g_02805	Syao.g_00374
OG0000038	Syad.g_03038	Syao.g_02440
OG0000040	Syad.g_00104	Syao.g_00711
OG0000041	Syad.g_01281	Syao.g_01637
OG0000042	Syad.g_00333	Syao.g_00019, Syao.g_01941
OG0000046	Syad.g_00730	Syao.g_01909
OG0000047	Syad.g_00754	Syao.g_01899
OG0000048	Syad.g_00534	Syao.g_02077
OG0000051	Syad.g_00842, Syad.g_01967	Syao.g_01261
OG0000052	Syad.g_00434	Syao.g_01085, Syao.g_02520
OG0000053	Syad.g_02302	Syao.g_00067
OG0000058	Syad.g_00452	Syao.g_01080
OG0000059	Syad.g_00642	Syao.g_01959
OG0000060	Syad.g_01508	Syao.g_00312
OG0000061	Syad.g_01152	Syao.g_00123
OG0000062	Syad.g_02598	Syao.g_01576
OG0000063	Syad.g_00202	Syao.g_02230
OG0000064	Syad.g_00081, Syad.g_02125	Syao.g_01462, Syao.g_02605
OG0000065	Syad.g_02574, Syad.g_02801	Syao.g_02600
OG0000066	Syad.g_00992	Syao.g_01422
OG0000067	Syad.g_01889	Syao.g_00756
OG0000068	Syad.g_00891	Syao.g_00868, Syao.g_00036
OG0000070	Syad.g_02424	Syao.g_00330
OG0000071	Syad.g_02405	Syao.g_01433
OG0000072	Syad.g_02905	Syao.g_02509
OG0000073	Syad.g_00926	Syao.g_00103
OG0000075	Syad.g_00416	Syao.g_02257
OG0000076	Syad.g_00348	Syao.g_01949, Syao.g_01251
OG0000077	Syad.g_02741	Syao.g_02629
OG0000079	Syad.g_00565	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Syad.g_01063	Syao.g_01035
OG0000084	Syad.g_02272	Syao.g_02606
OG0000085	Syad.g_02612	Syao.g_01569
OG0000086	Syad.g_02770	Syao.g_02653, Syao.g_01240
OG0000087	Syad.g_02860	Syao.g_02555
OG0000088	Syad.g_02899	Syao.g_02503
OG0000089	Syad.g_00785, Syad.g_02829	Syao.g_01716
OG0000090	Syad.g_00977	Syao.g_01412
OG0000091	Syad.g_02144	Syao.g_00902
OG0000092	Syad.g_01190	Syao.g_00656
OG0000093	Syad.g_01905	Syao.g_00739
OG0000094	Syad.g_01676	Syao.g_00458
OG0000095	Syad.g_01290	Syao.g_00331
OG0000098	Syad.g_00625	Syao.g_01374
OG0000099	Syad.g_00460	Syao.g_02019
OG0000100	Syad.g_01846	Syao.g_00787
OG0000102	Syad.g_00343	Syao.g_01945
OG0000104	Syad.g_00158	Syao.g_02157
OG0000105	Syad.g_00530	Syao.g_02071, Syao.g_02072
OG0000106	Syad.g_01993	Syao.g_01385
OG0000107	Syad.g_00590	Syao.g_01935
OG0000108	Syad.g_00904	Syao.g_00028
OG0000110	Syad.g_01048	Syao.g_01051
OG0000111	Syad.g_01300	Syao.g_00378
OG0000112	Syad.g_01766	Syao.g_00683, Syao.g_00303
OG0000113	Syad.g_01851	Syao.g_00782
OG0000114	Syad.g_01617	Syao.g_00965
OG0000115	Syad.g_02300	Syao.g_00065, Syao.g_01464
OG0000116	Syad.g_01123	Syao.g_00137
OG0000117	Syad.g_01510	Syao.g_00169
OG0000118	Syad.g_01104	Syao.g_01475
OG0000120	Syad.g_00459	Syao.g_02009
OG0000121	Syad.g_02280	Syao.g_01489
OG0000122	Syad.g_02122	Syao.g_01247
OG0000123	Syad.g_00701	Syao.g_01832
OG0000124	Syad.g_00320	Syao.g_02179
OG0000125	Syad.g_03040	Syao.g_02444
OG0000126	Syad.g_00156	Syao.g_02198
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Syao.g_02375, Syao.g_01143
OG0000128	Syad.g_00174	Syao.g_02149
OG0000129	Syad.g_03028	Syao.g_02434
OG0000130	Syad.g_02728	Syao.g_02617
OG0000131	Syad.g_02876	Syao.g_02480
OG0000132	Syad.g_02897	Syao.g_02501
OG0000133	Syad.g_01761	Syao.g_00678
OG0000134	Syad.g_00788	Syao.g_01719
OG0000135	Syad.g_00063	Syao.g_00147
OG0000136	Syad.g_02445	Syao.g_01614, Syao.g_01613
OG0000137	Syad.g_02353	Syao.g_02682
OG0000138	Syad.g_00920	Syao.g_00108
OG0000139	Syad.g_00983	Syao.g_02005
OG0000140	Syad.g_00987	Syao.g_01373, Syao.g_01372
OG0000141	Syad.g_02208	Syao.g_01202
OG0000142	Syad.g_02152	Syao.g_00894
OG0000143	Syad.g_02148	Syao.g_00898
OG0000145	Syad.g_00927	Syao.g_00102
OG0000146	Syad.g_01767	Syao.g_00684, Syao.g_00304
OG0000147	Syad.g_01768	Syao.g_00305, Syao.g_00685
OG0000148	Syad.g_01861	Syao.g_00776
OG0000149	Syad.g_01221	Syao.g_00534
OG0000150	Syad.g_02207, Syad.g_00989	Syao.g_01203
OG0000151	Syad.g_01956	Syao.g_00975
OG0000152	Syad.g_01757	Syao.g_00674
OG0000153	Syad.g_01713	Syao.g_00818, Syao.g_01176
OG0000154	Syad.g_01686	Syao.g_00447
OG0000155	Syad.g_01189	Syao.g_00178
OG0000156	Syad.g_01116	Syao.g_00151
OG0000157	Syad.g_01115	Syao.g_00152
OG0000158	Syad.g_00374	Syao.g_02267
OG0000159	Syad.g_00373	Syao.g_02006
OG0000160	Syad.g_02279	Syao.g_01488
OG0000161	Syad.g_02287	Syao.g_01494
OG0000162	Syad.g_02293	Syao.g_01515
OG0000163	Syad.g_02542	Syao.g_01745
OG0000165	Syad.g_02476	Syao.g_01655
OG0000166	Syad.g_00654	Syao.g_01790
OG0000167	Syad.g_00419	Syao.g_01960
OG0000168	Syad.g_00371	Syao.g_02128
OG0000169	Syad.g_00360	Syao.g_02139
OG0000170	Syad.g_00353	Syao.g_02148
OG0000171	Syad.g_00321	Syao.g_02181
OG0000172	Syad.g_00244	Syao.g_02170
OG0000173	Syad.g_00220	Syao.g_02212
OG0000174	Syad.g_00065	Syao.g_02364, Syao.g_02355
OG0000175	Syad.g_00129	Syao.g_02327, Syao.g_00308
OG0000176	Syad.g_00166	Syao.g_02165
OG0000177	Syad.g_00167	Syao.g_02156
OG0000178	Syad.g_00168	Syao.g_02155
OG0000179	Syad.g_00183	Syao.g_02250
OG0000180	Syad.g_00184	Syao.g_02249
OG0000181	Syad.g_00185	Syao.g_02248
OG0000182	Syad.g_00186	Syao.g_02247
OG0000183	Syad.g_00190	Syao.g_02243
OG0000184	Syad.g_03018	Syao.g_02423
OG0000185	Syad.g_03006	Syao.g_02410
OG0000186	Syad.g_02722	Syao.g_02613
OG0000187	Syad.g_02724	Syao.g_02615
OG0000188	Syad.g_02759	Syao.g_02637
OG0000189	Syad.g_02788	Syao.g_02672
OG0000190	Syad.g_02790	Syao.g_01015
OG0000191	Syad.g_02824	Syao.g_02573
OG0000192	Syad.g_02834	Syao.g_02579
OG0000193	Syad.g_02877	Syao.g_02481
OG0000194	Syad.g_02880	Syao.g_02484
OG0000196	Syad.g_02894	Syao.g_02498
OG0000197	Syad.g_02895	Syao.g_02499
OG0000198	Syad.g_02896	Syao.g_02500
OG0000199	Syad.g_02904	Syao.g_02508
OG0000200	Syad.g_02921	Syao.g_02524
OG0000201	Syad.g_02937	Syao.g_02540
OG0000202	Syad.g_02938	Syao.g_02454
OG0000203	Syad.g_02939	Syao.g_02455
OG0000204	Syad.g_02940	Syao.g_02456
OG0000205	Syad.g_02948	Syao.g_02464
OG0000206	Syad.g_02955	Syao.g_02469
OG0000207	Syad.g_02957	Syao.g_02471
OG0000208	Syad.g_02958	Syao.g_02472
OG0000209	Syad.g_02981	Syao.g_02394
OG0000210	Syad.g_02982	Syao.g_02395
OG0000211	Syad.g_00813	Syao.g_01700
OG0000212	Syad.g_00825	Syao.g_01710
OG0000213	Syad.g_00556	Syao.g_02098
OG0000214	Syad.g_00538	Syao.g_02081
OG0000215	Syad.g_00508	Syao.g_02050
OG0000216	Syad.g_00504, Syad.g_00285	Syao.g_02045
OG0000217	Syad.g_00500	Syao.g_02041
OG0000218	Syad.g_00498	Syao.g_02039
OG0000219	Syad.g_00497	Syao.g_02038
OG0000220	Syad.g_00496	Syao.g_02037
OG0000221	Syad.g_00488	Syao.g_02034
OG0000222	Syad.g_00473	Syao.g_02023
OG0000223	Syad.g_00451	Syao.g_00291
OG0000224	Syad.g_00444	Syao.g_01973
OG0000225	Syad.g_00777	Syao.g_01751
OG0000226	Syad.g_00781	Syao.g_01758
OG0000227	Syad.g_00783	Syao.g_01760
OG0000228	Syad.g_00784	Syao.g_01715
OG0000229	Syad.g_02450	Syao.g_01736
OG0000230	Syad.g_02448	Syao.g_01738
OG0000232	Syad.g_02392	Syao.g_00057
