locus_tag	ftype	length_bp	gene	EC_number	COG	product
Prax.g_00001	gene	291	phhB			
Prax.g_00001	CDS	291	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
Prax.g_00002	gene	486				
Prax.g_00002	CDS	486				hypothetical protein
Prax.g_00003	gene	1506				
Prax.g_00003	CDS	1506		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
Prax.g_00004	gene	588	ppa_1			
Prax.g_00004	CDS	588	ppa_1	3.6.1.1	COG0221	Inorganic pyrophosphatase
Prax.g_00005	gene	957	hemC			
Prax.g_00005	CDS	957	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
Prax.g_00006	gene	1182	sigA			
Prax.g_00006	CDS	1182	sigA		COG0568	RNA polymerase sigma factor SigA
Prax.g_00007	gene	2235	priA			
Prax.g_00007	CDS	2235	priA	3.6.4.-	COG1198	Primosomal protein N'
Prax.g_00008	gene	1110				
Prax.g_00008	CDS	1110				hypothetical protein
Prax.g_00009	gene	852	argB			
Prax.g_00009	CDS	852	argB	2.7.2.8	COG0548	Acetylglutamate kinase
Prax.g_00010	gene	531				
Prax.g_00010	CDS	531				hypothetical protein
Prax.g_00011	gene	183				
Prax.g_00011	CDS	183				hypothetical protein
Prax.g_00012	gene	426				
Prax.g_00012	CDS	426				hypothetical protein
Prax.g_00013	gene	798	cbiJ			
Prax.g_00013	CDS	798	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
Prax.g_00014	gene	306	cutA			
Prax.g_00014	CDS	306	cutA		COG1324	Divalent-cation tolerance protein CutA
Prax.g_00015	gene	1002	iolC			
Prax.g_00015	CDS	1002	iolC	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
Prax.g_00016	gene	1311	purA			
Prax.g_00016	CDS	1311	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
Prax.g_00017	gene	438				
Prax.g_00017	CDS	438				Photosystem II lipoprotein Psb27
Prax.g_00018	gene	1803	proS			
Prax.g_00018	CDS	1803	proS	6.1.1.15	COG0442	Proline--tRNA ligase
Prax.g_00019	gene	351				
Prax.g_00019	CDS	351				hypothetical protein
Prax.g_00020	gene	255				
Prax.g_00020	CDS	255				hypothetical protein
Prax.g_00021	gene	555	ppa_2			
Prax.g_00021	CDS	555	ppa_2	3.6.1.1		Inorganic pyrophosphatase
Prax.g_00022	gene	357	mgsR			
Prax.g_00022	CDS	357	mgsR		COG1393	Regulatory protein MgsR
Prax.g_00023	gene	660	lepB			
Prax.g_00023	CDS	660	lepB	3.4.21.89	COG0681	Signal peptidase I
Prax.g_00024	gene	1329	gpmA			
Prax.g_00024	CDS	1329	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
