Orthogroup	Prbk	Pram
OG0000000	Prbk.g_00165	Pram.g_01511
OG0000000	Prbk.g_00167	Pram.g_01556, Pram.g_01512
OG0000001	Prbk.g_02574	Pram.g_00873, Pram.g_00879
OG0000001	Prbk.g_01649	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Pram.g_01953, Pram.g_01954
OG0000004	Prbk.g_00166	Pram.g_01513, Pram.g_01176
OG0000005	Prbk.g_01701, Prbk.g_00355	Pram.g_01207
OG0000008	Prbk.g_00907	Pram.g_01632
OG0000009	Prbk.g_01337, Prbk.g_02672, Prbk.g_01344, Prbk.g_02680, Prbk.g_02591	Pram.g_00602
OG0000010	Prbk.g_01004	Pram.g_01164, Pram.g_00237
OG0000011	Prbk.g_00833	Pram.g_01723, Pram.g_01529
OG0000013	Prbk.g_01932, Prbk.g_00013	Pram.g_00390, Pram.g_01284
OG0000014	Prbk.g_00454	Pram.g_00295
OG0000015	Prbk.g_02565	Pram.g_00359
OG0000016	Prbk.g_02558	Pram.g_00696
OG0000018	Prbk.g_01142	Pram.g_00535
OG0000018	Prbk.g_01150	Pram.g_00542
OG0000020	Prbk.g_01786	Pram.g_01283
OG0000021	Prbk.g_01230	Pram.g_01357, Pram.g_01580
OG0000022	Prbk.g_02695	Pram.g_00229
OG0000023	Prbk.g_01137	Pram.g_00794
OG0000024	Prbk.g_01737	Pram.g_00629
OG0000025	Prbk.g_01780	Pram.g_01004, Pram.g_00765
OG0000027	Prbk.g_01820	Pram.g_01262
OG0000028	Prbk.g_01819	Pram.g_01263
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Pram.g_01841
OG0000032	Prbk.g_01613	Pram.g_01258
OG0000034	Prbk.g_00259	Pram.g_01381, Pram.g_01378
OG0000036	Prbk.g_01664	Pram.g_01595
OG0000038	Prbk.g_00534, Prbk.g_00539	Pram.g_01413
OG0000041	Prbk.g_02610	Pram.g_00561
OG0000042	Prbk.g_02168	Pram.g_01886
OG0000045	Prbk.g_01122	Pram.g_01559
OG0000046	Prbk.g_01667	Pram.g_01287
OG0000047	Prbk.g_01019	Pram.g_01140
OG0000048	Prbk.g_00499	Pram.g_00040
OG0000049	Prbk.g_00479	Pram.g_01447
OG0000050	Prbk.g_01836, Prbk.g_00773	Pram.g_00151
OG0000051	Prbk.g_02448	Pram.g_00689
OG0000053	Prbk.g_01835, Prbk.g_00619	Pram.g_00801
OG0000054	Prbk.g_00919	Pram.g_01265
OG0000055	Prbk.g_00237	Pram.g_01833
OG0000056	Prbk.g_01617	Pram.g_00018
OG0000057	Prbk.g_00764	Pram.g_00142
OG0000058	Prbk.g_00925	Pram.g_00677
OG0000060	Prbk.g_00605	Pram.g_01017
OG0000061	Prbk.g_01468	Pram.g_01517
OG0000062	Prbk.g_02493	Pram.g_00832
OG0000063	Prbk.g_00694	Pram.g_01191
OG0000066	Prbk.g_02113	Pram.g_00411
OG0000067	Prbk.g_01765	Pram.g_00792
OG0000070	Prbk.g_00056	Pram.g_00888
OG0000071	Prbk.g_01496	Pram.g_01112
OG0000072	Prbk.g_01183	Pram.g_01230
OG0000074	Prbk.g_00477	Pram.g_01446
OG0000075	Prbk.g_00796, Prbk.g_00944	Pram.g_01770
OG0000076	Prbk.g_01209	Pram.g_01339
OG0000077	Prbk.g_02290	Pram.g_01949
OG0000078	Prbk.g_00472	Pram.g_00310
OG0000079	Prbk.g_02209	Pram.g_01589
OG0000080	Prbk.g_00709	Pram.g_01039
OG0000081	Prbk.g_01815	Pram.g_00782
OG0000082	Prbk.g_02475	Pram.g_00816
OG0000084	Prbk.g_02324	Pram.g_00943
OG0000085	Prbk.g_02271	Pram.g_01185
OG0000086	Prbk.g_02195	Pram.g_01546
OG0000090	Prbk.g_00476	Pram.g_01445
OG0000091	Prbk.g_00275	Pram.g_01370
OG0000092	Prbk.g_02012	Pram.g_01554
OG0000093	Prbk.g_00992	Pram.g_01719
OG0000094	Prbk.g_00948	Pram.g_01766
OG0000095	Prbk.g_00512	Pram.g_01805
OG0000096	Prbk.g_01603	Pram.g_01878
OG0000097	Prbk.g_02204	Pram.g_01898
OG0000098	Prbk.g_02281	Pram.g_01941
OG0000099	Prbk.g_01626	Pram.g_00010
OG0000101	Prbk.g_02126	Pram.g_00036
OG0000102	Prbk.g_00191	Pram.g_00099
OG0000103	Prbk.g_00206	Pram.g_00108
OG0000104	Prbk.g_00559	Pram.g_00125
OG0000105	Prbk.g_00777	Pram.g_00155
OG0000106	Prbk.g_01280	Pram.g_00168
OG0000107	Prbk.g_01261	Pram.g_00177
OG0000108	Prbk.g_01251	Pram.g_00187
OG0000109	Prbk.g_01515	Pram.g_00227
OG0000110	Prbk.g_01001	Pram.g_00239
OG0000111	Prbk.g_00409	Pram.g_00262
OG0000112	Prbk.g_00422	Pram.g_00273
OG0000113	Prbk.g_00438	Pram.g_00286
OG0000114	Prbk.g_00492	Pram.g_00313
OG0000115	Prbk.g_02112	Pram.g_00410
OG0000116	Prbk.g_02114	Pram.g_00412
OG0000117	Prbk.g_02061	Pram.g_00416
OG0000118	Prbk.g_01862	Pram.g_00437
OG0000119	Prbk.g_01078	Pram.g_00470
OG0000120	Prbk.g_01080	Pram.g_00471
OG0000121	Prbk.g_02684	Pram.g_00480
OG0000122	Prbk.g_01890	Pram.g_00489
OG0000123	Prbk.g_01121	Pram.g_00522
OG0000124	Prbk.g_00740	Pram.g_01059
OG0000125	Prbk.g_00739	Pram.g_01058
OG0000126	Prbk.g_00738	Pram.g_01057
OG0000127	Prbk.g_01385	Pram.g_00777
OG0000128	Prbk.g_00616	Pram.g_00803
OG0000129	Prbk.g_02370	Pram.g_01006
OG0000130	Prbk.g_01642	Pram.g_00905
OG0000131	Prbk.g_02466	Pram.g_00807
OG0000132	Prbk.g_02530	Pram.g_00843
OG0000133	Prbk.g_02438	Pram.g_00751
OG0000134	Prbk.g_02444	Pram.g_01038
OG0000135	Prbk.g_02316	Pram.g_00947
OG0000136	Prbk.g_00059	Pram.g_00891
OG0000137	Prbk.g_02197	Pram.g_01549
OG0000138	Prbk.g_01025	Pram.g_01146
OG0000139	Prbk.g_00144	Pram.g_01133
OG0000140	Prbk.g_00121	Pram.g_00571
OG0000141	Prbk.g_00066	Pram.g_01254
OG0000142	Prbk.g_01169	Pram.g_01242
OG0000143	Prbk.g_02052	Pram.g_01468
OG0000144	Prbk.g_00243	Pram.g_01393
OG0000145	Prbk.g_00260	Pram.g_01377
OG0000146	Prbk.g_01212	Pram.g_01341
OG0000147	Prbk.g_00932	Pram.g_01294
OG0000148	Prbk.g_00931	Pram.g_01293
OG0000149	Prbk.g_00913	Pram.g_01629
OG0000150	Prbk.g_01417	Pram.g_01669
OG0000151	Prbk.g_01414	Pram.g_01672
OG0000152	Prbk.g_01381	Pram.g_01691
OG0000153	Prbk.g_00987	Pram.g_01728
OG0000154	Prbk.g_00950	Pram.g_01764
OG0000155	Prbk.g_00811	Pram.g_01783
OG0000156	Prbk.g_00528	Pram.g_01817
OG0000157	Prbk.g_01540	Pram.g_01851
OG0000158	Prbk.g_02252	Pram.g_01917
OG0000160	Prbk.g_02279	Pram.g_01939
OG0000161	Prbk.g_02280	Pram.g_01940
OG0000162	Prbk.g_02282	Pram.g_01942
OG0000163	Prbk.g_02283	Pram.g_01943
OG0000164	Prbk.g_02284	Pram.g_01944
OG0000165	Prbk.g_02285	Pram.g_01945
OG0000166	Prbk.g_02287	Pram.g_01946
OG0000167	Prbk.g_02288	Pram.g_01947
OG0000168	Prbk.g_02289	Pram.g_01948
OG0000169	Prbk.g_02291	Pram.g_01950
OG0000170	Prbk.g_01639	Pram.g_00001
OG0000171	Prbk.g_01638	Pram.g_00002
OG0000172	Prbk.g_01633	Pram.g_00003
OG0000173	Prbk.g_01632	Pram.g_00004
OG0000174	Prbk.g_01631	Pram.g_00005
OG0000175	Prbk.g_01630	Pram.g_00006
OG0000176	Prbk.g_01629	Pram.g_00007
OG0000177	Prbk.g_01628	Pram.g_00008
OG0000178	Prbk.g_01627	Pram.g_00009
OG0000179	Prbk.g_01625	Pram.g_00011
OG0000180	Prbk.g_01624	Pram.g_00012
OG0000181	Prbk.g_01623	Pram.g_00013
OG0000182	Prbk.g_01622	Pram.g_00014
OG0000183	Prbk.g_01621	Pram.g_00015
OG0000184	Prbk.g_01619	Pram.g_00016
OG0000185	Prbk.g_01614	Pram.g_00019
OG0000186	Prbk.g_01609	Pram.g_00021
OG0000187	Prbk.g_01608	Pram.g_00022
OG0000188	Prbk.g_01607	Pram.g_00023
OG0000189	Prbk.g_01606	Pram.g_00024
OG0000190	Prbk.g_01604	Pram.g_00026
OG0000191	Prbk.g_02158	Pram.g_00028
OG0000192	Prbk.g_02156	Pram.g_00029
OG0000193	Prbk.g_02155	Pram.g_00030
OG0000194	Prbk.g_02148	Pram.g_00033
OG0000195	Prbk.g_02141	Pram.g_00034
