Orthogroup	Syad	Prao
OG0000001	Syad.g_00628	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000002	Syad.g_00619	Prao.g_01246, Prao.g_00116
OG0000004	Syad.g_01304	Prao.g_00133
OG0000004	Syad.g_02184, Syad.g_00810	Prao.g_00370
OG0000005	Syad.g_02639	Prao.g_01565
OG0000005	Syad.g_02596	Prao.g_01472
OG0000006	Syad.g_00588, Syad.g_00829	Prao.g_00379
OG0000007	Syad.g_00923	Prao.g_00603
OG0000007	Syad.g_02623	Prao.g_01552
OG0000009	Syad.g_01952, Syad.g_00868	Prao.g_01342, Prao.g_01507
OG0000010	Syad.g_02354	Prao.g_00985, Prao.g_00580
OG0000011	Syad.g_02006	Prao.g_01307
OG0000011	Syad.g_02680	Prao.g_00529
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prao.g_00062
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prao.g_00463
OG0000014	Syad.g_00480, Syad.g_00297, Syad.g_00260	Prao.g_01213
OG0000015	Syad.g_01600, Syad.g_01601	Prao.g_00703
OG0000016	Syad.g_00176	Prao.g_00160
OG0000017	Syad.g_01084	Prao.g_00036
OG0000018	Syad.g_02306	Prao.g_01108, Prao.g_00768
OG0000019	Syad.g_00569	Prao.g_00387, Prao.g_00720
OG0000020	Syad.g_00845	Prao.g_01145
OG0000022	Syad.g_02090	Prao.g_00699, Prao.g_01126
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prao.g_00494
OG0000024	Syad.g_01374	Prao.g_00683, Prao.g_00114
OG0000025	Syad.g_01241	Prao.g_00776, Prao.g_00467
OG0000026	Syad.g_00198	Prao.g_00177, Prao.g_00992
OG0000027	Syad.g_01257	Prao.g_00576, Prao.g_01293
OG0000028	Syad.g_00463	Prao.g_00456, Prao.g_01348
OG0000029	Syad.g_02099	Prao.g_00510, Prao.g_00690
OG0000030	Syad.g_00328, Syad.g_00327	Prao.g_01753
OG0000031	Syad.g_00294	Prao.g_01355
OG0000033	Syad.g_02903	Prao.g_00307
OG0000034	Syad.g_02420, Syad.g_02872	Prao.g_01266
OG0000035	Syad.g_02275	Prao.g_01397
OG0000037	Syad.g_02805	Prao.g_00247
OG0000038	Syad.g_03038	Prao.g_01794
OG0000039	Syad.g_01249, Syad.g_01111	Prao.g_00124
OG0000041	Syad.g_02498	Prao.g_01598
OG0000042	Syad.g_00333	Prao.g_01750
OG0000043	Syad.g_02119	Prao.g_00812, Prao.g_01331
OG0000047	Syad.g_00754	Prao.g_00466
OG0000048	Syad.g_00534	Prao.g_00509
OG0000051	Syad.g_00842	Prao.g_01304
