Orthogroup	Praw	Pram
OG0000000	Praw.g_01780, Praw.g_00455, Praw.g_00893, Praw.g_00974	Pram.g_01511
OG0000000	Praw.g_01779, Praw.g_00496, Praw.g_00294, Praw.g_00454	Pram.g_01556, Pram.g_01512
OG0000001	Praw.g_01009	Pram.g_00873, Pram.g_00879
OG0000001	Praw.g_01844	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Praw.g_00497, Praw.g_01739, Praw.g_01951	Pram.g_00719
OG0000002	Praw.g_01000	Pram.g_01953, Pram.g_01954
OG0000004	Praw.g_00959, Praw.g_00457, Praw.g_00495	Pram.g_01513, Pram.g_01176
OG0000005	Praw.g_01769	Pram.g_01207
OG0000006	Praw.g_00945, Praw.g_00482, Praw.g_01754, Praw.g_00184	Pram.g_01505, Pram.g_00621
OG0000008	Praw.g_00651	Pram.g_00433
OG0000008	Praw.g_00515	Pram.g_01632
OG0000010	Praw.g_01717	Pram.g_01164
OG0000010	Praw.g_00884	Pram.g_00237
OG0000011	Praw.g_01755	Pram.g_01529
OG0000013	Praw.g_00447, Praw.g_01330	Pram.g_00390, Pram.g_01284
OG0000016	Praw.g_01738	Pram.g_01545, Pram.g_00696
OG0000018	Praw.g_01944	Pram.g_00535, Pram.g_00542
OG0000019	Praw.g_00752	Pram.g_00662, Pram.g_00618, Pram.g_01597
OG0000020	Praw.g_01012	Pram.g_01283
OG0000022	Praw.g_01950	Pram.g_00229
OG0000023	Praw.g_00479, Praw.g_00767	Pram.g_00794
OG0000024	Praw.g_00951	Pram.g_00629, Pram.g_01186
OG0000025	Praw.g_01763	Pram.g_01004, Pram.g_00765
OG0000026	Praw.g_00493, Praw.g_00961, Praw.g_01782	Pram.g_01561
OG0000027	Praw.g_00502	Pram.g_01262
OG0000029	Praw.g_01716	Pram.g_01189, Pram.g_01617
OG0000030	Praw.g_01715	Pram.g_01544, Pram.g_00644
OG0000031	Praw.g_00032	Pram.g_01841
OG0000034	Praw.g_01083	Pram.g_01381
OG0000034	Praw.g_01081	Pram.g_01378
OG0000035	Praw.g_00448	Pram.g_00391
OG0000036	Praw.g_00181	Pram.g_01275
OG0000038	Praw.g_01073	Pram.g_01413
OG0000039	Praw.g_00484	Pram.g_01193
OG0000041	Praw.g_00159	Pram.g_00561
OG0000043	Praw.g_00323	Pram.g_00681
OG0000045	Praw.g_01932	Pram.g_01559
OG0000046	Praw.g_01746	Pram.g_01287
OG0000047	Praw.g_00234	Pram.g_01140
OG0000049	Praw.g_01055	Pram.g_01447
OG0000050	Praw.g_01269	Pram.g_00151
OG0000051	Praw.g_00772	Pram.g_00689
OG0000053	Praw.g_01809	Pram.g_00801
OG0000054	Praw.g_00508	Pram.g_01265
OG0000055	Praw.g_00039	Pram.g_01833
OG0000056	Praw.g_01397	Pram.g_00018
OG0000057	Praw.g_01278	Pram.g_00142
OG0000058	Praw.g_00762	Pram.g_00677
OG0000059	Praw.g_00609	Pram.g_01558
OG0000062	Praw.g_01675	Pram.g_00832
OG0000065	Praw.g_01198	Pram.g_00224
OG0000066	Praw.g_00672	Pram.g_00411
OG0000067	Praw.g_01824	Pram.g_00792
OG0000068	Praw.g_01771	Pram.g_00631
OG0000070	Praw.g_01467	Pram.g_00888
OG0000071	Praw.g_00926	Pram.g_01112
OG0000072	Praw.g_00981	Pram.g_01230
OG0000074	Praw.g_01050	Pram.g_01446
OG0000075	Praw.g_00096	Pram.g_01770
OG0000077	Praw.g_01125	Pram.g_01949
OG0000078	Praw.g_00812	Pram.g_00310
OG0000079	Praw.g_00751	Pram.g_01589
OG0000080	Praw.g_01853	Pram.g_01039
OG0000081	Praw.g_01831	Pram.g_00782
OG0000082	Praw.g_01690	Pram.g_00816
OG0000083	Praw.g_01627	Pram.g_01161
OG0000084	Praw.g_01539	Pram.g_00943
OG0000085	Praw.g_01418	Pram.g_01185
OG0000086	Praw.g_00201	Pram.g_01546
OG0000090	Praw.g_01051	Pram.g_01445
OG0000091	Praw.g_00345	Pram.g_01370
OG0000092	Praw.g_00464	Pram.g_01554
OG0000093	Praw.g_01894	Pram.g_01719
OG0000094	Praw.g_00099	Pram.g_01766
OG0000095	Praw.g_00066	Pram.g_01805
OG0000096	Praw.g_01188	Pram.g_01878
OG0000098	Praw.g_01133	Pram.g_01941
OG0000099	Praw.g_01405	Pram.g_00010
OG0000100	Praw.g_00735	Pram.g_01588
OG0000101	Praw.g_01379	Pram.g_00036
