Orthogroup	Prae	Prbn
OG0000000	Prae.g_01361	Prbn.g_01483, Prbn.g_01478
OG0000000	Prae.g_00652	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154
OG0000002	Prae.g_01353	Prbn.g_01213
OG0000002	Prae.g_01223, Prae.g_01224, Prae.g_01236	Prbn.g_01923
OG0000003	Prae.g_01308, Prae.g_01581	Prbn.g_01151
OG0000004	Prae.g_00742	Prbn.g_01110
OG0000005	Prae.g_01580	Prbn.g_01662
OG0000006	Prae.g_00471	Prbn.g_00617
OG0000006	Prae.g_01623	Prbn.g_01745
OG0000009	Prae.g_00786	Prbn.g_01165
OG0000009	Prae.g_00252	Prbn.g_00015
OG0000010	Prae.g_01110, Prae.g_01283	Prbn.g_01049
OG0000012	Prae.g_00572	Prbn.g_00510, Prbn.g_00517
OG0000013	Prae.g_00769, Prae.g_01235	Prbn.g_01684, Prbn.g_01730
OG0000014	Prae.g_01311, Prae.g_00444	Prbn.g_01664, Prbn.g_00139
OG0000015	Prae.g_00381	Prbn.g_01673, Prbn.g_01706
OG0000016	Prae.g_01364	Prbn.g_01135, Prbn.g_00885
OG0000018	Prae.g_00244	Prbn.g_00308
OG0000019	Prae.g_01600, Prae.g_00364	Prbn.g_01560
OG0000020	Prae.g_00374	Prbn.g_00038
OG0000021	Prae.g_00788	Prbn.g_01727
OG0000023	Prae.g_01270	Prbn.g_00887
OG0000024	Prae.g_00307	Prbn.g_00074
OG0000028	Prae.g_01459	Prbn.g_00212
OG0000029	Prae.g_01573	Prbn.g_00659
OG0000031	Prae.g_01602	Prbn.g_00809
OG0000032	Prae.g_01391, Prae.g_01402	Prbn.g_00171
OG0000034	Prae.g_01416	Prbn.g_00190, Prbn.g_00724
OG0000035	Prae.g_00894	Prbn.g_01042
OG0000036	Prae.g_00559	Prbn.g_00530, Prbn.g_01734
OG0000037	Prae.g_00597	Prbn.g_00492, Prbn.g_00867
OG0000038	Prae.g_00764	Prbn.g_00891
OG0000039	Prae.g_00169	Prbn.g_01247
OG0000040	Prae.g_00359	Prbn.g_01030
OG0000041	Prae.g_00402	Prbn.g_01709, Prbn.g_01703
OG0000042	Prae.g_00711	Prbn.g_01554
OG0000043	Prae.g_00791	Prbn.g_01454
OG0000044	Prae.g_01163, Prae.g_01422	Prbn.g_01189
OG0000045	Prae.g_01406, Prae.g_01417	Prbn.g_00172
OG0000046	Prae.g_01616	Prbn.g_00144, Prbn.g_01737
OG0000047	Prae.g_01815	Prbn.g_00996
OG0000048	Prae.g_01822	Prbn.g_00988
OG0000050	Prae.g_00031	Prbn.g_00750
OG0000051	Prae.g_00160	Prbn.g_01256
OG0000052	Prae.g_00370	Prbn.g_00829
OG0000053	Prae.g_00514	Prbn.g_01657, Prbn.g_00577
OG0000055	Prae.g_00828	Prbn.g_01523
OG0000056	Prae.g_01322	Prbn.g_01133
OG0000057	Prae.g_00240	Prbn.g_00313
OG0000058	Prae.g_00449	Prbn.g_00639
OG0000059	Prae.g_00672	Prbn.g_01562
OG0000062	Prae.g_01130	Prbn.g_01650
OG0000063	Prae.g_01263	Prbn.g_00389
