Orthogroup	Syak	Prac
OG0000001	Syak.g_00342	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000004	Syak.g_01219, Syak.g_00720	Prac.g_00676
OG0000004	Syak.g_00003, Syak.g_02297	Prac.g_01698
OG0000005	Syak.g_02401	Prac.g_00612
OG0000005	Syak.g_00885, Syak.g_02436	Prac.g_00335
OG0000006	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317	Prac.g_01689
OG0000007	Syak.g_02595	Prac.g_00874
OG0000007	Syak.g_02416	Prac.g_00625
OG0000008	Syak.g_00267	Prac.g_00904
OG0000009	Syak.g_02194	Prac.g_01826
OG0000010	Syak.g_01119	Prac.g_01592, Prac.g_01248, Prac.g_01070
OG0000012	Syak.g_00010	Prac.g_00748
OG0000013	Syak.g_01275, Syak.g_01270	Prac.g_01604
OG0000014	Syak.g_01505	Prac.g_01625
OG0000015	Syak.g_00358	Prac.g_00898
OG0000016	Syak.g_01780	Prac.g_01934
OG0000017	Syak.g_02730	Prac.g_00773
OG0000018	Syak.g_01072	Prac.g_01004, Prac.g_01448
OG0000019	Syak.g_01413	Prac.g_01681, Prac.g_01496
OG0000021	Syak.g_00566	Prac.g_01169
OG0000022	Syak.g_00088	Prac.g_01510, Prac.g_01022
OG0000023	Syak.g_00316, Syak.g_00223	Prac.g_01174
OG0000025	Syak.g_00610	Prac.g_01441, Prac.g_01600
OG0000026	Syak.g_01757	Prac.g_01916, Prac.g_01241
OG0000027	Syak.g_00127	Prac.g_01074
OG0000028	Syak.g_01522	Prac.g_01611, Prac.g_00145
OG0000029	Syak.g_00169, Syak.g_00178	Prac.g_01158
OG0000030	Syak.g_01684, Syak.g_01685	Prac.g_00050
OG0000031	Syak.g_01630	Prac.g_00249
OG0000032	Syak.g_01707	Prac.g_00242
OG0000033	Syak.g_02101	Prac.g_01761
OG0000034	Syak.g_00950, Syak.g_02133	Prac.g_00185
OG0000035	Syak.g_01041	Prac.g_00411
OG0000037	Syak.g_02188	Prac.g_01822
OG0000038	Syak.g_01938, Syak.g_01936	Prac.g_00090
OG0000039	Syak.g_00772, Syak.g_01918	Prac.g_00685
OG0000041	Syak.g_02354	Prac.g_00579
OG0000042	Syak.g_00843, Syak.g_01681	Prac.g_00048
OG0000043	Syak.g_00335	Prac.g_01405
OG0000044	Syak.g_00153	Prac.g_00892
OG0000045	Syak.g_00317	Prac.g_01576
OG0000045	Syak.g_00228	Prac.g_01162
OG0000047	Syak.g_01147	Prac.g_01127, Prac.g_01601
OG0000048	Syak.g_01446	Prac.g_01159
OG0000053	Syak.g_01068	Prac.g_01901, Prac.g_00391
OG0000054	Syak.g_02744	Prac.g_00765
OG0000055	Syak.g_00766	Prac.g_01495
OG0000057	Syak.g_00724	Prac.g_00673
OG0000058	Syak.g_01530	Prac.g_00258, Prac.g_00434
OG0000059	Syak.g_01355	Prac.g_00500
OG0000061	Syak.g_00898	Prac.g_00985
OG0000063	Syak.g_01752	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syak.g_02192, Syak.g_00282	Prac.g_01824
OG0000066	Syak.g_02653	Prac.g_00833
OG0000067	Syak.g_00434	Prac.g_01475
OG0000068	Syak.g_02565	Prac.g_00217
OG0000070	Syak.g_01174	Prac.g_01097
OG0000071	Syak.g_00936	Prac.g_00175
OG0000072	Syak.g_02099	Prac.g_01759
OG0000073	Syak.g_02597	Prac.g_00872
OG0000075	Syak.g_01564	Prac.g_00017
OG0000076	Syak.g_01650	Prac.g_01904, Prac.g_00041
OG0000077	Syak.g_02243	Prac.g_01853
OG0000078	Syak.g_02310	Prac.g_01691
OG0000081	Syak.g_00115	Prac.g_00841
OG0000082	Syak.g_02711	Prac.g_00788
OG0000084	Syak.g_01036	Prac.g_00415
OG0000085	Syak.g_02427	Prac.g_00632
OG0000086	Syak.g_02219	Prac.g_01843
OG0000087	Syak.g_02141	Prac.g_01792
OG0000088	Syak.g_02106	Prac.g_01764
OG0000089	Syak.g_01215	Prac.g_01178
OG0000090	Syak.g_02640	Prac.g_00839
OG0000091	Syak.g_00043	Prac.g_00729
OG0000092	Syak.g_01126	Prac.g_01379, Prac.g_00003
OG0000094	Syak.g_00656	Prac.g_01275
