Orthogroup	Pram	Pray
OG0000000	Pram.g_01561	Pray.g_01888
OG0000000	Pram.g_01511	Pray.g_01576, Pray.g_01603
OG0000001	Pram.g_01954, Pram.g_01953	Pray.g_01844
OG0000002	Pram.g_00873, Pram.g_00879	Pray.g_01836
OG0000002	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768	Pray.g_01085
OG0000004	Pram.g_00789	Pray.g_01068
OG0000004	Pram.g_00219	Pray.g_00713
OG0000005	Pram.g_01295	Pray.g_01646
OG0000006	Pram.g_00229	Pray.g_00722
OG0000007	Pram.g_00433	Pray.g_00988, Pray.g_00987
OG0000007	Pram.g_01632	Pray.g_01559
OG0000008	Pram.g_01263	Pray.g_01931
OG0000009	Pram.g_00390, Pram.g_01284, Pram.g_01573	Pray.g_01920
OG0000010	Pram.g_00410	Pray.g_00964
OG0000010	Pram.g_00704, Pram.g_01000	Pray.g_00592
OG0000011	Pram.g_01579	Pray.g_01930
OG0000012	Pram.g_00561	Pray.g_01140
OG0000013	Pram.g_00315	Pray.g_00805
OG0000014	Pram.g_00295	Pray.g_00784
OG0000015	Pram.g_00696, Pram.g_01545	Pray.g_00309
OG0000017	Pram.g_00535, Pram.g_00542	Pray.g_01165
OG0000018	Pram.g_00837	Pray.g_00375
OG0000018	Pram.g_01162	Pray.g_00083
OG0000019	Pram.g_00237	Pray.g_00730
OG0000019	Pram.g_01164	Pray.g_00328
OG0000021	Pram.g_01274, Pram.g_00794	Pray.g_01578, Pray.g_00842
OG0000022	Pram.g_01287	Pray.g_00304
OG0000023	Pram.g_00689	Pray.g_00838
OG0000024	Pram.g_01004	Pray.g_00289
OG0000024	Pram.g_00765	Pray.g_01088
OG0000025	Pram.g_00844	Pray.g_00809, Pray.g_00383
OG0000026	Pram.g_00018	Pray.g_00599
OG0000028	Pram.g_00363	Pray.g_01935
OG0000028	Pram.g_00308	Pray.g_00798
OG0000029	Pram.g_01529	Pray.g_00296
OG0000029	Pram.g_01723	Pray.g_00853
OG0000030	Pram.g_01844	Pray.g_01374
OG0000031	Pram.g_01413	Pray.g_01806
OG0000034	Pram.g_01240	Pray.g_01860
OG0000035	Pram.g_01381, Pram.g_01378	Pray.g_01722
OG0000037	Pram.g_00093	Pray.g_00180
OG0000038	Pram.g_01884	Pray.g_01415
OG0000039	Pram.g_00777	Pray.g_01077
OG0000040	Pram.g_01599	Pray.g_01585
OG0000042	Pram.g_01841	Pray.g_01371
OG0000043	Pram.g_01161	Pray.g_01924, Pray.g_00420
OG0000044	Pram.g_01620	Pray.g_00002
OG0000047	Pram.g_00359	Pray.g_00897
OG0000048	Pram.g_00259	Pray.g_00852
OG0000050	Pram.g_00576, Pram.g_00706	Pray.g_00883
OG0000053	Pram.g_01357, Pram.g_01580	Pray.g_01702
OG0000054	Pram.g_00544	Pray.g_01157
OG0000055	Pram.g_01189, Pram.g_01617	Pray.g_00329
OG0000056	Pram.g_01611, Pram.g_00603, Pram.g_00602	Pray.g_01942
OG0000057	Pram.g_00792	Pray.g_01065
OG0000058	Pram.g_01447	Pray.g_01786
OG0000059	Pram.g_01719	Pray.g_01258
OG0000061	Pram.g_01140	Pray.g_00064
OG0000062	Pram.g_01293	Pray.g_01644
OG0000065	Pram.g_00091	Pray.g_00182
OG0000066	Pram.g_01558	Pray.g_01222
OG0000067	Pram.g_00809	Pray.g_00348
OG0000068	Pram.g_01468	Pray.g_01829
OG0000069	Pram.g_00391	Pray.g_01609
OG0000070	Pram.g_00385	Pray.g_00940
OG0000071	Pram.g_01230	Pray.g_01870
OG0000072	Pram.g_00156	Pray.g_00652
OG0000073	Pram.g_01426, Pram.g_00437	Pray.g_00990
OG0000074	Pram.g_00772, Pram.g_00715, Pram.g_00684	Pray.g_01081
OG0000075	Pram.g_01807	Pray.g_01339
