Orthogroup	Prbg	Other
OG0000033	Prbg.g_00557	Syaa.g_00485
OG0000033	Prbg.g_00557	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prbg.g_00557	Syah.g_00211
OG0000033	Prbg.g_00557	Syag.g_02481
OG0000033	Prbg.g_00557	Syad.g_00289
OG0000099	Prbg.g_00552	Syai.g_00151
OG0000120	Prbg.g_00549	Pras.g_00330
OG0000138	Prbg.g_00214	Syaj.g_02631
OG0000148	Prbg.g_01176	Syab.g_01683
OG0000148	Prbg.g_01176	Syaj.g_01002
OG0000217	Prbg.g_00077	Prar.g_01154
OG0000323	Prbg.g_01677	Syas.g_00159
OG0000390	Prbg.g_00887	Prad.g_00011
OG0000771	Prbg.g_00687	Prau.g_01496
