Orthogroup	Prap	Syah
OG0000001	Prap.g_01925	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Syah.g_01829
OG0000004	Prap.g_00802	Syah.g_02017
OG0000004	Prap.g_01480	Syah.g_01967, Syah.g_00901
OG0000005	Prap.g_00204	Syah.g_02363
OG0000006	Prap.g_01470	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prap.g_01270	Syah.g_01016
OG0000007	Prap.g_01779	Syah.g_02384
OG0000008	Prap.g_01888	Syah.g_01994
OG0000008	Prap.g_01887	Syah.g_01993
OG0000009	Prap.g_00216	Syah.g_02457
OG0000010	Prap.g_00669, Prap.g_00318	Syah.g_01220
OG0000012	Prap.g_01145	Syah.g_01960
OG0000013	Prap.g_01385	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Prap.g_01403	Syah.g_00127
OG0000015	Prap.g_01840, Prap.g_01794	Syah.g_01511, Syah.g_01510
OG0000016	Prap.g_00514	Syah.g_01402, Syah.g_01859
OG0000017	Prap.g_01170	Syah.g_01152
OG0000017	Prap.g_01163	Syah.g_01159
OG0000018	Prap.g_00478	Syah.g_01264
OG0000019	Prap.g_01462, Prap.g_00480	Syah.g_00669
OG0000023	Prap.g_00029	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prap.g_00322, Prap.g_00826	Syah.g_01990
OG0000025	Prap.g_00747	Syah.g_02082
OG0000026	Prap.g_00923	Syah.g_00340
OG0000027	Prap.g_01912, Prap.g_01860	Syah.g_01541
OG0000028	Prap.g_01889	Syah.g_00141
OG0000029	Prap.g_01899, Prap.g_01848, Prap.g_01688	Syah.g_01292
OG0000030	Prap.g_01569	Syah.g_00264, Syah.g_00265
OG0000031	Prap.g_00080	Syah.g_00146, Syah.g_00226, Syah.g_00322
OG0000032	Prap.g_00160	Syah.g_01246
OG0000033	Prap.g_00087	Syah.g_00078
OG0000034	Prap.g_00572	Syah.g_00048, Syah.g_02213
OG0000035	Prap.g_00121	Syah.g_01293
OG0000037	Prap.g_01067	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prap.g_01530	Syah.g_00508, Syah.g_00506
OG0000039	Prap.g_00814	Syah.g_02074
OG0000041	Prap.g_01731	Syah.g_02271, Syah.g_02039
OG0000042	Prap.g_01572	Syah.g_00261
OG0000043	Prap.g_00477	Syah.g_02119, Syah.g_01546
OG0000046	Prap.g_01384	Syah.g_00823, Syah.g_00830, Syah.g_00816
OG0000047	Prap.g_01343	Syah.g_00847
OG0000048	Prap.g_00548	Syah.g_00637
OG0000052	Prap.g_00897	Syah.g_00171
OG0000053	Prap.g_00142, Prap.g_01834	Syah.g_01267
OG0000054	Prap.g_01161	Syah.g_01982, Syah.g_01862
OG0000055	Prap.g_01805	Syah.g_01878
OG0000057	Prap.g_00799	Syah.g_02020
OG0000058	Prap.g_00081	Syah.g_00152
OG0000059	Prap.g_01691	Syah.g_00737
OG0000061	Prap.g_00456	Syah.g_02158
OG0000062	Prap.g_00206	Syah.g_02365
OG0000063	Prap.g_01903	Syah.g_00337
OG0000064	Prap.g_00883	Syah.g_02357, Syah.g_01353
OG0000065	Prap.g_01069	Syah.g_02537, Syah.g_02443
OG0000066	Prap.g_01230, Prap.g_01867	Syah.g_01073
OG0000067	Prap.g_00783	Syah.g_01779
OG0000068	Prap.g_00059	Syah.g_00986
OG0000069	Prap.g_01312	Syah.g_01715
OG0000070	Prap.g_01316	Syah.g_02217
