Orthogroup	Prbl	Pran
OG0000000	Prbl.g_00116	Pran.g_00601, Pran.g_00931, Pran.g_01423
OG0000000	Prbl.g_00118	Pran.g_00579, Pran.g_00001, Pran.g_00602, Pran.g_00593
OG0000001	Prbl.g_01092	Pran.g_01500
OG0000002	Prbl.g_02599	Pran.g_01395
OG0000004	Prbl.g_00117	Pran.g_00894, Pran.g_00580
OG0000005	Prbl.g_01685, Prbl.g_00679	Pran.g_01436
OG0000008	Prbl.g_00531	Pran.g_01681
OG0000008	Prbl.g_00394	Pran.g_00970
OG0000010	Prbl.g_01509	Pran.g_01363, Pran.g_01943
OG0000011	Prbl.g_01163	Pran.g_01410
OG0000012	Prbl.g_01465	Pran.g_01772
OG0000013	Prbl.g_00155, Prbl.g_00554	Pran.g_00615, Pran.g_00328
OG0000014	Prbl.g_01416	Pran.g_00754, Pran.g_00755
OG0000015	Prbl.g_00719	Pran.g_01864
OG0000016	Prbl.g_01566	Pran.g_01394
OG0000018	Prbl.g_01763, Prbl.g_01755	Pran.g_01580
OG0000020	Prbl.g_00007, Prbl.g_00046	Pran.g_00845
OG0000021	Prbl.g_00691	Pran.g_00713
OG0000022	Prbl.g_02601	Pran.g_01951
OG0000023	Prbl.g_01768	Pran.g_01829
OG0000025	Prbl.g_00040	Pran.g_01420
OG0000027	Prbl.g_01854	Pran.g_01506
OG0000028	Prbl.g_01855	Pran.g_00642
OG0000031	Prbl.g_01236, Prbl.g_01121, Prbl.g_02184	Pran.g_01167
OG0000032	Prbl.g_01981	Pran.g_00391
OG0000034	Prbl.g_00242	Pran.g_00733
OG0000037	Prbl.g_01677	Pran.g_00898, Pran.g_00944
OG0000040	Prbl.g_01822	Pran.g_00925
OG0000041	Prbl.g_01618	Pran.g_01555
OG0000045	Prbl.g_01783	Pran.g_01593
OG0000046	Prbl.g_01072, Prbl.g_01310	Pran.g_01401
OG0000047	Prbl.g_02084	Pran.g_00060
OG0000048	Prbl.g_00870	Pran.g_00777
OG0000049	Prbl.g_00890	Pran.g_00807
OG0000050	Prbl.g_01838, Prbl.g_00281	Pran.g_00266
OG0000051	Prbl.g_02355	Pran.g_01834
OG0000053	Prbl.g_01839, Prbl.g_02567	Pran.g_01460
OG0000054	Prbl.g_00405	Pran.g_00963
OG0000055	Prbl.g_01285	Pran.g_01160
OG0000056	Prbl.g_01977	Pran.g_00393, Pran.g_00930
OG0000057	Prbl.g_00290	Pran.g_00275
OG0000058	Prbl.g_00411	Pran.g_01824
OG0000059	Prbl.g_00752	Pran.g_01639
OG0000060	Prbl.g_02553	Pran.g_01447
OG0000061	Prbl.g_01943	Pran.g_01408, Pran.g_01379
OG0000062	Prbl.g_02310	Pran.g_01321
OG0000063	Prbl.g_00138	Pran.g_00108, Pran.g_00935
OG0000066	Prbl.g_01340	Pran.g_01703
OG0000067	Prbl.g_00025	Pran.g_01480
OG0000070	Prbl.g_00927	Pran.g_00903, Pran.g_00568
