Orthogroup	Syas	Prbm
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbm.g_01633
OG0000004	Syas.g_00176	Prbm.g_01483
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbm.g_00291
OG0000005	Syas.g_02704	Prbm.g_01790
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syas.g_01232	Prbm.g_00522
OG0000007	Syas.g_02681	Prbm.g_01841
OG0000008	Syas.g_00886	Prbm.g_01907
OG0000008	Syas.g_00887	Prbm.g_01908
OG0000010	Syas.g_01334	Prbm.g_01066
OG0000012	Syas.g_00111, Syas.g_00827	Prbm.g_01106
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbm.g_00382
OG0000014	Syas.g_01816	Prbm.g_00362
OG0000015	Syas.g_02007, Syas.g_00968	Prbm.g_01427, Prbm.g_01149
OG0000016	Syas.g_02048	Prbm.g_00013
OG0000016	Syas.g_01086, Syas.g_01050	Prbm.g_01944
OG0000017	Syas.g_00849	Prbm.g_00635
OG0000018	Syas.g_01290	Prbm.g_01571
OG0000019	Syas.g_01696	Prbm.g_00792
OG0000022	Syas.g_02758	Prbm.g_01324
OG0000025	Syas.g_00231	Prbm.g_00849
OG0000026	Syas.g_02070	Prbm.g_00031
OG0000028	Syas.g_01793	Prbm.g_01656
OG0000030	Syas.g_01644, Syas.g_01645	Prbm.g_02105
OG0000031	Syas.g_01827	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Syas.g_02328	Prbm.g_00228
OG0000034	Syas.g_02371, Syas.g_02838	Prbm.g_01620
OG0000035	Syas.g_02814, Syas.g_02818	Prbm.g_01710
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbm.g_00166
