locus_tag	ftype	length_bp	gene	EC_number	COG	product
Syab.g_00001	gene	1158	dnaN			
Syab.g_00001	CDS	1158	dnaN			Beta sliding clamp
Syab.g_00002	gene	714				
Syab.g_00002	CDS	714				hypothetical protein
Syab.g_00003	gene	2334	purL			
Syab.g_00003	CDS	2334	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
Syab.g_00004	gene	1506	purF			
Syab.g_00004	CDS	1506	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
Syab.g_00005	gene	2463	gyrA_1			
Syab.g_00005	CDS	2463	gyrA_1	5.6.2.2		DNA gyrase subunit A
Syab.g_00006	gene	900	bepA			
Syab.g_00006	CDS	900	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
Syab.g_00007	gene	975	queG			
Syab.g_00007	CDS	975	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
Syab.g_00008	gene	663				
Syab.g_00008	CDS	663				hypothetical protein
Syab.g_00009	gene	747				
Syab.g_00009	CDS	747				hypothetical protein
Syab.g_00010	gene	633	nusB			
Syab.g_00010	CDS	633	nusB			Transcription antitermination protein NusB
Syab.g_00011	gene	1656	ftsY			
Syab.g_00011	CDS	1656	ftsY			Signal recognition particle receptor FtsY
Syab.g_00012	gene	1311				
Syab.g_00012	CDS	1311				hypothetical protein
Syab.g_00013	gene	1419	argH			
Syab.g_00013	CDS	1419	argH	4.3.2.1	COG0165	Argininosuccinate lyase
Syab.g_00014	gene	546				
Syab.g_00014	CDS	546				hypothetical protein
Syab.g_00015	gene	1005	dusA			
Syab.g_00015	CDS	1005	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
Syab.g_00016	gene	501	msrB_1			
Syab.g_00016	CDS	501	msrB_1	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
Syab.g_00017	gene	1233	baiN			
Syab.g_00017	CDS	1233	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
Syab.g_00018	gene	3336				
Syab.g_00018	CDS	3336				hypothetical protein
Syab.g_00019	gene	1281	epsF			
Syab.g_00019	CDS	1281	epsF		COG1459	Type II secretion system protein F
Syab.g_00020	gene	1074	pilT_1			
Syab.g_00020	CDS	1074	pilT_1		COG2805	Twitching mobility protein
