Orthogroup	Prbg	Prab
OG0000000	Prbg.g_01567	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000002	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Prab.g_00683
OG0000004	Prbg.g_01140	Prab.g_00700
OG0000004	Prbg.g_01014	Prab.g_00223
OG0000005	Prbg.g_00674	Prab.g_01542
OG0000006	Prbg.g_01024	Prab.g_00231
OG0000007	Prbg.g_00216	Prab.g_00501
OG0000007	Prbg.g_01650	Prab.g_01669
OG0000009	Prbg.g_00686	Prab.g_01584
OG0000010	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193	Prab.g_00478
OG0000012	Prbg.g_00706, Prbg.g_00342	Prab.g_00627
OG0000013	Prbg.g_00104	Prab.g_00315
OG0000014	Prbg.g_00086	Prab.g_00294
OG0000015	Prbg.g_01589, Prbg.g_01635	Prab.g_00789
OG0000016	Prbg.g_01544	Prab.g_01579
OG0000017	Prbg.g_00317	Prab.g_00602
OG0000018	Prbg.g_01508	Prab.g_01201
OG0000018	Prbg.g_01187	Prab.g_00867
OG0000019	Prbg.g_01032	Prab.g_00239
OG0000019	Prbg.g_01510	Prab.g_00820
OG0000020	Prbg.g_00698	Prab.g_01162
OG0000020	Prbg.g_00727	Prab.g_00379
OG0000021	Prbg.g_00699	Prab.g_00354
OG0000022	Prbg.g_00682	Prab.g_00782
OG0000023	Prbg.g_00013	Prab.g_00348
OG0000024	Prbg.g_01352	Prab.g_00763
OG0000024	Prbg.g_01116	Prab.g_00680
OG0000025	Prbg.g_01195	Prab.g_00874, Prab.g_00319
OG0000026	Prbg.g_00842	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Prbg.g_00721	Prab.g_00914, Prab.g_01616
OG0000029	Prbg.g_00734, Prbg.g_01581	Prab.g_00773
OG0000030	Prbg.g_01858	Prab.g_01867
OG0000031	Prbg.g_00550	Prab.g_01446
OG0000033	Prbg.g_00557	Prab.g_01400
OG0000033	Prbg.g_00947	Prab.g_00160
OG0000034	Prbg.g_00488	Prab.g_01336
OG0000037	Prbg.g_00881	Prab.g_00100
OG0000038	Prbg.g_01898	Prab.g_01908
OG0000039	Prbg.g_01128	Prab.g_00691
OG0000041	Prbg.g_01697	Prab.g_01715
OG0000042	Prbg.g_01855	Prab.g_01864
OG0000043	Prbg.g_01507	Prab.g_01100
OG0000045	Prbg.g_01530	Prab.g_00360
