Orthogroup	Prbl	Syal
OG0000000	Prbl.g_00116, Prbl.g_00118, Prbl.g_00117	Syal.g_01111, Syal.g_01832
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Syal.g_02193
OG0000001	Prbl.g_00808, Prbl.g_02598	Syal.g_00874, Syal.g_01184
OG0000004	Prbl.g_00021	Syal.g_01809
OG0000004	Prbl.g_01771	Syal.g_02718, Syal.g_00691
OG0000005	Prbl.g_00419	Syal.g_00565
OG0000006	Prbl.g_02601	Syal.g_00674
OG0000007	Prbl.g_00531	Syal.g_02918
OG0000007	Prbl.g_00394	Syal.g_00587
OG0000008	Prbl.g_01855	Syal.g_02512
OG0000008	Prbl.g_01854	Syal.g_01783
OG0000009	Prbl.g_00155, Prbl.g_00554	Syal.g_00818
OG0000010	Prbl.g_01341	Syal.g_00464
OG0000013	Prbl.g_01183	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prbl.g_01416	Syal.g_01305
OG0000017	Prbl.g_01755	Syal.g_02745
OG0000017	Prbl.g_01763	Syal.g_02752
OG0000018	Prbl.g_00694	Syal.g_00410
OG0000019	Prbl.g_01097	Syal.g_01209
OG0000022	Prbl.g_01310, Prbl.g_01072	Syal.g_02587
OG0000023	Prbl.g_02355	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbl.g_00040	Syal.g_02597
OG0000025	Prbl.g_01539	Syal.g_02459
OG0000026	Prbl.g_01977	Syal.g_00132
OG0000028	Prbl.g_00900	Syal.g_01319
OG0000029	Prbl.g_01163	Syal.g_03014
OG0000030	Prbl.g_02061	Syal.g_01511
OG0000030	Prbl.g_02060	Syal.g_01512
OG0000032	Prbl.g_00712	Syal.g_00428
OG0000032	Prbl.g_00889	Syal.g_00183
OG0000033	Prbl.g_00278	Syal.g_00912
OG0000034	Prbl.g_01734	Syal.g_00881, Syal.g_01586
OG0000035	Prbl.g_00242	Syal.g_00020, Syal.g_00370
OG0000037	Prbl.g_00548	Syal.g_00824
OG0000038	Prbl.g_02235	Syal.g_01071
OG0000038	Prbl.g_02233	Syal.g_01073
OG0000039	Prbl.g_01272	Syal.g_01097
OG0000041	Prbl.g_00339	Syal.g_00649
OG0000042	Prbl.g_01236, Prbl.g_01121	Syal.g_01705, Syal.g_01508
OG0000045	Prbl.g_00609	Syal.g_01563
OG0000046	Prbl.g_01184	Syal.g_00309, Syal.g_00316, Syal.g_00321
OG0000047	Prbl.g_01574, Prbl.g_00719	Syal.g_01568
OG0000048	Prbl.g_01465	Syal.g_01250
OG0000051	Prbl.g_01677	Syal.g_01550
OG0000052	Prbl.g_00870	Syal.g_01338
OG0000053	Prbl.g_00691	Syal.g_00406
OG0000054	Prbl.g_01752	Syal.g_02739
OG0000056	Prbl.g_01599, Prbl.g_01171	Syal.g_02054
