Orthogroup	Prat	Syaa
OG0000004	Prat.g_00772	Syaa.g_00892
OG0000004	Prat.g_00236	Syaa.g_01667, Syaa.g_02116
OG0000005	Prat.g_01440	Syaa.g_00573
OG0000006	Prat.g_00248	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prat.g_00458	Syaa.g_02032
OG0000007	Prat.g_01592	Syaa.g_00551
OG0000008	Prat.g_00376	Syaa.g_00918
OG0000008	Prat.g_00377	Syaa.g_00919
OG0000010	Prat.g_00682, Prat.g_00662, Prat.g_00433	Syaa.g_01843
OG0000012	Prat.g_00586	Syaa.g_01660
OG0000013	Prat.g_00334	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prat.g_00314	Syaa.g_00222
OG0000014	Prat.g_01267	Syaa.g_00481
OG0000015	Prat.g_00701	Syaa.g_01079, Syaa.g_01989
OG0000016	Prat.g_00014	Syaa.g_00014
OG0000016	Prat.g_01219	Syaa.g_00981, Syaa.g_01481
OG0000017	Prat.g_00567	Syaa.g_01883
OG0000017	Prat.g_00560	Syaa.g_01890
OG0000018	Prat.g_01177, Prat.g_01009	Syaa.g_01801
OG0000019	Prat.g_00255, Prat.g_01180	Syaa.g_00307
OG0000021	Prat.g_00461	Syaa.g_02627
OG0000022	Prat.g_01192, Prat.g_01448	Syaa.g_01571
OG0000023	Prat.g_00834	Syaa.g_01529, Syaa.g_01216
OG0000024	Prat.g_00622, Prat.g_00749	Syaa.g_00922
OG0000025	Prat.g_01003	Syaa.g_00839
OG0000026	Prat.g_00033	Syaa.g_00038
OG0000027	Prat.g_01548, Prat.g_01474	Syaa.g_01605, Syaa.g_00854
OG0000028	Prat.g_00327, Prat.g_00380	Syaa.g_00205
OG0000030	Prat.g_01799	Syaa.g_00099, Syaa.g_00098
OG0000031	Prat.g_01266	Syaa.g_00480
OG0000032	Prat.g_01394	Syaa.g_01818
OG0000033	Prat.g_01265	Syaa.g_00485
OG0000033	Prat.g_00170	Syaa.g_02478
OG0000034	Prat.g_01259	Syaa.g_00722, Syaa.g_02444
OG0000035	Prat.g_01352, Prat.g_01353	Syaa.g_01773
OG0000037	Prat.g_00106	Syaa.g_02384
OG0000038	Prat.g_01839	Syaa.g_02596
OG0000039	Prat.g_00760	Syaa.g_00846
OG0000040	Prat.g_01578	Syaa.g_01606
OG0000041	Prat.g_01640	Syaa.g_00660
OG0000042	Prat.g_01796	Syaa.g_00103
OG0000045	Prat.g_01203	Syaa.g_01560
OG0000046	Prat.g_00335	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Prat.g_00374	Syaa.g_02189
OG0000048	Prat.g_00278	Syaa.g_02719, Syaa.g_00275
OG0000050	Prat.g_00685	Syaa.g_01591
OG0000053	Prat.g_01375	Syaa.g_01797
OG0000054	Prat.g_00569	Syaa.g_01691
OG0000055	Prat.g_00852	Syaa.g_00852
OG0000057	Prat.g_00775	Syaa.g_00889
OG0000058	Prat.g_01311	Syaa.g_00193
OG0000059	Prat.g_01679	Syaa.g_02315
OG0000061	Prat.g_01156	Syaa.g_00770
OG0000062	Prat.g_01442	Syaa.g_00571
OG0000063	Prat.g_01516	Syaa.g_00042
OG0000064	Prat.g_00064	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579
OG0000065	Prat.g_00104	Syaa.g_02380
OG0000066	Prat.g_01499	Syaa.g_01968
OG0000067	Prat.g_01037	Syaa.g_01154
OG0000068	Prat.g_01291	Syaa.g_02059
OG0000069	Prat.g_01400	Syaa.g_01256
OG0000070	Prat.g_00412	Syaa.g_00718
OG0000071	Prat.g_01249	Syaa.g_00735
OG0000072	Prat.g_00172	Syaa.g_02480
OG0000073	Prat.g_00462	Syaa.g_02030
OG0000074	Prat.g_00696, Prat.g_00755, Prat.g_01577	Syaa.g_00372
OG0000075	Prat.g_01761	Syaa.g_00157
OG0000076	Prat.g_01788	Syaa.g_00123
OG0000077	Prat.g_00075	Syaa.g_00341
OG0000078	Prat.g_00245	Syaa.g_02103
OG0000079	Prat.g_00258	Syaa.g_00303
OG0000080	Prat.g_01323	Syaa.g_00487
OG0000081	Prat.g_00493	Syaa.g_02089
OG0000082	Prat.g_01507	Syaa.g_01905
OG0000084	Prat.g_01348	Syaa.g_01770
OG0000085	Prat.g_01584	Syaa.g_00564
OG0000086	Prat.g_00086	Syaa.g_00324
OG0000087	Prat.g_00138	Syaa.g_02433
OG0000088	Prat.g_00166	Syaa.g_02474
OG0000089	Prat.g_00370	Syaa.g_02149
OG0000090	Prat.g_00495	Syaa.g_01980
OG0000091	Prat.g_01082	Syaa.g_01625
OG0000093	Prat.g_01053	Syaa.g_01139
OG0000097	Prat.g_01111	Syaa.g_00979
OG0000099	Prat.g_01312	Syaa.g_00202
OG0000100	Prat.g_01437	Syaa.g_01201
OG0000101	Prat.g_01726	Syaa.g_02249
OG0000102	Prat.g_01793	Syaa.g_00118
OG0000103	Prat.g_01880	Syaa.g_02740
OG0000104	Prat.g_01889	Syaa.g_02754
OG0000105	Prat.g_00281	Syaa.g_00270
OG0000106	Prat.g_00637	Syaa.g_01439
OG0000107	Prat.g_01656	Syaa.g_02351
OG0000108	Prat.g_00440	Syaa.g_02051
OG0000109	Prat.g_00455	Syaa.g_02036
OG0000110	Prat.g_00539	Syaa.g_01918
OG0000111	Prat.g_00776	Syaa.g_00888
OG0000112	Prat.g_00888	Syaa.g_01366
OG0000113	Prat.g_01014	Syaa.g_01196
OG0000114	Prat.g_00716	Syaa.g_01094
OG0000115	Prat.g_01373	Syaa.g_01795
OG0000116	Prat.g_01166	Syaa.g_00757
OG0000117	Prat.g_01129	Syaa.g_01009
OG0000118	Prat.g_01261	Syaa.g_01874
OG0000119	Prat.g_00647, Prat.g_01452	Syaa.g_00785
OG0000120	Prat.g_00344	Syaa.g_00201
OG0000121	Prat.g_01355	Syaa.g_01777
OG0000122	Prat.g_00781, Prat.g_01398	Syaa.g_01598
OG0000123	Prat.g_01733	Syaa.g_02242
OG0000124	Prat.g_01805	Syaa.g_00092
OG0000125	Prat.g_01841	Syaa.g_02598
OG0000126	Prat.g_01888	Syaa.g_02752
OG0000128	Prat.g_00012, Prat.g_00011	Syaa.g_00012
OG0000129	Prat.g_00047	Syaa.g_02586
OG0000130	Prat.g_00066	Syaa.g_00354
OG0000131	Prat.g_00144	Syaa.g_02448
OG0000132	Prat.g_00164	Syaa.g_02472
OG0000133	Prat.g_00329	Syaa.g_01361
OG0000134	Prat.g_00372	Syaa.g_02146
OG0000135	Prat.g_01477	Syaa.g_02649
OG0000136	Prat.g_00401	Syaa.g_00708
OG0000137	Prat.g_00434	Syaa.g_01842
OG0000138	Prat.g_00456	Syaa.g_02035
OG0000139	Prat.g_00499	Syaa.g_01974
