Orthogroup	Syan	Prbd
OG0000001	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528	Prbd.g_01779
OG0000004	Syan.g_00183	Prbd.g_00549
OG0000004	Syan.g_00989	Prbd.g_01007
OG0000005	Syan.g_01423	Prbd.g_01512
OG0000005	Syan.g_01378	Prbd.g_01612
OG0000006	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbd.g_00998
OG0000007	Syan.g_02743	Prbd.g_00745
OG0000007	Syan.g_01400	Prbd.g_01525
OG0000009	Syan.g_02972	Prbd.g_01887, Prbd.g_01576, Prbd.g_01139
OG0000010	Syan.g_02847	Prbd.g_00348
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Prbd.g_00621
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbd.g_00912
OG0000014	Syan.g_01987	Prbd.g_00933
OG0000015	Syan.g_01691, Syan.g_00248	Prbd.g_00065, Prbd.g_00826
OG0000016	Syan.g_01766	Prbd.g_01224
OG0000017	Syan.g_01006, Syan.g_01013	Prbd.g_00646
OG0000018	Syan.g_02816	Prbd.g_00449
OG0000019	Syan.g_02088	Prbd.g_00990, Prbd.g_00082
OG0000021	Syan.g_01001	Prbd.g_01546, Prbd.g_00874
OG0000022	Syan.g_00089	Prbd.g_00423
OG0000023	Syan.g_00404	Prbd.g_00879
OG0000025	Syan.g_00374	Prbd.g_00908, Prbd.g_00137
OG0000026	Syan.g_01743	Prbd.g_01206, Prbd.g_00355
OG0000027	Syan.g_02678	Prbd.g_00772, Prbd.g_01832
OG0000028	Syan.g_01971	Prbd.g_01864, Prbd.g_00919
OG0000030	Syan.g_01884, Syan.g_01883	Prbd.g_01325
OG0000032	Syan.g_01819	Prbd.g_01730
OG0000034	Syan.g_01227, Syan.g_03003	Prbd.g_01791
OG0000035	Syan.g_01279, Syan.g_01276	Prbd.g_01689
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbd.g_01135
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbd.g_01283
OG0000039	Syan.g_02771, Syan.g_00535	Prbd.g_00558
OG0000040	Syan.g_01651	Prbd.g_00448
OG0000041	Syan.g_00302, Syan.g_01465	Prbd.g_01478
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbd.g_01328
OG0000045	Syan.g_00151	Prbd.g_00867
OG0000048	Syan.g_02036	Prbd.g_00439, Prbd.g_00864
OG0000053	Syan.g_02812	Prbd.g_01669
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Prbd.g_00638
OG0000055	Syan.g_00312	Prbd.g_00083
OG0000057	Syan.g_00643, Syan.g_02514, Syan.g_00186	Prbd.g_00546
OG0000059	Syan.g_02255	Prbd.g_01439
OG0000060	Syan.g_02856, Syan.g_02250, Syan.g_00249, Syan.g_00277	Prbd.g_00824
OG0000061	Syan.g_02696	Prbd.g_00468
OG0000062	Syan.g_01380	Prbd.g_01610
OG0000063	Syan.g_01739	Prbd.g_01204
OG0000065	Syan.g_02974	Prbd.g_01137
