Orthogroup	Prbf	Prbn
OG0000000	Prbf.g_00880	Prbn.g_01151
OG0000000	Prbf.g_00776	Prbn.g_01662
OG0000000	Prbf.g_00775	Prbn.g_01152
OG0000000	Prbf.g_00775	Prbn.g_01663
OG0000000	Prbf.g_00881	Prbn.g_01152
OG0000000	Prbf.g_00881	Prbn.g_01663
OG0000000	Prbf.g_00760	Prbn.g_01678
OG0000001	Prbf.g_00068	Prbn.g_01213
OG0000001	Prbf.g_00831	Prbn.g_01923
OG0000002	Prbf.g_01182	Prbn.g_01483
OG0000002	Prbf.g_01177	Prbn.g_01478
OG0000002	Prbf.g_00888	Prbn.g_01159
OG0000002	Prbf.g_00089	Prbn.g_01234
OG0000002	Prbf.g_00890	Prbn.g_01161
OG0000002	Prbf.g_00883	Prbn.g_01154
OG0000002	Prbf.g_00260	Prbn.g_00879
OG0000002	Prbf.g_01285	Prbn.g_01586
OG0000004	Prbf.g_01264	Prbn.g_01565
OG0000004	Prbf.g_01570	Prbn.g_00318
OG0000005	Prbf.g_00240	Prbn.g_00899
OG0000006	Prbf.g_01580	Prbn.g_00308
OG0000007	Prbf.g_01780	Prbn.g_00617
OG0000007	Prbf.g_00693	Prbn.g_01745
OG0000008	Prbf.g_00793	Prbn.g_01645
OG0000008	Prbf.g_00792	Prbn.g_01646
OG0000009	Prbf.g_00252	Prbn.g_00887
OG0000010	Prbf.g_01757	Prbn.g_00640
OG0000010	Prbf.g_00847	Prbn.g_01939
OG0000010	Prbf.g_01056	Prbn.g_01357
OG0000011	Prbf.g_00347	Prbn.g_00802
OG0000012	Prbf.g_01905	Prbn.g_00492
OG0000012	Prbf.g_00272	Prbn.g_00867
OG0000013	Prbf.g_01665	Prbn.g_00092
OG0000014	Prbf.g_01647	Prbn.g_00074
OG0000015	Prbf.g_00754	Prbn.g_01684
OG0000015	Prbf.g_00708	Prbn.g_01730
OG0000016	Prbf.g_00860	Prbn.g_01131
OG0000017	Prbf.g_01880	Prbn.g_00517
OG0000017	Prbf.g_01887	Prbn.g_00510
OG0000018	Prbf.g_01217	Prbn.g_01518
OG0000018	Prbf.g_00896	Prbn.g_01167
OG0000019	Prbf.g_01588	Prbn.g_00015
OG0000019	Prbf.g_00894	Prbn.g_01165
OG0000020	Prbf.g_00264	Prbn.g_00875
OG0000020	Prbf.g_00811	Prbn.g_00133
OG0000021	Prbf.g_00265	Prbn.g_00874
OG0000021	Prbf.g_01259	Prbn.g_01560
OG0000022	Prbf.g_00248	Prbn.g_00891
OG0000023	Prbf.g_00287	Prbn.g_01030
OG0000024	Prbf.g_01052	Prbn.g_01353
OG0000024	Prbf.g_01288	Prbn.g_01589
OG0000025	Prbf.g_01209	Prbn.g_01510
OG0000026	Prbf.g_01354	Prbn.g_00750
OG0000027	Prbf.g_00817	Prbn.g_00139
OG0000027	Prbf.g_00774	Prbn.g_01664
OG0000028	Prbf.g_00794	Prbn.g_01644
OG0000029	Prbf.g_00804	Prbn.g_00126
OG0000029	Prbf.g_00762	Prbn.g_01676
OG0000029	Prbf.g_00603	Prbn.g_01836
OG0000030	Prbf.g_00484	Prbn.g_00985
OG0000031	Prbf.g_00116	Prbn.g_00171
OG0000032	Prbf.g_00196	Prbn.g_00251
OG0000033	Prbf.g_01503	Prbn.g_01244
OG0000033	Prbf.g_00123	Prbn.g_00178
OG0000034	Prbf.g_00015	Prbn.g_01073
OG0000035	Prbf.g_00157	Prbn.g_00212
OG0000037	Prbf.g_01437	Prbn.g_01310
OG0000038	Prbf.g_00445	Prbn.g_00946
OG0000039	Prbf.g_01276	Prbn.g_01577
OG0000041	Prbf.g_00646	Prbn.g_01793
OG0000042	Prbf.g_00487	Prbn.g_00988
OG0000043	Prbf.g_00897	Prbn.g_01168
OG0000045	Prbf.g_00874	Prbn.g_01145
OG0000046	Prbf.g_01666	Prbn.g_00093
OG0000047	Prbf.g_01707	Prbn.g_00690
OG0000048	Prbf.g_00039	Prbn.g_01097
OG0000048	Prbf.g_01611	Prbn.g_00038
OG0000050	Prbf.g_00845	Prbn.g_01937
OG0000051	Prbf.g_00340	Prbn.g_00809
OG0000052	Prbf.g_00135	Prbn.g_00190
OG0000052	Prbf.g_01380	Prbn.g_00724
OG0000053	Prbf.g_00178	Prbn.g_00233
OG0000053	Prbf.g_00748	Prbn.g_01690
OG0000054	Prbf.g_01889	Prbn.g_00508
OG0000055	Prbf.g_00869	Prbn.g_01140
OG0000055	Prbf.g_00719	Prbn.g_01719
OG0000057	Prbf.g_01261	Prbn.g_01562
OG0000058	Prbf.g_00117	Prbn.g_00172
OG0000059	Prbf.g_00606	Prbn.g_01833
OG0000061	Prbf.g_00918	Prbn.g_01189
OG0000062	Prbf.g_00242	Prbn.g_00897
OG0000063	Prbf.g_00808	Prbn.g_00130
OG0000064	Prbf.g_01394	Prbn.g_00710
OG0000065	Prbf.g_01435	Prbn.g_01312
OG0000066	Prbf.g_01820	Prbn.g_00577
OG0000066	Prbf.g_00781	Prbn.g_01657
OG0000067	Prbf.g_01245	Prbn.g_01546
OG0000068	Prbf.g_00095	Prbn.g_01240
OG0000069	Prbf.g_01738	Prbn.g_00659
OG0000070	Prbf.g_01734	Prbn.g_00663
OG0000071	Prbf.g_00026	Prbn.g_01084
OG0000072	Prbf.g_01505	Prbn.g_00383
OG0000073	Prbf.g_01783	Prbn.g_00614
OG0000074	Prbf.g_01281	Prbn.g_01582
OG0000074	Prbf.g_00836	Prbn.g_01928
OG0000074	Prbf.g_00295	Prbn.g_01038
OG0000075	Prbf.g_00522	Prbn.g_01917
OG0000076	Prbf.g_00496	Prbn.g_00996
OG0000077	Prbf.g_01405	Prbn.g_01342
OG0000078	Prbf.g_01578	Prbn.g_00310
OG0000079	Prbf.g_01591	Prbn.g_00018
OG0000080	Prbf.g_00129	Prbn.g_00184
OG0000080	Prbf.g_00131	Prbn.g_00186
OG0000081	Prbf.g_01812	Prbn.g_00585
OG0000082	Prbf.g_01867	Prbn.g_00530
OG0000082	Prbf.g_00704	Prbn.g_01734
OG0000084	Prbf.g_00154	Prbn.g_00209
OG0000085	Prbf.g_00822	Prbn.g_00144
OG0000085	Prbf.g_00701	Prbn.g_01737
OG0000086	Prbf.g_01414	Prbn.g_01333
OG0000087	Prbf.g_01469	Prbn.g_01278
OG0000088	Prbf.g_01500	Prbn.g_01247
OG0000089	Prbf.g_01701	Prbn.g_00696
OG0000090	Prbf.g_01814	Prbn.g_00583
OG0000091	Prbf.g_00990	Prbn.g_00434
OG0000092	Prbf.g_01315	Prbn.g_01616
OG0000093	Prbf.g_01019	Prbn.g_00846
OG0000094	Prbf.g_01068	Prbn.g_01369
OG0000095	Prbf.g_01170	Prbn.g_01471
OG0000096	Prbf.g_00306	Prbn.g_01049
OG0000097	Prbf.g_00964	Prbn.g_00408
OG0000098	Prbf.g_00071	Prbn.g_01216
OG0000099	Prbf.g_00118	Prbn.g_00173
OG0000100	Prbf.g_00236	Prbn.g_00903
OG0000101	Prbf.g_00558	Prbn.g_01881
OG0000102	Prbf.g_00491	Prbn.g_00991
OG0000103	Prbf.g_00406	Prbn.g_00907
OG0000104	Prbf.g_00397	Prbn.g_00296
OG0000105	Prbf.g_01614	Prbn.g_00041
OG0000106	Prbf.g_00320	Prbn.g_00829
OG0000107	Prbf.g_00629	Prbn.g_01810
OG0000108	Prbf.g_01763	Prbn.g_00634
OG0000109	Prbf.g_01777	Prbn.g_00620
OG0000110	Prbf.g_01856	Prbn.g_00541
OG0000111	Prbf.g_01260	Prbn.g_01561
OG0000112	Prbf.g_01929	Prbn.g_00468
OG0000113	Prbf.g_01222	Prbn.g_01523
OG0000114	Prbf.g_01320	Prbn.g_01621
OG0000115	Prbf.g_00062	Prbn.g_01120
OG0000116	Prbf.g_00907	Prbn.g_01178
OG0000117	Prbf.g_00945	Prbn.g_00389
OG0000118	Prbf.g_00013	Prbn.g_01071
OG0000119	Prbf.g_00864	Prbn.g_01135
OG0000119	Prbf.g_00254	Prbn.g_00885
OG0000120	Prbf.g_00115	Prbn.g_00170
OG0000121	Prbf.g_00159	Prbn.g_00214
OG0000122	Prbf.g_00055	Prbn.g_01113
OG0000122	Prbf.g_00200	Prbn.g_00255
OG0000123	Prbf.g_00551	Prbn.g_01888
OG0000124	Prbf.g_00478	Prbn.g_00979
OG0000125	Prbf.g_00443	Prbn.g_00944
OG0000126	Prbf.g_00398	Prbn.g_00295
OG0000128	Prbf.g_00382	Prbn.g_00002, Prbn.g_00003
OG0000129	Prbf.g_01367	Prbn.g_00737
OG0000130	Prbf.g_01396	Prbn.g_00708
OG0000131	Prbf.g_01478	Prbn.g_01269
OG0000132	Prbf.g_01498	Prbn.g_01249
OG0000133	Prbf.g_01661	Prbn.g_00088
OG0000134	Prbf.g_01703	Prbn.g_00694
OG0000135	Prbf.g_00044	Prbn.g_01102
OG0000136	Prbf.g_01725	Prbn.g_00672
OG0000137	Prbf.g_01758	Prbn.g_00639
OG0000138	Prbf.g_01778	Prbn.g_00619
OG0000139	Prbf.g_01818	Prbn.g_00579
OG0000140	Prbf.g_01819	Prbn.g_00578
OG0000141	Prbf.g_01890	Prbn.g_00507
OG0000142	Prbf.g_00982	Prbn.g_00426
OG0000143	Prbf.g_00986	Prbn.g_00430
OG0000144	Prbf.g_01000	Prbn.g_00444
OG0000145	Prbf.g_00042	Prbn.g_01100
OG0000146	Prbf.g_01928	Prbn.g_00469
