Orthogroup	Prar	Syaq
OG0000004	Prar.g_01525	Syaq.g_02603
OG0000004	Prar.g_00095	Syaq.g_02042, Syaq.g_01567
OG0000005	Prar.g_01130	Syaq.g_01658
OG0000005	Prar.g_00771	Syaq.g_01692
OG0000006	Prar.g_00086	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prar.g_01328	Syaq.g_01793
OG0000007	Prar.g_01143	Syaq.g_01673
OG0000008	Prar.g_01185	Syaq.g_02162
OG0000009	Prar.g_00223	Syaq.g_01489
OG0000010	Prar.g_01567, Prar.g_01912, Prar.g_00524	Syaq.g_00443
OG0000011	Prar.g_00978, Prar.g_00988	Syaq.g_01038
OG0000012	Prar.g_01453	Syaq.g_02059
OG0000013	Prar.g_00260	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prar.g_00281	Syaq.g_00862
OG0000015	Prar.g_01179	Syaq.g_02255
OG0000016	Prar.g_00025	Syaq.g_01136
OG0000017	Prar.g_01428	Syaq.g_01992
OG0000018	Prar.g_01282, Prar.g_01711	Syaq.g_00401
OG0000019	Prar.g_00078, Prar.g_01663	Syaq.g_00717
OG0000022	Prar.g_01649, Prar.g_01300	Syaq.g_02126
OG0000023	Prar.g_00420	Syaq.g_02540
OG0000025	Prar.g_01718, Prar.g_00256	Syaq.g_02381
OG0000026	Prar.g_00007, Prar.g_01919	Syaq.g_01114
OG0000028	Prar.g_00267, Prar.g_00985	Syaq.g_00878
OG0000030	Prar.g_00662	Syaq.g_01047, Syaq.g_01048
OG0000031	Prar.g_00879	Syaq.g_01009
OG0000033	Prar.g_00158	Syaq.g_01399
OG0000034	Prar.g_00945	Syaq.g_00312, Syaq.g_01431
OG0000035	Prar.g_00339	Syaq.g_00372
OG0000037	Prar.g_00219	Syaq.g_01483
OG0000038	Prar.g_00702	Syaq.g_01260, Syaq.g_01258
OG0000039	Prar.g_01516	Syaq.g_01601, Syaq.g_01241
OG0000042	Prar.g_00660	Syaq.g_00200, Syaq.g_01044
OG0000045	Prar.g_00432	Syaq.g_02047
OG0000048	Prar.g_00435	Syaq.g_00749
OG0000053	Prar.g_00589, Prar.g_00827	Syaq.g_00397
OG0000054	Prar.g_01436	Syaq.g_02005
OG0000055	Prar.g_01664	Syaq.g_02700
OG0000057	Prar.g_01528	Syaq.g_02605
OG0000058	Prar.g_00870, Prar.g_00362	Syaq.g_00944
OG0000059	Prar.g_01090	Syaq.g_00657
OG0000061	Prar.g_01263	Syaq.g_00249
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syaq.g_01110
OG0000065	Prar.g_00221	Syaq.g_01908, Syaq.g_01487
OG0000066	Prar.g_01369	Syaq.g_01851
OG0000067	Prar.g_01684	Syaq.g_02340
OG0000068	Prar.g_00911	Syaq.g_01763
OG0000070	Prar.g_00498	Syaq.g_00484
OG0000071	Prar.g_00955	Syaq.g_00297
OG0000072	Prar.g_00156	Syaq.g_01397
OG0000073	Prar.g_01330	Syaq.g_01795
OG0000075	Prar.g_00629	Syaq.g_00986
OG0000076	Prar.g_00592, Prar.g_00653	Syaq.g_01028
OG0000077	Prar.g_00250	Syaq.g_01547
OG0000078	Prar.g_00088	Syaq.g_01585
OG0000081	Prar.g_01361	Syaq.g_01893
OG0000082	Prar.g_01414	Syaq.g_01975
