Orthogroup	Prbd	Prbj
OG0000000	Prbd.g_01833	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbd.g_01568	Prbj.g_00164
OG0000001	Prbd.g_01779	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Prbd.g_01771	Prbj.g_02517
OG0000002	Prbd.g_00566	Prbj.g_00030
OG0000004	Prbd.g_00549	Prbj.g_00754
OG0000004	Prbd.g_01007	Prbj.g_01777
OG0000005	Prbd.g_01612	Prbj.g_00883
OG0000006	Prbd.g_00998	Prbj.g_02699
OG0000007	Prbd.g_00745	Prbj.g_01610
OG0000007	Prbd.g_01525	Prbj.g_00857
OG0000009	Prbd.g_01139	Prbj.g_01300, Prbj.g_00618
OG0000010	Prbd.g_00348	Prbj.g_00129
OG0000011	Prbd.g_01859	Prbj.g_00897
OG0000012	Prbd.g_00621	Prbj.g_02552
OG0000013	Prbd.g_00912	Prbj.g_00359
OG0000014	Prbd.g_00933	Prbj.g_01442
OG0000015	Prbd.g_00065, Prbd.g_00826	Prbj.g_02502
OG0000017	Prbd.g_00646	Prbj.g_01769, Prbj.g_01761
OG0000018	Prbd.g_00449	Prbj.g_00641
OG0000019	Prbd.g_00990, Prbd.g_00082	Prbj.g_00025, Prbj.g_01349
OG0000021	Prbd.g_01546, Prbd.g_00874	Prbj.g_01121, Prbj.g_01774
OG0000022	Prbd.g_00423	Prbj.g_00050
OG0000022	Prbd.g_00061	Prbj.g_01572
OG0000023	Prbd.g_00879	Prbj.g_02392
OG0000024	Prbd.g_00045, Prbd.g_00569	Prbj.g_00773
OG0000025	Prbd.g_00908, Prbd.g_00137	Prbj.g_02475
OG0000026	Prbd.g_01206, Prbd.g_00355	Prbj.g_01204
OG0000028	Prbd.g_00919	Prbj.g_01457
OG0000029	Prbd.g_00052	Prbj.g_00378
OG0000030	Prbd.g_01325	Prbj.g_01288, Prbj.g_01287
OG0000032	Prbd.g_01730	Prbj.g_01468
OG0000034	Prbd.g_01791	Prbj.g_01740
OG0000035	Prbd.g_01689	Prbj.g_01056
OG0000037	Prbd.g_01135	Prbj.g_00624
OG0000038	Prbd.g_01283	Prbj.g_01959, Prbj.g_01961
OG0000039	Prbd.g_00558	Prbj.g_00429, Prbj.g_00278
OG0000041	Prbd.g_01478	Prbj.g_00450
OG0000042	Prbd.g_01328	Prbj.g_01808, Prbj.g_00001
OG0000047	Prbd.g_00909	Prbj.g_00666
OG0000048	Prbd.g_00439, Prbd.g_00864	Prbj.g_01393
OG0000053	Prbd.g_01669	Prbj.g_00638
OG0000054	Prbd.g_00638	Prbj.g_01758
OG0000057	Prbd.g_00546	Prbj.g_00758
OG0000059	Prbd.g_01439	Prbj.g_01029
OG0000060	Prbd.g_00824	Prbj.g_01633, Prbj.g_01132
OG0000061	Prbd.g_00468	Prbj.g_00971
OG0000062	Prbd.g_01610	Prbj.g_00881
OG0000063	Prbd.g_01204	Prbj.g_01208
OG0000065	Prbd.g_01137	Prbj.g_00620
OG0000066	Prbd.g_00703	Prbj.g_02141
OG0000067	Prbd.g_00102	Prbj.g_02412
OG0000068	Prbd.g_01764	Prbj.g_01639
OG0000070	Prbd.g_00792	Prbj.g_00118
OG0000071	Prbd.g_01801	Prbj.g_01728
OG0000072	Prbd.g_01069	Prbj.g_00516
OG0000073	Prbd.g_00743	Prbj.g_01608
OG0000075	Prbd.g_01359	Prbj.g_01502
OG0000076	Prbd.g_01335	Prbj.g_01598
OG0000077	Prbd.g_01166	Prbj.g_01900, Prbj.g_00576
OG0000078	Prbd.g_01000	Prbj.g_02614
OG0000079	Prbd.g_00987	Prbj.g_01353
