Orthogroup	Prak	Prbd
OG0000000	Prak.g_01562	Prbd.g_01914, Prbd.g_01568
OG0000001	Prak.g_01302	Prbd.g_01779
OG0000002	Prak.g_00908, Prak.g_00913	Prbd.g_01771
OG0000002	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Prbd.g_00566
OG0000004	Prak.g_00826	Prbd.g_00549
OG0000004	Prak.g_00248	Prbd.g_01007
OG0000005	Prak.g_01474	Prbd.g_01612
OG0000006	Prak.g_00258	Prbd.g_00998
OG0000007	Prak.g_00458	Prbd.g_00745
OG0000007	Prak.g_01645	Prbd.g_01525
OG0000009	Prak.g_01486	Prbd.g_01887
OG0000010	Prak.g_00435	Prbd.g_00768
OG0000010	Prak.g_00739, Prak.g_01034	Prbd.g_00348
OG0000011	Prak.g_00660	Prbd.g_00836
OG0000012	Prak.g_00584, Prak.g_01506	Prbd.g_00621
OG0000013	Prak.g_00343	Prbd.g_00912
OG0000014	Prak.g_00325	Prbd.g_00933
OG0000015	Prak.g_01584, Prak.g_01630	Prbd.g_00065, Prbd.g_00826
OG0000016	Prak.g_00013	Prbd.g_01224
OG0000017	Prak.g_00559, Prak.g_00566	Prbd.g_00646
OG0000018	Prak.g_00873	Prbd.g_00129
OG0000018	Prak.g_01194	Prbd.g_00449
OG0000019	Prak.g_00266	Prbd.g_00990
OG0000019	Prak.g_01196	Prbd.g_00082
OG0000021	Prak.g_01499, Prak.g_00831	Prbd.g_01546, Prbd.g_00874
OG0000022	Prak.g_01482	Prbd.g_00061
OG0000023	Prak.g_00721	Prbd.g_00879
OG0000024	Prak.g_01038	Prbd.g_00045
OG0000024	Prak.g_00802	Prbd.g_00569
OG0000025	Prak.g_00881	Prbd.g_00908, Prbd.g_00137
OG0000026	Prak.g_00032	Prbd.g_01206, Prbd.g_00355
OG0000027	Prak.g_01521, Prak.g_01564	Prbd.g_00772, Prbd.g_01832
OG0000028	Prak.g_01543	Prbd.g_01864
OG0000029	Prak.g_01534, Prak.g_01576	Prbd.g_00052
OG0000029	Prak.g_01735	Prbd.g_00863
OG0000030	Prak.g_01853	Prbd.g_01325
OG0000034	Prak.g_01288	Prbd.g_01791
OG0000035	Prak.g_01391	Prbd.g_01689
OG0000037	Prak.g_00115	Prbd.g_01135
OG0000038	Prak.g_01893	Prbd.g_01283
OG0000039	Prak.g_00814	Prbd.g_00558
OG0000041	Prak.g_01692	Prbd.g_01478
OG0000042	Prak.g_01850	Prbd.g_01328
OG0000043	Prak.g_01193	Prbd.g_01891, Prbd.g_00174
OG0000048	Prak.g_01264, Prak.g_00289	Prbd.g_00439, Prbd.g_00864
OG0000050	Prak.g_00741	Prbd.g_01928
OG0000053	Prak.g_01412, Prak.g_01590	Prbd.g_01669
OG0000054	Prak.g_00568	Prbd.g_00638
OG0000055	Prak.g_01221, Prak.g_01619	Prbd.g_00083
OG0000057	Prak.g_00829	Prbd.g_00546
OG0000058	Prak.g_01351	Prbd.g_01733
OG0000059	Prak.g_01732	Prbd.g_01439
OG0000061	Prak.g_01172	Prbd.g_00468
OG0000062	Prak.g_01476	Prbd.g_01610
OG0000065	Prak.g_00113	Prbd.g_01137
OG0000066	Prak.g_00498, Prak.g_01557	Prbd.g_00703
OG0000067	Prak.g_00845	Prbd.g_00102
OG0000068	Prak.g_01329	Prbd.g_01764
OG0000069	Prak.g_00416	Prbd.g_01575
OG0000070	Prak.g_00412	Prbd.g_00792
OG0000071	Prak.g_01277	Prbd.g_01801
OG0000072	Prak.g_00183	Prbd.g_01069
OG0000073	Prak.g_00461	Prbd.g_00743
OG0000074	Prak.g_00809, Prak.g_00750, Prak.g_00713	Prbd.g_00562
OG0000075	Prak.g_01816	Prbd.g_01359
OG0000076	Prak.g_01842	Prbd.g_01335
OG0000077	Prak.g_00083	Prbd.g_01166
OG0000078	Prak.g_00256	Prbd.g_01000
OG0000079	Prak.g_00269	Prbd.g_00987
OG0000081	Prak.g_00490	Prbd.g_00711
OG0000082	Prak.g_00546, Prak.g_01634	Prbd.g_00658
OG0000084	Prak.g_01388	Prbd.g_01693
OG0000085	Prak.g_01516, Prak.g_01637	Prbd.g_01532
OG0000086	Prak.g_00092	Prbd.g_01156
OG0000087	Prak.g_00147	Prbd.g_01104, Prbd.g_01103
OG0000088	Prak.g_00178	Prbd.g_01074
OG0000089	Prak.g_00379	Prbd.g_00883
OG0000090	Prak.g_00492	Prbd.g_00709
OG0000091	Prak.g_01100	Prbd.g_00602
OG0000092	Prak.g_00775	Prbd.g_00211
OG0000093	Prak.g_01071	Prbd.g_00232
OG0000094	Prak.g_01022	Prbd.g_00321
OG0000095	Prak.g_00920	Prbd.g_00340
OG0000096	Prak.g_00702	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000097	Prak.g_01126	Prbd.g_00509
OG0000098	Prak.g_01305	Prbd.g_01782
