Orthogroup	Syan	Prbn
OG0000004	Syan.g_00183	Prbn.g_01565
OG0000004	Syan.g_00989	Prbn.g_00318
OG0000005	Syan.g_01378	Prbn.g_00899
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prbn.g_00308
OG0000007	Syan.g_02743	Prbn.g_00617
OG0000007	Syan.g_01400	Prbn.g_01745
OG0000008	Syan.g_00640, Syan.g_02532	Prbn.g_01645
OG0000008	Syan.g_00641, Syan.g_02531	Prbn.g_01646
OG0000009	Syan.g_02972	Prbn.g_00887
OG0000010	Syan.g_02847	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prbn.g_00867, Prbn.g_00492
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prbn.g_00092
OG0000014	Syan.g_01987	Prbn.g_00074
OG0000016	Syan.g_02598, Syan.g_00440	Prbn.g_01131
OG0000017	Syan.g_01013	Prbn.g_00510
OG0000017	Syan.g_01006	Prbn.g_00517
OG0000018	Syan.g_02816	Prbn.g_01167, Prbn.g_01518
OG0000019	Syan.g_02088	Prbn.g_00015, Prbn.g_01165
OG0000021	Syan.g_01001	Prbn.g_00874, Prbn.g_01560
OG0000022	Syan.g_00089	Prbn.g_00891
OG0000023	Syan.g_00404	Prbn.g_01030
OG0000025	Syan.g_00374	Prbn.g_01510
OG0000026	Syan.g_01743	Prbn.g_00750
OG0000027	Syan.g_02678	Prbn.g_01664, Prbn.g_00139
OG0000028	Syan.g_01971	Prbn.g_01644
OG0000030	Syan.g_01884, Syan.g_01883	Prbn.g_00985
OG0000032	Syan.g_02835	Prbn.g_00251
OG0000033	Syan.g_03036	Prbn.g_00178, Prbn.g_01244
OG0000034	Syan.g_01227, Syan.g_03003	Prbn.g_01073
OG0000035	Syan.g_01276	Prbn.g_00212
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prbn.g_01310
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prbn.g_00946
OG0000039	Syan.g_02771, Syan.g_00535	Prbn.g_01577
OG0000041	Syan.g_01465	Prbn.g_01793
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prbn.g_00988
OG0000045	Syan.g_00086, Syan.g_00151	Prbn.g_01145
OG0000046	Syan.g_02157, Syan.g_02160	Prbn.g_00093
OG0000048	Syan.g_02036	Prbn.g_01097, Prbn.g_00038
OG0000052	Syan.g_01954, Syan.g_01953	Prbn.g_00724
OG0000053	Syan.g_02812	Prbn.g_01690, Prbn.g_00233
OG0000054	Syan.g_02503	Prbn.g_00508
OG0000055	Syan.g_00312	Prbn.g_01140, Prbn.g_01719
OG0000058	Syan.g_01128, Syan.g_01124	Prbn.g_00172
OG0000061	Syan.g_02696	Prbn.g_01189
OG0000062	Syan.g_01380, Syan.g_00098	Prbn.g_00897
OG0000063	Syan.g_01739	Prbn.g_00130
OG0000064	Syan.g_02519, Syan.g_00785, Syan.g_02518	Prbn.g_00710
OG0000065	Syan.g_02974	Prbn.g_01312
OG0000066	Syan.g_01156	Prbn.g_00577, Prbn.g_01657
OG0000067	Syan.g_00690	Prbn.g_01546
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prbn.g_01240
OG0000069	Syan.g_00278	Prbn.g_00659
OG0000070	Syan.g_00289	Prbn.g_00663
OG0000071	Syan.g_01213	Prbn.g_01084
OG0000072	Syan.g_03038, Syan.g_02999	Prbn.g_00383
OG0000073	Syan.g_02741	Prbn.g_00614
OG0000075	Syan.g_00981, Syan.g_01937	Prbn.g_01917
OG0000076	Syan.g_01896	Prbn.g_00996
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Prbn.g_00018
OG0000082	Syan.g_00952	Prbn.g_00530, Prbn.g_01734
OG0000085	Syan.g_01387	Prbn.g_01737, Prbn.g_00144
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Prbn.g_01333
OG0000087	Syan.g_02268	Prbn.g_01278
OG0000088	Syan.g_03031	Prbn.g_01247
OG0000089	Syan.g_02316	Prbn.g_00696
OG0000090	Syan.g_01166	Prbn.g_00583
OG0000091	Syan.g_00235, Syan.g_00808	Prbn.g_00434
OG0000092	Syan.g_02502	Prbn.g_01616
OG0000093	Syan.g_02934	Prbn.g_00846
OG0000094	Syan.g_00065	Prbn.g_01369
OG0000097	Syan.g_00160, Syan.g_00733	Prbn.g_00408
OG0000098	Syan.g_00043	Prbn.g_01216
OG0000099	Syan.g_01968	Prbn.g_00173
OG0000100	Syan.g_00658	Prbn.g_00903
OG0000101	Syan.g_02199	Prbn.g_01881
OG0000102	Syan.g_01891	Prbn.g_00991
OG0000103	Syan.g_01692	Prbn.g_00907
OG0000104	Syan.g_01792	Prbn.g_00296
OG0000105	Syan.g_02031	Prbn.g_00041
OG0000106	Syan.g_00076	Prbn.g_00829
OG0000107	Syan.g_02106	Prbn.g_01810
OG0000108	Syan.g_02764	Prbn.g_00634
OG0000109	Syan.g_02748	Prbn.g_00620
OG0000110	Syan.g_00882	Prbn.g_00541
OG0000111	Syan.g_00187	Prbn.g_01561
OG0000112	Syan.g_00556, Syan.g_00252	Prbn.g_00468
OG0000113	Syan.g_00664	Prbn.g_01523
OG0000114	Syan.g_00741	Prbn.g_01621
OG0000115	Syan.g_02810	Prbn.g_01120
OG0000116	Syan.g_02710, Syan.g_00460	Prbn.g_01178
OG0000117	Syan.g_02644	Prbn.g_00389
OG0000118	Syan.g_01241, Syan.g_01237	Prbn.g_01071
OG0000119	Syan.g_02672	Prbn.g_01135, Prbn.g_00885
OG0000120	Syan.g_01966	Prbn.g_00170
OG0000121	Syan.g_01273	Prbn.g_00214
OG0000123	Syan.g_02190	Prbn.g_01888
OG0000124	Syan.g_01873	Prbn.g_00979
OG0000125	Syan.g_01573	Prbn.g_00944
OG0000126	Syan.g_01705	Prbn.g_00295
OG0000128	Syan.g_01768	Prbn.g_00002, Prbn.g_00003
OG0000129	Syan.g_01563	Prbn.g_00737
OG0000130	Syan.g_02906, Syan.g_02907	Prbn.g_00708
OG0000131	Syan.g_03008	Prbn.g_01269
OG0000132	Syan.g_03029	Prbn.g_01249
OG0000133	Syan.g_00561	Prbn.g_00088
OG0000134	Syan.g_02319	Prbn.g_00694
OG0000135	Syan.g_01616	Prbn.g_01102
OG0000136	Syan.g_01342	Prbn.g_00672
OG0000137	Syan.g_02846	Prbn.g_00639
OG0000138	Syan.g_02747	Prbn.g_00619
OG0000140	Syan.g_00042	Prbn.g_00578
OG0000141	Syan.g_01032	Prbn.g_00507
OG0000142	Syan.g_00816	Prbn.g_00426
OG0000143	Syan.g_00812	Prbn.g_00430
OG0000144	Syan.g_00782	Prbn.g_00444
OG0000145	Syan.g_02740	Prbn.g_01100
OG0000146	Syan.g_00555, Syan.g_00253	Prbn.g_00469
OG0000147	Syan.g_00254, Syan.g_00554	Prbn.g_00470
OG0000148	Syan.g_00670	Prbn.g_01529
OG0000149	Syan.g_00393	Prbn.g_01497
OG0000150	Syan.g_01031	Prbn.g_01487
OG0000151	Syan.g_00731	Prbn.g_01611
OG0000152	Syan.g_00565	Prbn.g_01418
OG0000153	Syan.g_00601	Prbn.g_01399
OG0000154	Syan.g_00363	Prbn.g_01379
OG0000155	Syan.g_02654	Prbn.g_01210
OG0000156	Syan.g_02717	Prbn.g_01095
OG0000157	Syan.g_02718	Prbn.g_01094
OG0000158	Syan.g_01078, Syan.g_01926	Prbn.g_01014
OG0000159	Syan.g_01120	Prbn.g_00717
OG0000160	Syan.g_01274	Prbn.g_00213
OG0000161	Syan.g_01268	Prbn.g_00219
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Prbn.g_00225
OG0000163	Syan.g_02405	Prbn.g_00264
OG0000164	Syan.g_01440	Prbn.g_01770
OG0000165	Syan.g_01448	Prbn.g_01777
OG0000166	Syan.g_02239	Prbn.g_01844
OG0000167	Syan.g_01941	Prbn.g_01915
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Prbn.g_01013
OG0000169	Syan.g_01912	Prbn.g_01003
OG0000170	Syan.g_01901	Prbn.g_01000
OG0000171	Syan.g_01875	Prbn.g_00980
OG0000172	Syan.g_01810	Prbn.g_00973
OG0000173	Syan.g_01720	Prbn.g_00958
OG0000174	Syan.g_01619	Prbn.g_00929
OG0000175	Syan.g_01678, Syan.g_00258	Prbn.g_00916
OG0000176	Syan.g_01801	Prbn.g_00010
OG0000177	Syan.g_01775	Prbn.g_00009
OG0000178	Syan.g_01774	Prbn.g_00008
OG0000179	Syan.g_01759	Prbn.g_00766
OG0000180	Syan.g_01758	Prbn.g_00765
OG0000181	Syan.g_01757	Prbn.g_00764
OG0000182	Syan.g_01756	Prbn.g_00763
OG0000183	Syan.g_01752	Prbn.g_00759
OG0000184	Syan.g_01549	Prbn.g_00733
OG0000185	Syan.g_01540	Prbn.g_00730
OG0000186	Syan.g_02902	Prbn.g_00714
OG0000187	Syan.g_02904	Prbn.g_00713
OG0000188	Syan.g_02926	Prbn.g_01339
OG0000189	Syan.g_02966	Prbn.g_01325
OG0000190	Syan.g_00971	Prbn.g_01323
OG0000191	Syan.g_02300	Prbn.g_01300
OG0000192	Syan.g_02294	Prbn.g_01295
OG0000193	Syan.g_03009	Prbn.g_01268
OG0000194	Syan.g_03012	Prbn.g_01265
OG0000195	Syan.g_03014	Prbn.g_01263
OG0000196	Syan.g_03026	Prbn.g_01252
OG0000197	Syan.g_03027	Prbn.g_01251
OG0000198	Syan.g_03028	Prbn.g_01250
