Orthogroup	Prap	Syai
OG0000001	Prap.g_01925, Prap.g_00653	Syai.g_01716
OG0000002	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Syai.g_01728
OG0000004	Prap.g_00802	Syai.g_01994
OG0000004	Prap.g_01480	Syai.g_01062, Syai.g_00530
OG0000005	Prap.g_00204	Syai.g_02356
OG0000006	Prap.g_01470	Syai.g_00317, Syai.g_00547
OG0000007	Prap.g_01270	Syai.g_00657
OG0000007	Prap.g_01779	Syai.g_02378
OG0000008	Prap.g_01888	Syai.g_01956
OG0000008	Prap.g_01887	Syai.g_01955
OG0000009	Prap.g_00216	Syai.g_01626
OG0000010	Prap.g_00669, Prap.g_00318, Prap.g_01293	Syai.g_00864
OG0000012	Prap.g_01145	Syai.g_01068
OG0000013	Prap.g_01385	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prap.g_01403	Syai.g_00220
OG0000015	Prap.g_01840, Prap.g_01794	Syai.g_01246, Syai.g_01245
OG0000016	Prap.g_00514	Syai.g_01785, Syai.g_01632
OG0000017	Prap.g_01163	Syai.g_00808
OG0000017	Prap.g_01170	Syai.g_00801
OG0000018	Prap.g_00478, Prap.g_00755	Syai.g_00915
OG0000019	Prap.g_01462, Prap.g_00480	Syai.g_00304
OG0000020	Prap.g_00228, Prap.g_01906	Syai.g_00476
OG0000021	Prap.g_00797	Syai.g_00556
OG0000022	Prap.g_00212	Syai.g_01159
OG0000023	Prap.g_00029	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prap.g_00322, Prap.g_00826	Syai.g_01951
OG0000025	Prap.g_00747	Syai.g_02044
OG0000026	Prap.g_00923	Syai.g_00038
OG0000027	Prap.g_01860, Prap.g_01912	Syai.g_01128, Syai.g_01654
OG0000028	Prap.g_01889	Syai.g_00205
OG0000029	Prap.g_01688, Prap.g_01899, Prap.g_01848	Syai.g_01035, Syai.g_01584
OG0000030	Prap.g_01569	Syai.g_00096, Syai.g_00095
OG0000032	Prap.g_00160	Syai.g_00895
OG0000033	Prap.g_01001	Syai.g_02634
OG0000034	Prap.g_00572	Syai.g_02192, Syai.g_02604
OG0000035	Prap.g_00121	Syai.g_00955
OG0000037	Prap.g_01067	Syai.g_02544, Syai.g_02815
OG0000038	Prap.g_01530	Syai.g_02780
OG0000039	Prap.g_00814	Syai.g_02034
OG0000041	Prap.g_01731	Syai.g_02265
OG0000042	Prap.g_01572	Syai.g_00099
OG0000045	Prap.g_00500	Syai.g_02432
OG0000046	Prap.g_01384	Syai.g_00435, Syai.g_00443, Syai.g_00449
OG0000047	Prap.g_01343	Syai.g_00462
OG0000048	Prap.g_00548, Prap.g_01439	Syai.g_00272
OG0000052	Prap.g_00099	Syai.g_00176
OG0000053	Prap.g_01834, Prap.g_00142	Syai.g_00930
OG0000054	Prap.g_01161	Syai.g_01040
OG0000055	Prap.g_00505	Syai.g_02029
OG0000057	Prap.g_00799	Syai.g_01997
OG0000058	Prap.g_00081	Syai.g_00195
OG0000059	Prap.g_01691	Syai.g_00351
OG0000061	Prap.g_00456	Syai.g_02144
OG0000062	Prap.g_00206	Syai.g_02358
OG0000063	Prap.g_01903	Syai.g_00042
OG0000064	Prap.g_00883	Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668, Syai.g_02350
OG0000066	Prap.g_01230, Prap.g_01867	Syai.g_01709, Syai.g_00719
OG0000067	Prap.g_00783	Syai.g_01321
OG0000068	Prap.g_00059	Syai.g_00628
OG0000070	Prap.g_01316	Syai.g_02196
OG0000071	Prap.g_00561	Syai.g_02179
OG0000072	Prap.g_00999	Syai.g_02636
OG0000073	Prap.g_01267	Syai.g_00659
OG0000075	Prap.g_01606	Syai.g_00161
OG0000076	Prap.g_01580	Syai.g_00111
OG0000077	Prap.g_01099	Syai.g_02486
OG0000078	Prap.g_01472	Syai.g_00543
OG0000079	Prap.g_01459	Syai.g_00300
OG0000081	Prap.g_01238	Syai.g_00553
OG0000082	Prap.g_01183, Prap.g_01790	Syai.g_00781
OG0000084	Prap.g_00118	Syai.g_00958
OG0000085	Prap.g_01787, Prap.g_01917	Syai.g_02365
OG0000086	Prap.g_01090	Syai.g_02507
OG0000087	Prap.g_01035	Syai.g_02592
OG0000088	Prap.g_01004	Syai.g_02630
OG0000089	Prap.g_01349	Syai.g_00517
OG0000090	Prap.g_01236	Syai.g_00707
OG0000091	Prap.g_00384	Syai.g_01112
OG0000092	Prap.g_00853	Syai.g_01358
OG0000097	Prap.g_00410	Syai.g_01787
OG0000098	Prap.g_01928	Syai.g_01718
OG0000099	Prap.g_00082	Syai.g_00199
OG0000100	Prap.g_00200	Syai.g_01372
OG0000101	Prap.g_01642	Syai.g_00404
OG0000102	Prap.g_01575	Syai.g_00106
OG0000103	Prap.g_01491	Syai.g_02912
OG0000104	Prap.g_01869	Syai.g_02929
OG0000105	Prap.g_01436	Syai.g_00267
OG0000106	Prap.g_00591	Syai.g_01601
OG0000107	Prap.g_01714	Syai.g_00319
OG0000108	Prap.g_01287	Syai.g_00638
OG0000109	Prap.g_01273	Syai.g_00653
OG0000110	Prap.g_01194	Syai.g_00766
OG0000111	Prap.g_00798	Syai.g_00884
OG0000112	Prap.g_01121	Syai.g_01512
OG0000113	Prap.g_00760	Syai.g_01367
OG0000114	Prap.g_00858	Syai.g_01261
OG0000115	Prap.g_00525	Syai.g_00932
OG0000116	Prap.g_00467	Syai.g_02156
OG0000117	Prap.g_00429	Syai.g_01756
OG0000118	Prap.g_00574	Syai.g_00818
OG0000119	Prap.g_00510, Prap.g_00218	Syai.g_02127
OG0000120	Prap.g_00079	Syai.g_00198
OG0000121	Prap.g_00123	Syai.g_00951
OG0000122	Prap.g_00532, Prap.g_00164	Syai.g_01143
OG0000123	Prap.g_01635	Syai.g_00411
OG0000124	Prap.g_01563	Syai.g_00089
OG0000125	Prap.g_01528	Syai.g_02782
OG0000126	Prap.g_01870	Syai.g_02927
OG0000128	Prap.g_00043	Syai.g_00012
OG0000129	Prap.g_00910	Syai.g_02771
OG0000130	Prap.g_00881	Syai.g_02474
OG0000131	Prap.g_01026	Syai.g_02608
OG0000132	Prap.g_01006	Syai.g_02628
OG0000133	Prap.g_01389	Syai.g_01507
OG0000134	Prap.g_01347	Syai.g_00520
OG0000135	Prap.g_00543	Syai.g_02826
OG0000136	Prap.g_01325	Syai.g_02217
OG0000137	Prap.g_01292	Syai.g_00865
OG0000138	Prap.g_01272	Syai.g_00654
OG0000139	Prap.g_01232	Syai.g_00714
OG0000140	Prap.g_01231	Syai.g_00716
OG0000141	Prap.g_01160	Syai.g_01041
OG0000142	Prap.g_00392	Syai.g_01104
OG0000143	Prap.g_00388	Syai.g_01108
OG0000144	Prap.g_00374	Syai.g_01608
OG0000145	Prap.g_00545	Syai.g_00660
OG0000146	Prap.g_01122	Syai.g_01513
OG0000147	Prap.g_01123	Syai.g_01514
OG0000148	Prap.g_00766	Syai.g_01361
OG0000149	Prap.g_00734	Syai.g_02059
OG0000150	Prap.g_00724	Syai.g_00717
OG0000151	Prap.g_00848	Syai.g_01280
OG0000152	Prap.g_00257	Syai.g_01503
OG0000153	Prap.g_00276	Syai.g_01461
OG0000154	Prap.g_00296	Syai.g_01434
OG0000155	Prap.g_00435	Syai.g_02109
OG0000156	Prap.g_00550	Syai.g_02162
OG0000157	Prap.g_00551	Syai.g_02163
OG0000158	Prap.g_01598	Syai.g_00135
OG0000160	Prap.g_00122	Syai.g_00952
OG0000161	Prap.g_00128	Syai.g_00946
OG0000162	Prap.g_00134	Syai.g_00939
OG0000163	Prap.g_00173	Syai.g_02300
OG0000164	Prap.g_01754	Syai.g_02411
OG0000165	Prap.g_01747	Syai.g_02244
OG0000166	Prap.g_01680	Syai.g_00364
OG0000167	Prap.g_01608	Syai.g_00164
OG0000168	Prap.g_01597	Syai.g_00134
OG0000169	Prap.g_01587	Syai.g_00123
OG0000170	Prap.g_01584	Syai.g_00116
OG0000171	Prap.g_01564	Syai.g_00090
OG0000172	Prap.g_01557	Syai.g_00083
OG0000173	Prap.g_01542	Syai.g_00064
OG0000174	Prap.g_01513	Syai.g_02828
OG0000175	Prap.g_01500	Syai.g_02901
OG0000176	Prap.g_00050	Syai.g_00004
OG0000177	Prap.g_00049	Syai.g_00005
OG0000178	Prap.g_00048	Syai.g_00006
OG0000179	Prap.g_00939	Syai.g_00023
OG0000180	Prap.g_00938	Syai.g_00024
OG0000181	Prap.g_00937	Syai.g_00025
OG0000182	Prap.g_00936	Syai.g_00026
OG0000183	Prap.g_00932	Syai.g_00030
OG0000184	Prap.g_00906	Syai.g_02756
OG0000185	Prap.g_00903	Syai.g_02734
OG0000186	Prap.g_00887	Syai.g_02469
OG0000187	Prap.g_00886	Syai.g_02471
OG0000188	Prap.g_01096	Syai.g_02494
OG0000189	Prap.g_01082	Syai.g_02530
OG0000190	Prap.g_01080	Syai.g_02532
OG0000191	Prap.g_01057	Syai.g_02562
OG0000192	Prap.g_01052	Syai.g_02569
OG0000193	Prap.g_01025	Syai.g_02609
OG0000194	Prap.g_01022	Syai.g_02612
OG0000195	Prap.g_01020	Syai.g_02614
OG0000196	Prap.g_01009	Syai.g_02625
OG0000197	Prap.g_01008	Syai.g_02626
OG0000198	Prap.g_01007	Syai.g_02627
OG0000199	Prap.g_01000	Syai.g_02635
OG0000200	Prap.g_00986	Syai.g_02651
OG0000202	Prap.g_00976	Syai.g_02668
OG0000203	Prap.g_00975	Syai.g_02669
OG0000204	Prap.g_00974	Syai.g_02670
OG0000205	Prap.g_00967	Syai.g_02677
OG0000206	Prap.g_00962	Syai.g_02684
OG0000207	Prap.g_00959	Syai.g_02686
OG0000208	Prap.g_00958	Syai.g_02687
OG0000209	Prap.g_00949	Syai.g_02699
OG0000210	Prap.g_00948	Syai.g_02700
OG0000211	Prap.g_01479	Syai.g_00533
OG0000212	Prap.g_01471	Syai.g_00544
OG0000213	Prap.g_01453	Syai.g_00292
OG0000214	Prap.g_01443	Syai.g_00276
OG0000215	Prap.g_01416	Syai.g_00245
OG0000216	Prap.g_01415	Syai.g_00241
OG0000217	Prap.g_01412	Syai.g_00237
OG0000218	Prap.g_01410	Syai.g_00235
OG0000219	Prap.g_01409	Syai.g_00234
OG0000220	Prap.g_01408	Syai.g_00233
OG0000221	Prap.g_01407	Syai.g_00227
OG0000222	Prap.g_01400	Syai.g_00215
OG0000223	Prap.g_01388	Syai.g_00194
OG0000224	Prap.g_01386	Syai.g_00186
OG0000225	Prap.g_01360	Syai.g_00502
OG0000226	Prap.g_01356	Syai.g_00506
OG0000227	Prap.g_01354	Syai.g_00508
OG0000228	Prap.g_01350	Syai.g_00516
OG0000229	Prap.g_01330	Syai.g_02228
OG0000230	Prap.g_01328	Syai.g_02226
OG0000231	Prap.g_01317	Syai.g_02208
OG0000232	Prap.g_01306	Syai.g_00846
OG0000233	Prap.g_01300	Syai.g_00855
OG0000234	Prap.g_01291	Syai.g_00866
OG0000235	Prap.g_01288	Syai.g_00637
OG0000236	Prap.g_01274	Syai.g_00652
OG0000237	Prap.g_01261	Syai.g_00669
OG0000238	Prap.g_01255	Syai.g_00674
