Orthogroup	Syaq	Syat
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115	Syat.g_02910, Syat.g_02911
OG0000001	Syaq.g_01434	Syat.g_02908, Syat.g_02909
OG0000001	Syaq.g_02413	Syat.g_01540
OG0000005	Syaq.g_01658	Syat.g_03065
OG0000005	Syaq.g_01692	Syat.g_03105
OG0000005	Syaq.g_00236	Syat.g_01038
OG0000006	Syaq.g_02108	Syat.g_00371
OG0000006	Syaq.g_00696, Syaq.g_01590	Syat.g_01439, Syat.g_01865
OG0000007	Syaq.g_01793	Syat.g_03191
OG0000007	Syaq.g_01673	Syat.g_03124
OG0000008	Syaq.g_02162	Syat.g_02626
OG0000008	Syaq.g_02575	Syat.g_02627
OG0000009	Syaq.g_01489	Syat.g_01567
OG0000010	Syaq.g_00443	Syat.g_01372
OG0000012	Syaq.g_00077	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Syaq.g_00862	Syat.g_02104
OG0000016	Syaq.g_01136	Syat.g_02329
OG0000016	Syaq.g_00169	Syat.g_00909
OG0000018	Syaq.g_00401	Syat.g_01334
OG0000019	Syaq.g_00717	Syat.g_01876
OG0000022	Syaq.g_02126	Syat.g_00210
OG0000025	Syaq.g_02381	Syat.g_00719
OG0000026	Syaq.g_01114	Syat.g_02306
OG0000028	Syaq.g_00878	Syat.g_02126
OG0000030	Syaq.g_01047	Syat.g_00307
OG0000030	Syaq.g_01048	Syat.g_00308
OG0000031	Syaq.g_01009	Syat.g_02131
OG0000032	Syaq.g_00421	Syat.g_01354
OG0000033	Syaq.g_01399	Syat.g_02858
OG0000034	Syaq.g_00312, Syaq.g_01431	Syat.g_01165, Syat.g_02902
OG0000035	Syaq.g_00371	Syat.g_01227, Syat.g_01226
OG0000037	Syaq.g_01483	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Syaq.g_01260	Syat.g_02688
OG0000038	Syaq.g_01258	Syat.g_02686
OG0000039	Syaq.g_01601, Syaq.g_01241	Syat.g_01278
OG0000041	Syaq.g_01612	Syat.g_03006
OG0000042	Syaq.g_00200, Syaq.g_01044	Syat.g_00223, Syat.g_02222
OG0000044	Syaq.g_00107	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Syaq.g_02047	Syat.g_00935
OG0000046	Syaq.g_00570, Syaq.g_00573	Syat.g_01626, Syat.g_01026
OG0000048	Syaq.g_00749	Syat.g_02046
OG0000052	Syaq.g_00969	Syat.g_02140
OG0000053	Syaq.g_00397	Syat.g_01330
OG0000054	Syaq.g_02005	Syat.g_00987, Syat.g_03390
OG0000057	Syaq.g_02541	Syat.g_02055
OG0000058	Syaq.g_00944	Syat.g_02133, Syat.g_02238
OG0000059	Syaq.g_00657	Syat.g_01832
OG0000060	Syaq.g_01770	Syat.g_01384
OG0000060	Syaq.g_00201	Syat.g_01047
OG0000061	Syaq.g_00249	Syat.g_03260
OG0000062	Syaq.g_01690	Syat.g_03107
OG0000063	Syaq.g_01110	Syat.g_02303
OG0000064	Syaq.g_02138	Syat.g_01568
OG0000065	Syaq.g_01487	Syat.g_01571
OG0000066	Syaq.g_01851	Syat.g_03283
OG0000067	Syaq.g_02560	Syat.g_01324, Syat.g_02018
OG0000068	Syaq.g_01763	Syat.g_00085, Syat.g_01295
OG0000070	Syaq.g_00484	Syat.g_01032, Syat.g_01040
OG0000072	Syaq.g_01397	Syat.g_02856
OG0000073	Syaq.g_01795	Syat.g_03201
OG0000075	Syaq.g_00986	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syaq.g_01028	Syat.g_02206
OG0000077	Syaq.g_01547	Syat.g_01481
OG0000078	Syaq.g_01585	Syat.g_00184
OG0000079	Syaq.g_00721	Syat.g_01879
OG0000081	Syaq.g_01893	Syat.g_00980
OG0000082	Syaq.g_01975	Syat.g_00035
OG0000085	Syaq.g_01683	Syat.g_03113
OG0000086	Syaq.g_01525	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syaq.g_01438	Syat.g_02912
OG0000088	Syaq.g_01402	Syat.g_02862
OG0000089	Syaq.g_00529	Syat.g_02953
OG0000090	Syaq.g_01838	Syat.g_03270
OG0000091	Syaq.g_02090	Syat.g_00939, Syat.g_00862
OG0000094	Syaq.g_00056	Syat.g_00698
OG0000094	Syaq.g_02554	Syat.g_01034
OG0000095	Syaq.g_02679	Syat.g_00808
OG0000098	Syaq.g_02221, Syaq.g_01849	Syat.g_03281
OG0000099	Syaq.g_00882	Syat.g_02130
OG0000100	Syaq.g_02371	Syat.g_00517
OG0000102	Syaq.g_01033	Syat.g_00974
OG0000103	Syaq.g_01170	Syat.g_02399
OG0000104	Syaq.g_01154	Syat.g_02385
OG0000105	Syaq.g_00754	Syat.g_02052
OG0000106	Syaq.g_01863	Syat.g_00957
OG0000107	Syaq.g_00694	Syat.g_01862
OG0000108	Syaq.g_01772	Syat.g_03170
OG0000109	Syaq.g_01788	Syat.g_03187
OG0000110	Syaq.g_01962	Syat.g_00049
OG0000111	Syaq.g_02606	Syat.g_00816
OG0000112	Syaq.g_02476	Syat.g_00593
OG0000114	Syaq.g_02269	Syat.g_00426
OG0000115	Syaq.g_00395	Syat.g_01328
OG0000116	Syaq.g_00263	Syat.g_02641
OG0000117	Syaq.g_00203	Syat.g_00224
OG0000118	Syaq.g_00325, Syaq.g_00316	Syat.g_01168
OG0000120	Syaq.g_00883	Syat.g_02132
OG0000121	Syaq.g_00375	Syat.g_01223
OG0000123	Syaq.g_00599	Syat.g_01653
OG0000124	Syaq.g_01055	Syat.g_02231
OG0000125	Syaq.g_01256	Syat.g_02684
OG0000126	Syaq.g_01156	Syat.g_00976
OG0000128	Syaq.g_01138	Syat.g_02331
OG0000129	Syaq.g_01269	Syat.g_02693, Syat.g_02694
OG0000130	Syaq.g_01559	Syat.g_01469
OG0000131	Syaq.g_01427, Syaq.g_01424	Syat.g_02898
OG0000132	Syaq.g_01404	Syat.g_02864
OG0000133	Syaq.g_02481	Syat.g_00588
OG0000134	Syaq.g_00526	Syat.g_02956
OG0000135	Syaq.g_01227	Syat.g_02501
OG0000136	Syaq.g_00496	Syat.g_01292
OG0000137	Syaq.g_00442	Syat.g_01371
OG0000138	Syaq.g_01789	Syat.g_03188
OG0000139	Syaq.g_01844	Syat.g_03276
OG0000140	Syaq.g_01848	Syat.g_03280
OG0000141	Syaq.g_02010	Syat.g_03398
OG0000142	Syaq.g_02082	Syat.g_00117
OG0000143	Syaq.g_02086	Syat.g_00130
OG0000144	Syaq.g_02152	Syat.g_00369
OG0000145	Syaq.g_01796	Syat.g_03202
OG0000146	Syaq.g_02475	Syat.g_00594
OG0000147	Syaq.g_02474	Syat.g_00595
OG0000148	Syaq.g_02359	Syat.g_00503
OG0000149	Syaq.g_02395	Syat.g_00747
OG0000150	Syaq.g_02011	Syat.g_03399
OG0000151	Syaq.g_02283	Syat.g_00801, Syat.g_00440
OG0000152	Syaq.g_02485	Syat.g_00578
OG0000153	Syaq.g_02518	Syat.g_00542
OG0000154	Syaq.g_00066	Syat.g_00708
OG0000155	Syaq.g_00212	Syat.g_00287
OG0000156	Syaq.g_00281	Syat.g_03228
OG0000157	Syaq.g_00282	Syat.g_02012, Syat.g_03227
OG0000158	Syaq.g_01003	Syat.g_02163
OG0000160	Syaq.g_00374	Syat.g_01224
OG0000161	Syaq.g_00382	Syat.g_01180
OG0000162	Syaq.g_00389	Syat.g_01281
OG0000163	Syaq.g_02373, Syaq.g_01730	Syat.g_02979
OG0000164	Syaq.g_01642	Syat.g_03040
OG0000165	Syaq.g_01630	Syat.g_03033
OG0000166	Syaq.g_00647	Syat.g_01822
OG0000167	Syaq.g_00983	Syat.g_02148
OG0000168	Syaq.g_01004	Syat.g_02164
OG0000169	Syaq.g_01016	Syat.g_02192
OG0000170	Syaq.g_01023	Syat.g_02201
OG0000171	Syaq.g_01052	Syat.g_02230
OG0000172	Syaq.g_01074	Syat.g_02260
OG0000173	Syaq.g_01092	Syat.g_02284
OG0000174	Syaq.g_01224	Syat.g_02504
OG0000175	Syaq.g_01183	Syat.g_02416
OG0000176	Syaq.g_01146	Syat.g_02372
OG0000177	Syaq.g_01145	Syat.g_02338
OG0000178	Syaq.g_01144	Syat.g_02337
OG0000179	Syaq.g_01129	Syat.g_02322
OG0000180	Syaq.g_01128	Syat.g_02321
OG0000181	Syaq.g_01127	Syat.g_02320
OG0000182	Syaq.g_01126	Syat.g_02319
OG0000183	Syaq.g_01122	Syat.g_02315
OG0000184	Syaq.g_01277	Syat.g_02704
OG0000185	Syaq.g_01290	Syat.g_02719
OG0000186	Syaq.g_01563	Syat.g_01463
OG0000187	Syaq.g_01561	Syat.g_01467
OG0000188	Syaq.g_01539	Syat.g_01489
OG0000189	Syaq.g_00122	Syat.g_00386, Syat.g_01557
OG0000190	Syaq.g_01497	Syat.g_00330
OG0000191	Syaq.g_01467	Syat.g_03344, Syat.g_02939
OG0000192	Syaq.g_01462	Syat.g_02933
OG0000193	Syaq.g_01423	Syat.g_02897
OG0000194	Syaq.g_01420	Syat.g_02894
OG0000195	Syaq.g_01418	Syat.g_02892
OG0000196	Syaq.g_01407	Syat.g_02867
OG0000197	Syaq.g_01406	Syat.g_02866
OG0000198	Syaq.g_01405	Syat.g_02865
OG0000199	Syaq.g_01398	Syat.g_02857
OG0000200	Syaq.g_01382	Syat.g_02840
OG0000201	Syaq.g_01365	Syat.g_02821
OG0000202	Syaq.g_01364	Syat.g_02820
OG0000203	Syaq.g_01363	Syat.g_02819
OG0000204	Syaq.g_01362	Syat.g_02818
OG0000205	Syaq.g_01355	Syat.g_02809
OG0000206	Syaq.g_01345	Syat.g_02785
OG0000207	Syaq.g_01338	Syat.g_02778
