Orthogroup	Syao	Prai
OG0000001	Syao.g_00314	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000004	Syao.g_02374	Prai.g_00724
OG0000004	Syao.g_01271, Syao.g_01007	Prai.g_00243
OG0000005	Syao.g_01680	Prai.g_01651
OG0000005	Syao.g_01578	Prai.g_01538
OG0000006	Syao.g_01518	Prai.g_00252, Prai.g_00254
OG0000007	Syao.g_00105	Prai.g_00527
OG0000007	Syao.g_01554	Prai.g_01638
OG0000008	Syao.g_01321	Prai.g_00701
OG0000009	Syao.g_02598	Prai.g_00105
OG0000010	Syao.g_02683	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000011	Syao.g_01282	Prai.g_01599
OG0000012	Syao.g_01193	Prai.g_00652
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prai.g_00340
OG0000014	Syao.g_02027	Prai.g_00319
OG0000015	Syao.g_00302	Prai.g_01243
OG0000016	Syao.g_01955	Prai.g_00013
OG0000017	Syao.g_00997	Prai.g_00626
OG0000018	Syao.g_00071	Prai.g_01153, Prai.g_00820
OG0000019	Syao.g_02108	Prai.g_00262, Prai.g_00867
OG0000021	Syao.g_01002	Prai.g_00378
OG0000022	Syao.g_01218	Prai.g_00885, Prai.g_01139
OG0000023	Syao.g_01266	Prai.g_00373
OG0000025	Syao.g_00436, Syao.g_00437	Prai.g_00812, Prai.g_00344
OG0000026	Syao.g_02234	Prai.g_00031, Prai.g_01074
OG0000027	Syao.g_00202	Prai.g_00904
OG0000028	Syao.g_02012	Prai.g_00333, Prai.g_01297
OG0000030	Syao.g_02189, Syao.g_02188	Prai.g_01848
OG0000031	Syao.g_01083	Prai.g_01444
OG0000033	Syao.g_02507	Prai.g_00180
OG0000035	Syao.g_01486	Prai.g_01463
OG0000037	Syao.g_00374	Prai.g_00109
OG0000038	Syao.g_02440, Syao.g_02442	Prai.g_01890
OG0000039	Syao.g_00704	Prai.g_00715
OG0000042	Syao.g_00019, Syao.g_01941	Prai.g_01845
OG0000045	Syao.g_01214, Syao.g_00148	Prai.g_00384
OG0000047	Syao.g_01899	Prai.g_00424, Prai.g_00343
OG0000048	Syao.g_02077	Prai.g_00387
OG0000051	Syao.g_01261	Prai.g_00434, Prai.g_01263
OG0000052	Syao.g_01085	Prai.g_00154
OG0000053	Syao.g_00067	Prai.g_01483
OG0000058	Syao.g_01080	Prai.g_01859
OG0000059	Syao.g_01959	Prai.g_01725, Prai.g_01425
OG0000061	Syao.g_00123	Prai.g_01171
OG0000063	Syao.g_02230	Prai.g_00033, Prai.g_01261
OG0000065	Syao.g_02600	Prai.g_00107
OG0000066	Syao.g_01422	Prai.g_00567
OG0000067	Syao.g_00756	Prai.g_00848
OG0000068	Syao.g_00868, Syao.g_00036	Prai.g_01370
OG0000069	Syao.g_00313	Prai.g_01579
OG0000070	Syao.g_00330	Prai.g_00481
OG0000071	Syao.g_01433	Prai.g_01335
OG0000072	Syao.g_02509, Syao.g_01749	Prai.g_00182
OG0000073	Syao.g_00103	Prai.g_00529
OG0000075	Syao.g_02257	Prai.g_01814
OG0000076	Syao.g_01949	Prai.g_01838
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prai.g_00265
OG0000082	Syao.g_01035	Prai.g_00613
OG0000084	Syao.g_02606	Prai.g_01459
OG0000085	Syao.g_01569	Prai.g_01631
OG0000086	Syao.g_02653, Syao.g_01240	Prai.g_00088
OG0000087	Syao.g_02555	Prai.g_00139
OG0000088	Syao.g_02503	Prai.g_00177
OG0000089	Syao.g_01716	Prai.g_00368
OG0000090	Syao.g_01412	Prai.g_00561
OG0000091	Syao.g_00902	Prai.g_00671
OG0000092	Syao.g_00656	Prai.g_01041
OG0000094	Syao.g_00458	Prai.g_00937
OG0000097	Syao.g_00973	Prai.g_01214
OG0000098	Syao.g_01374	Prai.g_01353
OG0000099	Syao.g_02019	Prai.g_01393
