Orthogroup	Prai	Prba
OG0000000	Prai.g_01612	Prba.g_00243
OG0000000	Prai.g_01592	Prba.g_00269
OG0000000	Prai.g_01775, Prai.g_00908	Prba.g_00270
OG0000001	Prai.g_01363	Prba.g_00203
OG0000001	Prai.g_00707	Prba.g_01639
OG0000002	Prai.g_01236	Prba.g_01081, Prba.g_01080
OG0000002	Prai.g_01356, Prai.g_01235	Prba.g_00211
OG0000004	Prai.g_01314	Prba.g_01172
OG0000004	Prai.g_01596	Prba.g_00268
OG0000005	Prai.g_00441	Prba.g_01570
OG0000005	Prai.g_01313	Prba.g_01563, Prba.g_01171
OG0000006	Prai.g_00889	Prba.g_01550, Prba.g_00734
OG0000007	Prai.g_01256	Prba.g_01304
OG0000007	Prai.g_00394	Prba.g_00878
OG0000007	Prai.g_01246	Prba.g_01104
OG0000008	Prai.g_00527	Prba.g_00964
OG0000008	Prai.g_01638	Prba.g_00226
OG0000010	Prai.g_00867	Prba.g_01519
OG0000010	Prai.g_00262	Prba.g_00468
OG0000011	Prai.g_00890	Prba.g_01551
OG0000012	Prai.g_01110	Prba.g_01213
OG0000012	Prai.g_00387	Prba.g_00868
OG0000013	Prai.g_01578	Prba.g_00276
OG0000013	Prai.g_00105	Prba.g_01893
OG0000014	Prai.g_00319	Prba.g_00159, Prba.g_00522
OG0000015	Prai.g_00424	Prba.g_00913
OG0000015	Prai.g_00343	Prba.g_00546
OG0000016	Prai.g_01243	Prba.g_01538
OG0000017	Prai.g_00904	Prba.g_01175, Prba.g_00991
OG0000018	Prai.g_00626	Prba.g_01719
OG0000020	Prai.g_01366	Prba.g_00200
OG0000021	Prai.g_01483	Prba.g_00693
OG0000022	Prai.g_00254, Prai.g_00252	Prba.g_00460
OG0000023	Prai.g_00378	Prba.g_00245, Prba.g_00858
OG0000025	Prai.g_00899	Prba.g_01558
OG0000026	Prai.g_01772, Prai.g_00905	Prba.g_01174
OG0000027	Prai.g_00701	Prba.g_01645
OG0000028	Prai.g_01552	Prba.g_01131
OG0000029	Prai.g_00866	Prba.g_01518
OG0000031	Prai.g_01845	Prba.g_00775
OG0000032	Prai.g_00033	Prba.g_01826
OG0000033	Prai.g_01549	Prba.g_00301
OG0000034	Prai.g_01463	Prba.g_00713
OG0000035	Prai.g_01579	Prba.g_00275
OG0000036	Prai.g_01125	Prba.g_00737
OG0000038	Prai.g_01444	Prba.g_00173
OG0000039	Prai.g_00013	Prba.g_01806
OG0000040	Prai.g_01599	Prba.g_00900
OG0000041	Prai.g_00652	Prba.g_01694
OG0000042	Prai.g_01892	Prba.g_01089, Prba.g_00821
OG0000043	Prai.g_01097	Prba.g_01226
OG0000043	Prai.g_01059	Prba.g_01409
OG0000045	Prai.g_00613	Prba.g_01731
OG0000046	Prai.g_00885	Prba.g_01543
OG0000047	Prai.g_01171	Prba.g_00064
OG0000048	Prai.g_00154	Prba.g_00160
OG0000049	Prai.g_01859	Prba.g_00153
OG0000050	Prai.g_00177	Prba.g_00622
OG0000051	Prai.g_00373	Prba.g_00854
OG0000053	Prai.g_00748	Prba.g_01594
OG0000054	Prai.g_01631	Prba.g_00233
OG0000055	Prai.g_01838	Prba.g_00768
OG0000056	Prai.g_00031	Prba.g_01824
OG0000057	Prai.g_00168, Prai.g_01288	Prba.g_01945
OG0000058	Prai.g_00383	Prba.g_00864
OG0000059	Prai.g_00567	Prba.g_00922
OG0000060	Prai.g_00761	Prba.g_01581
OG0000061	Prai.g_00909	Prba.g_01548
OG0000062	Prai.g_00825	Prba.g_01477
OG0000063	Prai.g_01132	Prba.g_00727
OG0000065	Prai.g_00248	Prba.g_00456
OG0000066	Prai.g_00505	Prba.g_00986
OG0000067	Prai.g_00727	Prba.g_01619
OG0000068	Prai.g_00431	Prba.g_01565
OG0000069	Prai.g_01141	Prba.g_00099
OG0000069	Prai.g_00969	Prba.g_01317
OG0000070	Prai.g_00918	Prba.g_01264
OG0000071	Prai.g_01273	Prba.g_01135
OG0000072	Prai.g_01335	Prba.g_01192
OG0000074	Prai.g_01443	Prba.g_00175
OG0000075	Prai.g_01782	Prba.g_00429
OG0000077	Prai.g_00011	Prba.g_01804
OG0000078	Prai.g_00335	Prba.g_00538
OG0000079	Prai.g_00393	Prba.g_00877
OG0000080	Prai.g_00698	Prba.g_01648
OG0000081	Prai.g_00720	Prba.g_01626
OG0000082	Prai.g_00841, Prai.g_00840	Prba.g_01492
OG0000083	Prai.g_01064	Prba.g_01427
OG0000084	Prai.g_00989	Prba.g_01337
OG0000085	Prai.g_01107	Prba.g_01216
OG0000086	Prai.g_01143	Prba.g_00097
OG0000087	Prai.g_01613	Prba.g_00242
OG0000088	Prai.g_01233	Prba.g_00899
OG0000089	Prai.g_01594	Prba.g_00249
OG0000090	Prai.g_01393	Prba.g_00155
OG0000091	Prai.g_01471	Prba.g_00705
OG0000092	Prai.g_01270	Prba.g_00261
OG0000093	Prai.g_00743, Prai.g_01725	Prba.g_00381
OG0000094	Prai.g_01779	Prba.g_00426
OG0000095	Prai.g_01812	Prba.g_01069
OG0000096	Prai.g_01884	Prba.g_00813
OG0000097	Prai.g_01901	Prba.g_00831
OG0000098	Prai.g_00003	Prba.g_01796
OG0000099	Prai.g_00023	Prba.g_01816
OG0000100	Prai.g_00046	Prba.g_01833
OG0000100	Prai.g_00443	Prba.g_01044
OG0000101	Prai.g_00056	Prba.g_01843
OG0000102	Prai.g_00113	Prba.g_01901
OG0000103	Prai.g_00121	Prba.g_01909
OG0000104	Prai.g_00139	Prba.g_01927
OG0000105	Prai.g_00181	Prba.g_00626
OG0000106	Prai.g_00195	Prba.g_00640
OG0000108	Prai.g_00213	Prba.g_00658
OG0000109	Prai.g_00250	Prba.g_00458
OG0000110	Prai.g_00264	Prba.g_00470
OG0000111	Prai.g_00287, Prai.g_00286	Prba.g_00491
OG0000112	Prai.g_00297	Prba.g_00501
OG0000113	Prai.g_00310	Prba.g_00513
OG0000114	Prai.g_00338	Prba.g_00541
OG0000115	Prai.g_00504	Prba.g_00987
OG0000116	Prai.g_00506	Prba.g_00985
OG0000117	Prai.g_00510	Prba.g_00981
OG0000118	Prai.g_00529	Prba.g_00962
