assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000857985.1	PRJNA485481	na	na	na	268747	2845939	Prochlorococcus phage P-SSM4	na	na	latest	Complete Genome	Major	Full	2010-11-19	ViralProj15136	MIT	GCA_000857985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/985/GCF_000857985.1_ViralProj15136	na	ICTV species exemplar	na	haploid	viral	178249	178249	36.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	221	221	0	15828858;20662890
GCF_000858745.1	PRJNA485481	na	na	na	2908095	268748	Prochlorococcus phage P-SSP7	na	na	latest	Complete Genome	Major	Full	2012-05-24	ViralProj15134	Faculty of Biology, Technion - Israel Institute of Technology	GCA_000858745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/745/GCF_000858745.1_ViralProj15134	na	ICTV species exemplar	na	haploid	viral	45176	45176	39.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2022-01-31	58	58	0	15828858;17805294;22606283
GCF_000859585.1	PRJNA485481	na	na	na	268746	2734140	Prochlorococcus phage P-SSM2	na	na	latest	Complete Genome	Major	Full	2010-11-19	ViralProj15135	MIT	GCA_000859585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/585/GCF_000859585.1_ViralProj15135	na	ICTV species exemplar	na	haploid	viral	252401	252401	35.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	335	334	1	15828858;20662890
GCF_000890835.1	PRJNA485481	na	na	na	444862	2734148	Prochlorococcus phage P-RSM4	strain=9303-10a	na	latest	Complete Genome	Major	Full	2011-03-24	ViralProj64703	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000890835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/890/835/GCF_000890835.1_ViralProj64703	na	na	na	haploid	viral	176428	176428	37.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	242	239	3	20662890
GCF_000891815.1	PRJNA485481	na	na	na	444878	2734097	Prochlorococcus phage Syn33	strain=Syn33	na	latest	Complete Genome	Major	Full	2011-03-24	ViralProj64707	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000891815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/891/815/GCF_000891815.1_ViralProj64707	na	ICTV species exemplar	na	haploid	viral	174285	174285	39.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	232	227	5	20662890
GCF_000892455.1	PRJNA485481	na	na	na	445700	2734108	Prochlorococcus phage P-HM1	strain=M4-247	na	latest	Complete Genome	Major	Full	2011-03-24	ViralProj64697	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000892455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/455/GCF_000892455.1_ViralProj64697	na	ICTV species exemplar	na	haploid	viral	181044	181044	38.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	241	241	0	20662890
GCF_000892475.1	PRJNA485481	na	na	na	445696	2734108	Prochlorococcus phage P-HM2	strain=M4-259	na	latest	Complete Genome	Major	Full	2011-03-24	ViralProj64705	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000892475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/475/GCF_000892475.1_ViralProj64705	na	ICTV species exemplar	na	haploid	viral	183806	183806	38.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	242	242	0	20662890
GCF_000892495.1	PRJNA485481	na	na	na	444861	2734151	Prochlorococcus phage Syn1	strain=Syn1	na	latest	Complete Genome	Major	Full	2011-03-24	ViralProj64713	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000892495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/892/495/GCF_000892495.1_ViralProj64713	na	ICTV species exemplar	na	haploid	viral	191195	191195	40.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	240	234	6	20662890
GCF_000893395.1	PRJNA485481	na	na	na	445688	2734127	Prochlorococcus phage P-SSM7	strain=NATL1A-15	na	latest	Complete Genome	Major	Full	2011-03-24	ViralProj64717	Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000893395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/893/395/GCF_000893395.1_ViralProj64717	na	ICTV species exemplar	na	haploid	viral	182180	182180	37.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	241	237	4	20662890
GCF_000904535.1	PRJNA485481	na	na	na	889956	2734106	Prochlorococcus phage MED4-213	strain=MED4-213	na	latest	Complete Genome	Major	Full	2013-03-30	ViralProj195505	Broad Institute	GCA_000904535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/535/GCF_000904535.1_ViralProj195505	na	ICTV species exemplar	na	haploid	viral	180977	180977	38.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	218	216	0	na
GCF_000904555.1	PRJNA485481	na	na	na	382273	2733966	Prochlorococcus phage P-SSP3	strain=P-SSP3	na	latest	Complete Genome	Major	Full	2013-03-30	ViralProj195517	Broad Institute	GCA_000904555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/904/555/GCF_000904555.1_ViralProj195517	na	ICTV species exemplar	na	haploid	viral	46198	46198	38.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	56	53	0	na
