Orthogroup	Prbj	Praq
OG0000000	Prbj.g_02517	Praq.g_00168
OG0000000	Prbj.g_00030	Praq.g_00807
OG0000002	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690	Praq.g_00160
OG0000003	Prbj.g_00165	Praq.g_00115
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Praq.g_00607, Praq.g_00614
OG0000006	Prbj.g_01610	Praq.g_01105
OG0000006	Prbj.g_00857	Praq.g_00497
OG0000007	Prbj.g_00929	Praq.g_00071
OG0000007	Prbj.g_00928	Praq.g_00801
OG0000009	Prbj.g_01349	Praq.g_00649, Praq.g_01753
OG0000011	Prbj.g_02509	Praq.g_01137
OG0000011	Prbj.g_00666	Praq.g_01672
OG0000012	Prbj.g_01761, Prbj.g_01769	Praq.g_01004
OG0000013	Prbj.g_02502	Praq.g_00065
OG0000016	Prbj.g_00740, Prbj.g_00778	Praq.g_00171
OG0000017	Prbj.g_00638	Praq.g_01246
OG0000018	Prbj.g_02699	Praq.g_01761
OG0000019	Prbj.g_01774	Praq.g_01179
OG0000020	Prbj.g_01393	Praq.g_01169
OG0000024	Prbj.g_01442	Praq.g_01696
OG0000026	Prbj.g_01208	Praq.g_01236, Praq.g_01237, Praq.g_00075
OG0000028	Prbj.g_01056	Praq.g_00294
OG0000032	Prbj.g_01522, Prbj.g_01527	Praq.g_00209
OG0000036	Prbj.g_01789	Praq.g_01018
OG0000037	Prbj.g_02552	Praq.g_00979
OG0000038	Prbj.g_00050, Prbj.g_01572	Praq.g_00635
OG0000039	Prbj.g_00912, Prbj.g_00521	Praq.g_01836
OG0000040	Prbj.g_02392	Praq.g_01184
OG0000042	Prbj.g_00913, Prbj.g_02178	Praq.g_00583
OG0000043	Prbj.g_00025, Prbj.g_00023	Praq.g_00654
OG0000044	Prbj.g_00971	Praq.g_01333
OG0000045	Prbj.g_01467	Praq.g_00218, Praq.g_00271
OG0000047	Prbj.g_01598	Praq.g_00763, Praq.g_01243
OG0000048	Prbj.g_00001, Prbj.g_01808	Praq.g_00770
OG0000050	Prbj.g_01204	Praq.g_01234
OG0000051	Prbj.g_00530	Praq.g_01845, Praq.g_00554
OG0000052	Prbj.g_00875	Praq.g_01173
OG0000053	Prbj.g_02141	Praq.g_01063
OG0000054	Prbj.g_01324	Praq.g_00629
OG0000055	Prbj.g_02437	Praq.g_01420
OG0000056	Prbj.g_00227	Praq.g_01289
OG0000058	Prbj.g_00128	Praq.g_00526
OG0000059	Prbj.g_00758	Praq.g_00827
OG0000062	Prbj.g_01990	Praq.g_01300
OG0000063	Prbj.g_01915	Praq.g_00084
OG0000065	Prbj.g_01728	Praq.g_00133
OG0000066	Prbj.g_01465	Praq.g_00208
OG0000068	Prbj.g_00415, Prbj.g_00981	Praq.g_00879
OG0000069	Prbj.g_01468, Prbj.g_00659	Praq.g_00202
OG0000071	Prbj.g_02085	Praq.g_00437
OG0000072	Prbj.g_01460	Praq.g_01680
OG0000073	Prbj.g_00824	Praq.g_00798
OG0000074	Prbj.g_00933	Praq.g_00820
OG0000075	Prbj.g_02419	Praq.g_00677
OG0000076	Prbj.g_01838	Praq.g_01619
OG0000078	Prbj.g_01464	Praq.g_00216
OG0000079	Prbj.g_00881	Praq.g_00372
OG0000080	Prbj.g_01678	Praq.g_00052
OG0000081	Prbj.g_01500	Praq.g_00737
OG0000082	Prbj.g_01999	Praq.g_00392
OG0000083	Prbj.g_02076	Praq.g_00429
OG0000084	Prbj.g_02079	Praq.g_00432
OG0000085	Prbj.g_01195	Praq.g_01226
OG0000087	Prbj.g_01921	Praq.g_01265
OG0000088	Prbj.g_01551	Praq.g_01890
OG0000089	Prbj.g_01566	Praq.g_01882
OG0000090	Prbj.g_01547	Praq.g_01864
OG0000091	Prbj.g_00518	Praq.g_01833
OG0000092	Prbj.g_00517	Praq.g_01832
OG0000093	Prbj.g_01138	Praq.g_01818
OG0000094	Prbj.g_01167	Praq.g_01800
OG0000095	Prbj.g_00288	Praq.g_01795
OG0000096	Prbj.g_01352	Praq.g_01751
OG0000097	Prbj.g_01397	Praq.g_01729
OG0000098	Prbj.g_01410	Praq.g_01718
OG0000099	Prbj.g_01422	Praq.g_01708
OG0000100	Prbj.g_01426	Praq.g_01705
OG0000101	Prbj.g_00067	Praq.g_01187
OG0000102	Prbj.g_02004	Praq.g_01160
OG0000103	Prbj.g_00127	Praq.g_00527
OG0000104	Prbj.g_01630	Praq.g_00531
OG0000105	Prbj.g_01608	Praq.g_01103
OG0000106	Prbj.g_02125	Praq.g_01070
OG0000107	Prbj.g_02127	Praq.g_01069
OG0000108	Prbj.g_02668	Praq.g_01059
OG0000109	Prbj.g_01866	Praq.g_01050
OG0000110	Prbj.g_01885	Praq.g_01034
OG0000111	Prbj.g_00792	Praq.g_00780
OG0000112	Prbj.g_00793	Praq.g_00781
OG0000113	Prbj.g_02314	Praq.g_00605
OG0000114	Prbj.g_02410	Praq.g_00668
OG0000115	Prbj.g_02268	Praq.g_01548
OG0000116	Prbj.g_02260	Praq.g_01552
OG0000117	Prbj.g_01841	Praq.g_01616
OG0000118	Prbj.g_02066	Praq.g_01667
OG0000119	Prbj.g_01992	Praq.g_01303
OG0000120	Prbj.g_00843	Praq.g_01339
OG0000121	Prbj.g_00003	Praq.g_01358
OG0000122	Prbj.g_02156	Praq.g_01377
