Orthogroup	Prao	Other
OG0000002	Prao.g_01529	Pras.g_00541
OG0000024	Prao.g_01213	Praa.g_01409
OG0000024	Prao.g_01213	Pras.g_00304
OG0000024	Prao.g_01213	Prae.g_01401
OG0000024	Prao.g_01213	Prau.g_01470
OG0000027	Prao.g_01483	Prai.g_01549
OG0000063	Prao.g_01332	Pral.g_01881
OG0000069	Prao.g_01362, Prao.g_01201	Prau.g_01475
OG0000069	Prao.g_01201	Prad.g_00572
OG0001256	Prao.g_00529	Prax.g_00776
OG0001256	Prao.g_00529	Prbd.g_00836
OG0001474	Prao.g_00813	Pras.g_00311
OG0001539	Prao.g_00012	Prau.g_01356
OG0001539	Prao.g_00012	Prbd.g_01829
OG0001539	Prao.g_00012	Prai.g_01317
OG0001539	Prao.g_00012	Prab.g_01312
OG0001539	Prao.g_00012	Pran.g_00890
OG0001539	Prao.g_00012	Prbc.g_01291
OG0001539	Prao.g_00012	Praj.g_01219
OG0001539	Prao.g_00012	Prbb.g_01261
OG0001539	Prao.g_00012	Prbm.g_01327
