Orthogroup	Prax	Syag
OG0000001	Prax.g_01878, Prax.g_00522	Syag.g_00575
OG0000004	Prax.g_00947	Syag.g_00988
OG0000004	Prax.g_00986	Syag.g_00370, Syag.g_01790
OG0000005	Prax.g_01546	Syag.g_01708
OG0000005	Prax.g_01652	Syag.g_01667
OG0000006	Prax.g_01972	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prax.g_00704	Syag.g_01507
OG0000007	Prax.g_01559	Syag.g_01687
OG0000009	Prax.g_01950, Prax.g_01617	Syag.g_00220, Syag.g_00231
OG0000010	Prax.g_01212, Prax.g_00728	Syag.g_01355
OG0000011	Prax.g_01930, Prax.g_00460, Prax.g_00776, Prax.g_00454	Syag.g_01299
OG0000012	Prax.g_00082	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Prax.g_00846	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Prax.g_00869	Syag.g_02559
OG0000014	Prax.g_01763	Syag.g_02487
OG0000015	Prax.g_00523, Prax.g_00410	Syag.g_00596
OG0000017	Prax.g_00057	Syag.g_00336
OG0000018	Prax.g_00181, Prax.g_00346	Syag.g_01387
OG0000019	Prax.g_00926, Prax.g_00393	Syag.g_02663
OG0000020	Prax.g_00138	Syag.g_00085
OG0000022	Prax.g_00415, Prax.g_00157	Syag.g_00458
OG0000023	Prax.g_00813	Syag.g_00261, Syag.g_00234
OG0000024	Prax.g_00432, Prax.g_00967	Syag.g_00455
OG0000025	Prax.g_00338, Prax.g_00842	Syag.g_00718
OG0000026	Prax.g_00458, Prax.g_00282, Prax.g_01220	Syag.g_02309
OG0000027	Prax.g_01916	Syag.g_00950, Syag.g_00165
OG0000028	Prax.g_00855	Syag.g_02540
OG0000029	Prax.g_00798, Prax.g_00425	Syag.g_00195
OG0000030	Prax.g_01404	Syag.g_02375, Syag.g_02374
OG0000031	Prax.g_01831	Syag.g_02486
OG0000032	Prax.g_01838	Syag.g_02480
OG0000033	Prax.g_01049	Syag.g_01978
OG0000034	Prax.g_01889	Syag.g_01225, Syag.g_01947
OG0000035	Prax.g_01728, Prax.g_01733	Syag.g_01420
OG0000037	Prax.g_01110	Syag.g_00173
OG0000038	Prax.g_01445	Syag.g_02130, Syag.g_02132
OG0000039	Prax.g_00956	Syag.g_01325, Syag.g_02155
OG0000041	Prax.g_01512	Syag.g_01750
OG0000042	Prax.g_01401	Syag.g_01094, Syag.g_02378
OG0000043	Prax.g_00301, Prax.g_00501, Prax.g_00530	Syag.g_00564
OG0000045	Prax.g_00802	Syag.g_00223
OG0000047	Prax.g_00843	Syag.g_00768
OG0000048	Prax.g_00173, Prax.g_00512, Prax.g_00799	Syag.g_02611
OG0000051	Prax.g_01927	Syag.g_01026
OG0000053	Prax.g_01708	Syag.g_01391
OG0000054	Prax.g_00065	Syag.g_00350
OG0000055	Prax.g_00392	Syag.g_00946
OG0000057	Prax.g_00944	Syag.g_00985
OG0000058	Prax.g_01823	Syag.g_02477
OG0000059	Prax.g_01286	Syag.g_02721
OG0000060	Prax.g_00517	Syag.g_01095
OG0000061	Prax.g_00200	Syag.g_01141
OG0000063	Prax.g_00280	Syag.g_02313
OG0000065	Prax.g_01112	Syag.g_00182, Syag.g_01885
OG0000066	Prax.g_00662	Syag.g_01443
OG0000067	Prax.g_00373	Syag.g_00667
OG0000068	Prax.g_01863	Syag.g_01537
OG0000070	Prax.g_00750	Syag.g_00049
OG0000071	Prax.g_01899	Syag.g_01192
OG0000072	Prax.g_01047	Syag.g_01980, Syag.g_02859
OG0000073	Prax.g_00702	Syag.g_01505
OG0000075	Prax.g_01370	Syag.g_02434
OG0000076	Prax.g_01394	Syag.g_02393
OG0000077	Prax.g_00649	Syag.g_01831
OG0000078	Prax.g_00979	Syag.g_01778
OG0000079	Prax.g_00923	Syag.g_02659, Syag.g_02652
OG0000082	Prax.g_00045	Syag.g_00318
OG0000084	Prax.g_01737	Syag.g_01425
OG0000085	Prax.g_01566	Syag.g_01676
OG0000086	Prax.g_00659	Syag.g_01853
