Orthogroup	Prbn	Other
OG0000017	Prbn.g_00517	Praj.g_00585
OG0000017	Prbn.g_00517	Prbb.g_00598
OG0000017	Prbn.g_00517	Prbc.g_01674
OG0000017	Prbn.g_00517	Prbm.g_00628
OG0000017	Prbn.g_00517	Syar.g_03181
OG0000018	Prbn.g_01167, Prbn.g_01518	Syap.g_02708
OG0000027	Prbn.g_01664, Prbn.g_00139	Syac.g_01009
OG0000027	Prbn.g_01664, Prbn.g_00139	Syar.g_02835
OG0000037	Prbn.g_01310	Syat.g_01575
OG0000052	Prbn.g_00190	Syag.g_02491
OG0000052	Prbn.g_00190	Syaa.g_00461
OG0000052	Prbn.g_00190	Syal.g_01396
OG0000052	Prbn.g_00190	Syae.g_01224
OG0000052	Prbn.g_00190	Syaq.g_00935
OG0000059	Prbn.g_01833	Syal.g_01332
OG0000061	Prbn.g_01189	Syab.g_00171
OG0000061	Prbn.g_01189	Syah.g_00215
OG0000061	Prbn.g_01189	Syaj.g_02351
OG0000061	Prbn.g_01189	Syaa.g_00469
OG0000061	Prbn.g_01189	Syap.g_00870
OG0000076	Prbn.g_00996	Syao.g_01251
OG0000093	Prbn.g_00846	Prbb.g_01606
OG0000099	Prbn.g_00173	Syai.g_00151
OG0000107	Prbn.g_01810	Syar.g_03290
OG0000107	Prbn.g_01810	Syat.g_02009
OG0000108	Prbn.g_00634	Syap.g_02256
OG0000120	Prbn.g_00170	Pras.g_00330
OG0000124	Prbn.g_00979	Syag.g_02485
OG0000131	Prbn.g_01269	Syar.g_02216
OG0000132	Prbn.g_01249	Syaq.g_01036
OG0000138	Prbn.g_00619	Syak.g_01062
OG0000138	Prbn.g_00619	Syaj.g_02631
OG0000142	Prbn.g_00426	Syab.g_01524
OG0000145	Prbn.g_01100	Syar.g_03205
OG0000148	Prbn.g_01529	Syab.g_01683
OG0000148	Prbn.g_01529	Syaj.g_01002
OG0000158	Prbn.g_01014	Syao.g_01141
OG0000159	Prbn.g_00717	Syap.g_00700
OG0000173	Prbn.g_00958	Syap.g_01213
OG0000188	Prbn.g_01339	Syai.g_00696
OG0000205	Prbn.g_00351	Praf.g_02708
OG0000224	Prbn.g_00091	Syar.g_00762
OG0000230	Prbn.g_00675	Syar.g_03275
OG0000250	Prbn.g_00544	Syar.g_03194
OG0000253	Prbn.g_00520	Syar.g_03229
OG0000259	Prbn.g_00835	Syas.g_01006
OG0000268	Prbn.g_01351	Syaf.g_00307
OG0000283	Prbn.g_01442	Syal.g_02131
OG0000284	Prbn.g_01437	Syar.g_03258
OG0000289	Prbn.g_01364	Syar.g_03305
OG0000303	Prbn.g_00419	Syar.g_03136
OG0000323	Prbn.g_01773	Syas.g_00159
OG0000330	Prbn.g_01858	Syar.g_03190
OG0000344	Prbn.g_01005	Syab.g_02424
OG0000346	Prbn.g_00995	Syap.g_02423
OG0000379	Prbn.g_00729	Syal.g_02681
OG0000390	Prbn.g_01304	Prad.g_00011
OG0000771	Prbn.g_00886	Prau.g_01496
OG0001008	Prbn.g_00676	Syar.g_03274
OG0001140	Prbn.g_00395	Syab.g_00642
OG0001269	Prbn.g_01491	Syal.g_02116
OG0001284	Prbn.g_00287	Syas.g_02124
OG0001349	Prbn.g_00174	Syaa.g_00454
OG0001356	Prbn.g_01733	Syaf.g_02177
OG0001423	Prbn.g_00787	Syam.g_00534
OG0001488	Prbn.g_01202	Syad.g_00051, Syad.g_00050
OG0001518	Prbn.g_00938	Syal.g_02309
OG0001588	Prbn.g_00688	Praf.g_02600
OG0002098	Prbn.g_01223	Syas.g_02127
