Orthogroup	Prbe	Prbb
OG0000000	Prbe.g_01587	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbe.g_01119	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbe.g_01120	Prbb.g_01123
OG0000000	Prbe.g_01120	Prbb.g_01352
OG0000000	Prbe.g_01120	Prbb.g_01403
OG0000000	Prbe.g_01120	Prbb.g_01787
OG0000000	Prbe.g_01052	Prbb.g_01145
OG0000001	Prbe.g_00400	Prbb.g_01611
OG0000001	Prbe.g_00112	Prbb.g_00474, Prbb.g_01915
OG0000002	Prbe.g_01285	Prbb.g_00844
OG0000002	Prbe.g_01579	Prbb.g_01546
OG0000002	Prbe.g_00379, Prbe.g_01577	Prbb.g_01545
OG0000002	Prbe.g_01584	Prbb.g_01550, Prbb.g_01544
OG0000002	Prbe.g_00208	Prbb.g_01549
OG0000002	Prbe.g_00452	Prbb.g_00683
OG0000004	Prbe.g_01203	Prbb.g_01450
OG0000004	Prbe.g_01784	Prbb.g_00288
OG0000005	Prbe.g_00228	Prbb.g_01766
OG0000006	Prbe.g_01794	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Prbe.g_00636	Prbb.g_00501
OG0000007	Prbe.g_00985	Prbb.g_01823
OG0000008	Prbe.g_00036	Prbb.g_01884
OG0000008	Prbe.g_00037	Prbb.g_01885
OG0000010	Prbe.g_00659	Prbb.g_00477
OG0000010	Prbe.g_00096, Prbe.g_01411	Prbb.g_01072
OG0000011	Prbe.g_00713	Prbb.g_01368
OG0000012	Prbe.g_00196	Prbb.g_01111
OG0000013	Prbe.g_01879	Prbb.g_00378
OG0000014	Prbe.g_01861	Prbb.g_00357
OG0000015	Prbe.g_01046, Prbe.g_01000	Prbb.g_01158
OG0000016	Prbe.g_01607	Prbb.g_01919
OG0000018	Prbe.g_01250	Prbb.g_00812
OG0000018	Prbe.g_01571	Prbb.g_01539
OG0000019	Prbe.g_01573	Prbb.g_00761
OG0000020	Prbe.g_00018	Prbb.g_01180
OG0000021	Prbe.g_00203	Prbb.g_01914
OG0000021	Prbe.g_01208	Prbb.g_00099
OG0000022	Prbe.g_00220	Prbb.g_01231
OG0000023	Prbe.g_00062	Prbb.g_01411, Prbb.g_01373
OG0000024	Prbe.g_01415	Prbb.g_01175
OG0000024	Prbe.g_00449	Prbb.g_00680
OG0000025	Prbe.g_01258	Prbb.g_00052, Prbb.g_00818
OG0000026	Prbe.g_00132	Prbb.g_00032
OG0000027	Prbe.g_00012, Prbe.g_01121	Prbb.g_01375
OG0000028	Prbe.g_00034	Prbb.g_01635
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133	Prbb.g_01800
OG0000030	Prbe.g_00763	Prbb.g_02073
OG0000031	Prbe.g_00352	Prbb.g_00387
OG0000032	Prbe.g_00272	Prbb.g_01723
OG0000033	Prbe.g_01717, Prbe.g_00345	Prbb.g_00226
OG0000034	Prbe.g_00882	Prbb.g_01596
OG0000035	Prbe.g_00311	Prbb.g_01686
OG0000037	Prbe.g_01651	Prbb.g_00164
OG0000038	Prbe.g_01156	Prbb.g_02129
OG0000039	Prbe.g_00461	Prbb.g_00692
OG0000041	Prbe.g_00938	Prbb.g_01868
OG0000042	Prbe.g_00766	Prbb.g_02069
OG0000043	Prbe.g_01570	Prbb.g_01198, Prbb.g_00909
OG0000045	Prbe.g_01593	Prbb.g_01094
OG0000046	Prbe.g_01880	Prbb.g_00379
OG0000047	Prbe.g_01921	Prbb.g_00421
OG0000048	Prbe.g_00906	Prbb.g_00325
OG0000051	Prbe.g_00720	Prbb.g_01383
OG0000052	Prbe.g_00158	Prbb.g_00112
OG0000053	Prbe.g_00290, Prbe.g_01040	Prbb.g_01705
OG0000054	Prbe.g_00527	Prbb.g_00607
OG0000055	Prbe.g_01011	Prbb.g_01897
OG0000057	Prbe.g_01206	Prbb.g_01359, Prbb.g_00706
OG0000058	Prbe.g_00351	Prbb.g_00851
OG0000059	Prbe.g_01094	Prbb.g_01946
OG0000061	Prbe.g_01549	Prbb.g_01517
OG0000062	Prbe.g_00226	Prbb.g_01768
OG0000063	Prbe.g_00021	Prbb.g_01921
OG0000065	Prbe.g_01649	Prbb.g_00162
OG0000066	Prbe.g_00596, Prbe.g_01114	Prbb.g_00542
OG0000067	Prbe.g_01222	Prbb.g_00783
OG0000068	Prbe.g_00373	Prbb.g_01639
OG0000069	Prbe.g_00678	Prbb.g_01729
OG0000070	Prbe.g_01948	Prbb.g_00455
OG0000071	Prbe.g_00893	Prbb.g_01586
OG0000072	Prbe.g_01719	Prbb.g_00228
OG0000073	Prbe.g_00633	Prbb.g_00503
OG0000074	Prbe.g_00107	Prbb.g_00915
OG0000074	Prbe.g_00070	Prbb.g_01104
OG0000075	Prbe.g_00800	Prbb.g_02036
OG0000076	Prbe.g_00774	Prbb.g_02061
OG0000077	Prbe.g_00183	Prbb.g_00133
OG0000078	Prbe.g_01792	Prbb.g_00297
OG0000079	Prbe.g_01805	Prbb.g_00308
OG0000081	Prbe.g_00604	Prbb.g_00534
OG0000082	Prbe.g_00996	Prbb.g_01882
OG0000084	Prbe.g_00314	Prbb.g_01683
OG0000085	Prbe.g_00007, Prbe.g_00993	Prbb.g_01816
OG0000086	Prbe.g_00192	Prbb.g_00143
OG0000087	Prbe.g_01683	Prbb.g_00196
OG0000088	Prbe.g_01714	Prbb.g_00223
OG0000089	Prbe.g_01915	Prbb.g_00416
OG0000090	Prbe.g_00602	Prbb.g_00536
OG0000091	Prbe.g_01477	Prbb.g_00643
OG0000093	Prbe.g_01448	Prbb.g_00768
OG0000094	Prbe.g_01399	Prbb.g_00892
OG0000095	Prbe.g_01297	Prbb.g_01070
OG0000096	Prbe.g_00081	Prbb.g_01294
OG0000097	Prbe.g_01503	Prbb.g_01470
OG0000098	Prbe.g_00397	Prbb.g_01608
OG0000099	Prbe.g_00350	Prbb.g_00388
OG0000100	Prbe.g_00232	Prbb.g_01763
OG0000101	Prbe.g_00836	Prbb.g_02001
OG0000102	Prbe.g_00769	Prbb.g_02066
OG0000103	Prbe.g_01195	Prbb.g_02174
OG0000104	Prbe.g_01061	Prbb.g_02185
OG0000105	Prbe.g_01828	Prbb.g_00327
OG0000106	Prbe.g_00740	Prbb.g_01197, Prbb.g_01329
OG0000107	Prbe.g_00921	Prbb.g_01923
OG0000108	Prbe.g_00653	Prbb.g_00484, Prbb.g_00485
OG0000109	Prbe.g_00639	Prbb.g_00498
OG0000110	Prbe.g_00560	Prbb.g_00578
OG0000111	Prbe.g_01207	Prbb.g_00707
OG0000112	Prbe.g_00487	Prbb.g_00983
OG0000113	Prbe.g_01245	Prbb.g_01218
OG0000114	Prbe.g_00417	Prbb.g_00932
OG0000115	Prbe.g_01618	Prbb.g_01780
OG0000116	Prbe.g_01560	Prbb.g_01528
OG0000117	Prbe.g_01522	Prbb.g_01399
OG0000118	Prbe.g_00880	Prbb.g_01598
OG0000119	Prbe.g_01603, Prbe.g_00214	Prbb.g_01632
OG0000120	Prbe.g_00353	Prbb.g_00678
OG0000121	Prbe.g_00309	Prbb.g_01688
OG0000122	Prbe.g_00268	Prbb.g_01727
OG0000123	Prbe.g_00829	Prbb.g_02008
OG0000125	Prbe.g_01158	Prbb.g_02131
OG0000126	Prbe.g_01060	Prbb.g_02183
OG0000128	Prbe.g_01076	Prbb.g_00012
OG0000129	Prbe.g_00145	Prbb.g_00059
OG0000130	Prbe.g_00174	Prbb.g_00124
