Orthogroup	Syan	Syao
OG0000001	Syan.g_02266	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syan.g_00183	Syao.g_02374
OG0000004	Syan.g_00989	Syao.g_01007
OG0000005	Syan.g_01423	Syao.g_01680
OG0000005	Syan.g_01378	Syao.g_01578
OG0000005	Syan.g_00449	Syao.g_01210
OG0000006	Syan.g_00791	Syao.g_00919
OG0000006	Syan.g_00057, Syan.g_00936	Syao.g_01518
OG0000007	Syan.g_02743	Syao.g_00105
OG0000007	Syan.g_01400	Syao.g_01554
OG0000008	Syan.g_00641, Syan.g_02531	Syao.g_01321
OG0000009	Syan.g_02972	Syao.g_02598
OG0000010	Syan.g_02847	Syao.g_02683
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Syao.g_01193
OG0000012	Syan.g_00008	Syao.g_01335
OG0000012	Syan.g_00942	Syao.g_01045
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Syao.g_01222
OG0000014	Syan.g_01987	Syao.g_02027
OG0000015	Syan.g_01691, Syan.g_00248	Syao.g_02339
OG0000016	Syan.g_01766	Syao.g_01955
OG0000017	Syan.g_01006	Syao.g_00997
OG0000017	Syan.g_01013	Syao.g_01064
OG0000018	Syan.g_02816	Syao.g_00071
OG0000019	Syan.g_02088	Syao.g_02108
OG0000021	Syan.g_01001	Syao.g_01002
OG0000022	Syan.g_00089	Syao.g_01218
OG0000023	Syan.g_00404	Syao.g_01266
OG0000025	Syan.g_00374	Syao.g_00437
OG0000026	Syan.g_01743	Syao.g_02234
OG0000027	Syan.g_02678	Syao.g_00202
OG0000028	Syan.g_01971	Syao.g_02012
OG0000030	Syan.g_01884	Syao.g_02189
OG0000030	Syan.g_01883	Syao.g_02188
OG0000031	Syan.g_01967	Syao.g_02008
OG0000032	Syan.g_02835	Syao.g_00090
OG0000032	Syan.g_01819	Syao.g_01984, Syao.g_01983
OG0000032	Syan.g_01088, Syan.g_01091, Syan.g_01101	Syao.g_01135
OG0000033	Syan.g_03036	Syao.g_02507
OG0000035	Syan.g_01279	Syao.g_01483
OG0000035	Syan.g_01276	Syao.g_01486
OG0000036	Syan.g_02789	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726
OG0000037	Syan.g_00136	Syao.g_00374
OG0000038	Syan.g_01569	Syao.g_02440
