Orthogroup	Prax	Other
OG0000027	Prax.g_01641	Prai.g_01549
OG0000054	Prax.g_00457	Prai.g_00909
OG0000054	Prax.g_00457	Prbc.g_01116
OG0000054	Prax.g_00457	Praj.g_00042
OG0000054	Prax.g_00457	Prbb.g_00053
OG0000054	Prax.g_00457	Prbm.g_00047
OG0000054	Prax.g_00457	Prak.g_00601
OG0000054	Prax.g_00457	Prap.g_01128
OG0000054	Prax.g_00457	Prbe.g_00494
OG0000054	Prax.g_00457	Prbf.g_01922
OG0000054	Prax.g_00457	Prbg.g_00359
OG0000054	Prax.g_00457	Prbn.g_00475
OG0000054	Prax.g_00457	Prah.g_01812
OG0000054	Prax.g_00457	Prbj.g_01324
OG0000054	Prax.g_00457	Prbk.g_01468
OG0000054	Prax.g_00457	Prbl.g_01943
OG0000054	Prax.g_00457	Praf.g_00348
OG0000054	Prax.g_00457	Prat.g_01503
OG0000054	Prax.g_00457	Pral.g_00043
OG0000054	Prax.g_00457	Pram.g_01517
OG0000054	Prax.g_00457	Prbh.g_01897
OG0000054	Prax.g_00457	Prab.g_00803
OG0000054	Prax.g_00457	Pran.g_01379
OG0000054	Prax.g_00457	Prav.g_01325
OG0000063	Prax.g_01959	Pral.g_01881
OG0000095	Prax.g_01011	Pras.g_01058
OG0000096	Prax.g_00488	Prbm.g_00310
OG0000096	Prax.g_00488	Praj.g_00290
OG0000096	Prax.g_00488	Prbc.g_01147
OG0000096	Prax.g_00488	Prbb.g_00307
OG0000096	Prax.g_00488	Pral.g_00788
OG0000096	Prax.g_00488	Prat.g_00257
OG0000096	Prax.g_00488	Praf.g_02217
OG0000096	Prax.g_00488	Prah.g_02089
OG0000096	Prax.g_00488	Prbj.g_01352
OG0000096	Prax.g_00488	Prbk.g_01001
OG0000096	Prax.g_00488	Prbl.g_01506
OG0000096	Prax.g_00488	Prak.g_00268
OG0000096	Prax.g_00488	Prap.g_01460
OG0000096	Prax.g_00488	Prbe.g_01804
OG0000096	Prax.g_00488	Prbf.g_01590
OG0000096	Prax.g_00488	Prbg.g_01034
OG0000096	Prax.g_00488	Prbn.g_00017
OG0000096	Prax.g_00488	Pram.g_00239
OG0000096	Prax.g_00488	Prbh.g_00528
OG0000101	Prax.g_01573	Prab.g_00344
OG0000101	Prax.g_01573	Pran.g_01838
OG0000101	Prax.g_01573	Prai.g_00369
OG0000101	Prax.g_01573	Prak.g_00381
OG0000101	Prax.g_01573	Prap.g_01347
OG0000101	Prax.g_01573	Prbe.g_01917
OG0000101	Prax.g_01573	Prbf.g_01703
OG0000101	Prax.g_01573	Prbg.g_00139
OG0000101	Prax.g_01573	Prbn.g_00694
OG0000101	Prax.g_01573	Prbm.g_00425
OG0000101	Prax.g_01573	Prbb.g_00418
OG0000101	Prax.g_01573	Praj.g_00405
OG0000101	Prax.g_01573	Prbc.g_01270
OG0000101	Prax.g_01573	Pral.g_00674
OG0000101	Prax.g_01573	Prah.g_00208
OG0000101	Prax.g_01573	Praf.g_02012
OG0000101	Prax.g_01573	Prbj.g_00067
OG0000101	Prax.g_01573	Prbk.g_00361
OG0000101	Prax.g_01573	Prbl.g_02677
OG0000101	Prax.g_01573	Prat.g_00372
OG0000101	Prax.g_01573	Pram.g_00354
OG0000101	Prax.g_01573	Prbh.g_00413
OG0000118	Prax.g_01759	Prag.g_01085
OG0000118	Prax.g_01759	Praw.g_01418
OG0000118	Prax.g_01759	Prab.g_01144
OG0000118	Prax.g_01759	Pran.g_00135
OG0000118	Prax.g_01759	Prai.g_01107
OG0000118	Prax.g_01759	Prbm.g_01210
OG0000118	Prax.g_01759	Prbb.g_01238
OG0000118	Prax.g_01759	Praj.g_01196
OG0000118	Prax.g_01759	Prbc.g_00173
OG0000118	Prax.g_01759	Prak.g_01217
OG0000118	Prax.g_01759	Prap.g_00501
OG0000118	Prax.g_01759	Prbe.g_01594
OG0000118	Prax.g_01759	Prbf.g_00873
OG0000118	Prax.g_01759	Prbg.g_01531
OG0000118	Prax.g_01759	Prbn.g_01144
OG0000118	Prax.g_01759	Pram.g_01185
OG0000118	Prax.g_01759	Prbh.g_01328
OG0000118	Prax.g_01759	Prat.g_01208
OG0000118	Prax.g_01759	Pral.g_01316
OG0000118	Prax.g_01759	Prbj.g_02066
OG0000118	Prax.g_01759	Prbk.g_02271
OG0000118	Prax.g_01759	Prbl.g_02128
OG0000118	Prax.g_01759	Praf.g_02776
OG0000118	Prax.g_01759	Prah.g_02597
OG0001256	Prax.g_00460, Prax.g_00776	Prbm.g_01202
