Orthogroup	Praq	Syai
OG0000001	Praq.g_00160, Praq.g_01394, Praq.g_01393	Syai.g_01716
OG0000002	Praq.g_00168, Praq.g_00807	Syai.g_01728
OG0000004	Praq.g_00824	Syai.g_01994
OG0000004	Praq.g_01770	Syai.g_01062, Syai.g_00530
OG0000005	Praq.g_00484	Syai.g_02393
OG0000005	Praq.g_00370	Syai.g_02356
OG0000006	Praq.g_01761	Syai.g_00317, Syai.g_00547
OG0000007	Praq.g_01105	Syai.g_00657
OG0000007	Praq.g_00497	Syai.g_02378
OG0000008	Praq.g_00071	Syai.g_01956
OG0000009	Praq.g_00017	Syai.g_01626
OG0000009	Praq.g_01898	Syai.g_02541
OG0000010	Praq.g_00552, Praq.g_01626, Praq.g_00525	Syai.g_00864
OG0000011	Praq.g_00110	Syai.g_01894, Syai.g_00582
OG0000012	Praq.g_00979	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Praq.g_01675	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Praq.g_01696	Syai.g_00220
OG0000015	Praq.g_00065	Syai.g_01246, Syai.g_01245
OG0000017	Praq.g_01004	Syai.g_00801
OG0000018	Praq.g_01314, Praq.g_01425	Syai.g_00915
OG0000019	Praq.g_01753, Praq.g_00649	Syai.g_00304
OG0000020	Praq.g_01281, Praq.g_00073, Praq.g_00041, Praq.g_00080, Praq.g_00547	Syai.g_00476
OG0000022	Praq.g_00635, Praq.g_01296	Syai.g_01159
OG0000023	Praq.g_01184	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Praq.g_00618, Praq.g_00804	Syai.g_01951
OG0000025	Praq.g_01432, Praq.g_01671	Syai.g_02044
OG0000026	Praq.g_01234, Praq.g_01633	Syai.g_00038
OG0000027	Praq.g_00521	Syai.g_01128, Syai.g_01654
OG0000028	Praq.g_01682, Praq.g_00103	Syai.g_00205
OG0000029	Praq.g_01168, Praq.g_00627	Syai.g_01035, Syai.g_01584
OG0000030	Praq.g_00772	Syai.g_00096, Syai.g_00095
OG0000033	Praq.g_01833	Syai.g_02634
OG0000034	Praq.g_00143	Syai.g_02192, Syai.g_02604
OG0000035	Praq.g_00294	Syai.g_00955
OG0000037	Praq.g_01894	Syai.g_02544, Syai.g_02815
OG0000038	Praq.g_00716	Syai.g_02780
OG0000039	Praq.g_00815	Syai.g_02034
OG0000041	Praq.g_00451	Syai.g_02265
OG0000042	Praq.g_00770	Syai.g_00099
OG0000044	Praq.g_00058	Syai.g_00833
OG0000045	Praq.g_01172	Syai.g_02432
OG0000047	Praq.g_01137, Praq.g_01672	Syai.g_00462
OG0000048	Praq.g_01169	Syai.g_00272
OG0000053	Praq.g_01246, Praq.g_00314	Syai.g_00930
OG0000054	Praq.g_00996	Syai.g_01040
OG0000055	Praq.g_00650	Syai.g_02029
OG0000057	Praq.g_00827	Syai.g_01997
OG0000058	Praq.g_00218, Praq.g_00271	Syai.g_00195
OG0000059	Praq.g_00927	Syai.g_00351
OG0000061	Praq.g_01333	Syai.g_02144
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syai.g_00042
OG0000066	Praq.g_01063	Syai.g_01709, Syai.g_00719
OG0000067	Praq.g_00670	Syai.g_01321
OG0000068	Praq.g_00175	Syai.g_00628
OG0000070	Praq.g_01107	Syai.g_02196
OG0000071	Praq.g_00133	Syai.g_02179
OG0000072	Praq.g_01831	Syai.g_02636
OG0000073	Praq.g_01103	Syai.g_00659
OG0000075	Praq.g_00739	Syai.g_00161
OG0000076	Praq.g_01243, Praq.g_00763	Syai.g_00111
OG0000077	Praq.g_01925	Syai.g_02486
OG0000078	Praq.g_01763	Syai.g_00543
OG0000081	Praq.g_01071	Syai.g_00553
OG0000082	Praq.g_01018	Syai.g_00781
OG0000084	Praq.g_00290	Syai.g_00958
OG0000086	Praq.g_01915	Syai.g_02507
OG0000087	Praq.g_01864	Syai.g_02592
OG0000088	Praq.g_01836	Syai.g_02630
OG0000089	Praq.g_01188	Syai.g_00517
OG0000090	Praq.g_01069	Syai.g_00707
OG0000091	Praq.g_00960	Syai.g_01112
OG0000092	Praq.g_01495, Praq.g_00725	Syai.g_01358
OG0000094	Praq.g_01600	Syai.g_01424
OG0000097	Praq.g_01374	Syai.g_01787
OG0000098	Praq.g_00157	Syai.g_01718
OG0000099	Praq.g_00216	Syai.g_00199
