Orthogroup	Praf	Prbm
OG0000000	Praf.g_00815, Praf.g_00814	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Praf.g_00813	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293	Prbm.g_01633
OG0000002	Praf.g_01631	Prbm.g_00874
OG0000002	Praf.g_00948	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Praf.g_01121	Prbm.g_01483
OG0000004	Praf.g_00743	Prbm.g_00291
OG0000005	Praf.g_00503	Prbm.g_01790
OG0000006	Praf.g_00396, Praf.g_01719	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Praf.g_00614	Prbm.g_00522
OG0000007	Praf.g_00480	Prbm.g_01841
OG0000008	Praf.g_01223	Prbm.g_01907
OG0000008	Praf.g_01224	Prbm.g_01908
OG0000010	Praf.g_01908	Prbm.g_01066
OG0000011	Praf.g_01188, Praf.g_01190	Prbm.g_01202
OG0000013	Praf.g_02073	Prbm.g_00382
OG0000014	Praf.g_02319	Prbm.g_00362
OG0000014	Praf.g_00112	Prbm.g_02126
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbm.g_01427, Prbm.g_01149
OG0000016	Praf.g_00014	Prbm.g_00013
OG0000016	Praf.g_00906	Prbm.g_01944
OG0000018	Praf.g_01832	Prbm.g_01571
OG0000019	Praf.g_00943, Praf.g_02214	Prbm.g_00792
OG0000020	Praf.g_01095	Prbm.g_01156
OG0000021	Praf.g_00946, Praf.g_01089	Prbm.g_01939
OG0000022	Praf.g_00965	Prbm.g_01324
OG0000022	Praf.g_00201	Prbm.g_01204
OG0000024	Praf.g_01139	Prbm.g_01151, Prbm.g_00709
OG0000025	Praf.g_01591	Prbm.g_00849
OG0000026	Praf.g_00037	Prbm.g_00031
OG0000029	Praf.g_02091	Prbm.g_01823
OG0000030	Praf.g_00160, Praf.g_00159	Prbm.g_02105
