HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N16.HOG0000000	OG0000000	n64																																				Prbj.g_00164	Prbk.g_00165	Prbl.g_00116																						
N16.HOG0000001	OG0000000	n228																																				Prbj.g_00166	Prbk.g_00167	Prbl.g_00118																						
N16.HOG0000002	OG0000000	n229																																				Prbj.g_00165	Prbk.g_00166	Prbl.g_00117																						
N16.HOG0000003	OG0000001	n11																																				Prbj.g_00672	Prbk.g_01196	Prbl.g_00725																						
N16.HOG0000004	OG0000001	n16																																				Prbj.g_00169	Prbk.g_00170	Prbl.g_00121																						
N16.HOG0000005	OG0000001	n18																																						Prbl.g_02599																						
N16.HOG0000006	OG0000001	n186																																				Prbj.g_01549	Prbk.g_00561	Prbl.g_00808																						
N16.HOG0000007	OG0000001	n188																																				Prbj.g_02662	Prbk.g_02701	Prbl.g_02598																						
N16.HOG0000008	OG0000001	n221																																				Prbj.g_02690	Prbk.g_00630	Prbl.g_02578																						
N16.HOG0000009	OG0000002	n8																																				Prbj.g_02517	Prbk.g_02574	Prbl.g_01582																						
N16.HOG0000010	OG0000002	n42																																				Prbj.g_00030	Prbk.g_01649	Prbl.g_01092																						
N16.HOG0000011	OG0000003	n28																																				Prbj.g_02017	Prbk.g_02222	Prbl.g_02177																						
N16.HOG0000012	OG0000003	n67																																				Prbj.g_00170	Prbk.g_01375	Prbl.g_01929																						
N16.HOG0000013	OG0000003	n69																																				Prbj.g_01574	Prbk.g_00214	Prbl.g_01308																						
N16.HOG0000014	OG0000003	n91																																				Prbj.g_02693	Prbk.g_02704	Prbl.g_02640																						
N16.HOG0000015	OG0000003	n92																																				Prbj.g_02694	Prbk.g_02705	Prbl.g_02639																						
N16.HOG0000016	OG0000003	n95																																				Prbj.g_00096	Prbk.g_00332	Prbl.g_00656																						
N16.HOG0000017	OG0000003	n99																																				Prbj.g_02605	Prbk.g_01523	Prbl.g_00202																						
N16.HOG0000018	OG0000003	n100																																				Prbj.g_00226	Prbk.g_00695	Prbl.g_00139																						
N16.HOG0000019	OG0000003	n101																																				Prbj.g_00059	Prbk.g_01676	Prbl.g_01063																						
N16.HOG0000020	OG0000003	n103																																				Prbj.g_00058	Prbk.g_01675	Prbl.g_01064																						
