Orthogroup	Syae	Syaa
OG0000001	Syae.g_01416	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syae.g_02055	Syaa.g_02329
OG0000004	Syae.g_00779	Syaa.g_00892
OG0000004	Syae.g_00042	Syaa.g_01667
OG0000004	Syae.g_02231	Syaa.g_02116
OG0000005	Syae.g_01179	Syaa.g_00534
OG0000005	Syae.g_01143	Syaa.g_00573
OG0000005	Syae.g_00257	Syaa.g_01449
OG0000006	Syae.g_00096	Syaa.g_01611
OG0000006	Syae.g_02030, Syae.g_02248	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syae.g_02328	Syaa.g_02032
OG0000007	Syae.g_01163	Syaa.g_00551
OG0000008	Syae.g_00753	Syaa.g_00918
OG0000008	Syae.g_00752	Syaa.g_00919
OG0000009	Syae.g_01361	Syaa.g_02378
OG0000010	Syae.g_02529	Syaa.g_01843
OG0000011	Syae.g_00750	Syaa.g_00921
OG0000012	Syae.g_00049	Syaa.g_01660
OG0000012	Syae.g_02562	Syaa.g_02304
OG0000013	Syae.g_02160	Syaa.g_02212
OG0000013	Syae.g_02169	Syaa.g_02204
OG0000013	Syae.g_02155	Syaa.g_02217
OG0000014	Syae.g_01930	Syaa.g_00222
OG0000014	Syae.g_01850	Syaa.g_00481
OG0000015	Syae.g_01693	Syaa.g_02739
OG0000015	Syae.g_00590	Syaa.g_01079
OG0000016	Syae.g_01726	Syaa.g_00014
OG0000016	Syae.g_00681	Syaa.g_00981
OG0000016	Syae.g_00233	Syaa.g_01481
OG0000017	Syae.g_02462	Syaa.g_01890
OG0000017	Syae.g_02469	Syaa.g_01883
OG0000018	Syae.g_02625	Syaa.g_01801
OG0000019	Syae.g_02015	Syaa.g_00307
OG0000022	Syae.g_00144	Syaa.g_01571
OG0000023	Syae.g_00439	Syaa.g_01216
OG0000025	Syae.g_00833	Syaa.g_00839
OG0000026	Syae.g_01748	Syaa.g_00038
OG0000027	Syae.g_00103	Syaa.g_01605
OG0000027	Syae.g_00814	Syaa.g_00854
OG0000028	Syae.g_01916	Syaa.g_00205
OG0000029	Syae.g_00136	Syaa.g_01578
OG0000030	Syae.g_01817	Syaa.g_00099
OG0000030	Syae.g_01816	Syaa.g_00098
OG0000031	Syae.g_01911	Syaa.g_00200
OG0000032	Syae.g_02607	Syaa.g_01818
OG0000033	Syae.g_01453	Syaa.g_02478
OG0000034	Syae.g_00975, Syae.g_01424	Syaa.g_00722, Syaa.g_02444
OG0000035	Syae.g_02653	Syaa.g_01773
OG0000037	Syae.g_01367	Syaa.g_02384
OG0000038	Syae.g_01571	Syaa.g_02596
OG0000039	Syae.g_00822	Syaa.g_00846
OG0000040	Syae.g_01653	Syaa.g_02690
OG0000041	Syae.g_01042	Syaa.g_00660
OG0000041	Syae.g_00802	Syaa.g_00869
OG0000042	Syae.g_01821	Syaa.g_00103
OG0000043	Syae.g_00117	Syaa.g_01437
OG0000044	Syae.g_00098	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851
OG0000045	Syae.g_00732	Syaa.g_01518
OG0000046	Syae.g_02161	Syaa.g_02211
OG0000046	Syae.g_02168	Syaa.g_02205
OG0000046	Syae.g_02154	Syaa.g_02218
OG0000047	Syae.g_02184	Syaa.g_02189
OG0000048	Syae.g_01982	Syaa.g_00275
OG0000050	Syae.g_00122	Syaa.g_01591
OG0000050	Syae.g_01023	Syaa.g_01213, Syaa.g_01712
OG0000051	Syae.g_00438	Syaa.g_01531
OG0000052	Syae.g_01224	Syaa.g_00461
OG0000052	Syae.g_01886	Syaa.g_00174
OG0000053	Syae.g_02629	Syaa.g_01797
OG0000054	Syae.g_00014	Syaa.g_01691
OG0000054	Syae.g_00221	Syaa.g_01502
OG0000055	Syae.g_00817	Syaa.g_00852
OG0000057	Syae.g_00782	Syaa.g_01466, Syaa.g_00889
OG0000058	Syae.g_01905	Syaa.g_00193
OG0000058	Syae.g_01227	Syaa.g_00455
OG0000059	Syae.g_02074	Syaa.g_02315
OG0000060	Syae.g_02306	Syaa.g_02053
OG0000060	Syae.g_00649	Syaa.g_01007
OG0000061	Syae.g_00921	Syaa.g_00770
OG0000062	Syae.g_01145	Syaa.g_00571
OG0000063	Syae.g_01752	Syaa.g_00042
OG0000064	Syae.g_01137	Syaa.g_00579
OG0000064	Syae.g_01631	Syaa.g_02666
OG0000065	Syae.g_01363	Syaa.g_02380
OG0000066	Syae.g_02386	Syaa.g_01968
OG0000067	Syae.g_00521	Syaa.g_01154
OG0000068	Syae.g_02299	Syaa.g_02059
OG0000069	Syae.g_00458	Syaa.g_01256
OG0000070	Syae.g_00979	Syaa.g_00718
OG0000071	Syae.g_00961	Syaa.g_00735
OG0000072	Syae.g_01455	Syaa.g_02480
OG0000073	Syae.g_02330	Syaa.g_02030
OG0000074	Syae.g_00719	Syaa.g_00372
OG0000075	Syae.g_01871	Syaa.g_00157
OG0000076	Syae.g_01829	Syaa.g_00123
OG0000077	Syae.g_01297	Syaa.g_00341
OG0000078	Syae.g_02243	Syaa.g_02103
OG0000079	Syae.g_02011	Syaa.g_00303
OG0000081	Syae.g_02261	Syaa.g_02089
OG0000082	Syae.g_02447	Syaa.g_01905
OG0000084	Syae.g_00857	Syaa.g_01827, Syaa.g_02302
OG0000084	Syae.g_02656	Syaa.g_01770
OG0000085	Syae.g_01152	Syaa.g_00564
OG0000086	Syae.g_01333	Syaa.g_00324
OG0000087	Syae.g_01414	Syaa.g_02433
OG0000088	Syae.g_01449	Syaa.g_02474
OG0000089	Syae.g_02219	Syaa.g_02149
OG0000090	Syae.g_02374	Syaa.g_01980
OG0000091	Syae.g_00082	Syaa.g_01625
