Orthogroup	Prbg	Prbk
OG0000000	Prbg.g_01222, Prbg.g_01227	Prbk.g_02574
OG0000000	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694	Prbk.g_01649
OG0000002	Prbg.g_00502	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Prbg.g_01524	Prbk.g_00166
OG0000004	Prbg.g_00451	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Prbg.g_01650	Prbk.g_00907
OG0000007	Prbg.g_00744	Prbk.g_01819
OG0000007	Prbg.g_00745	Prbk.g_01820
OG0000009	Prbg.g_01510, Prbg.g_01032	Prbk.g_01004
OG0000011	Prbg.g_00143	Prbk.g_02565
OG0000012	Prbg.g_00324	Prbk.g_01142
OG0000013	Prbg.g_01589, Prbg.g_01635	Prbk.g_02558
OG0000016	Prbg.g_01540	Prbk.g_01746
OG0000016	Prbg.g_00688	Prbk.g_01786
OG0000017	Prbg.g_00612, Prbg.g_01595	Prbk.g_01230
OG0000018	Prbg.g_01024	Prbk.g_02695
OG0000019	Prbg.g_01145	Prbk.g_01137
OG0000020	Prbg.g_00464, Prbg.g_00050	Prbk.g_00405
OG0000024	Prbg.g_00086	Prbk.g_00454
OG0000026	Prbg.g_00730	Prbk.g_01613
OG0000028	Prbg.g_00591	Prbk.g_00259
OG0000031	Prbg.g_00408	Prbk.g_01709
OG0000034	Prbg.g_00816	Prbk.g_00499
OG0000036	Prbg.g_00304	Prbk.g_01122
OG0000037	Prbg.g_00706, Prbg.g_00342	Prbk.g_02610
OG0000038	Prbg.g_00682	Prbk.g_01667, Prbk.g_00212
OG0000039	Prbg.g_00944	Prbk.g_01836, Prbk.g_00773
OG0000040	Prbg.g_00013	Prbk.g_02448
OG0000042	Prbg.g_01151	Prbk.g_01835, Prbk.g_00619
OG0000043	Prbg.g_01251	Prbk.g_01644, Prbk.g_01642
OG0000044	Prbg.g_01486	Prbk.g_01019
OG0000045	Prbg.g_00551	Prbk.g_00479
OG0000046	Prbg.g_01642, Prbg.g_00716	Prbk.g_00919
OG0000047	Prbg.g_01847	Prbk.g_00237
OG0000048	Prbg.g_01855	Prbk.g_00140, Prbk.g_01495
OG0000050	Prbg.g_00842	Prbk.g_01617
OG0000051	Prbg.g_00935	Prbk.g_00764
OG0000052	Prbg.g_00388	Prbk.g_00925
OG0000053	Prbg.g_00256	Prbk.g_01094
OG0000054	Prbg.g_00359	Prbk.g_01468
OG0000055	Prbg.g_01182	Prbk.g_02493
OG0000056	Prbg.g_01542	Prbk.g_00694
OG0000058	Prbg.g_00194	Prbk.g_02113
OG0000059	Prbg.g_01143	Prbk.g_01765
OG0000062	Prbg.g_00749	Prbk.g_02195
OG0000063	Prbg.g_01459	Prbk.g_01496
OG0000065	Prbg.g_00477	Prbk.g_01183
OG0000066	Prbg.g_00549	Prbk.g_00477
OG0000068	Prbg.g_01785	Prbk.g_00796, Prbk.g_00944
OG0000069	Prbg.g_00630	Prbk.g_01209
OG0000071	Prbg.g_00778	Prbk.g_02290
OG0000072	Prbg.g_00100	Prbk.g_00472
OG0000073	Prbg.g_01386	Prbk.g_00709
OG0000074	Prbg.g_01133	Prbk.g_01815
OG0000075	Prbg.g_01166	Prbk.g_02475
OG0000076	Prbg.g_01234	Prbk.g_00056
OG0000078	Prbg.g_00552	Prbk.g_00476
OG0000079	Prbg.g_00676	Prbk.g_00931
OG0000080	Prbg.g_00414	Prbk.g_02012
OG0000081	Prbg.g_01819	Prbk.g_00512
OG0000082	Prbg.g_00419	Prbk.g_02204
OG0000083	Prbg.g_00770	Prbk.g_02281
OG0000084	Prbg.g_00773	Prbk.g_02284
OG0000085	Prbg.g_00851	Prbk.g_01626
OG0000087	Prbg.g_00822	Prbk.g_02126
OG0000088	Prbg.g_00887	Prbk.g_00191
