Orthogroup	Prai	Syag
OG0000001	Prai.g_01235, Prai.g_01356	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prai.g_00724	Syag.g_00988
OG0000004	Prai.g_00243	Syag.g_00370, Syag.g_01790
OG0000005	Prai.g_01651	Syag.g_01708
OG0000005	Prai.g_01538	Syag.g_01667
OG0000006	Prai.g_00252, Prai.g_00254	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prai.g_00527	Syag.g_01507
OG0000007	Prai.g_01638	Syag.g_01687
OG0000008	Prai.g_00701	Syag.g_00496, Syag.g_01017
OG0000009	Prai.g_01578	Syag.g_00220, Syag.g_00231
OG0000009	Prai.g_00105	Syag.g_01883
OG0000010	Prai.g_01292, Prai.g_01067	Syag.g_01355
OG0000012	Prai.g_00652	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Prai.g_00340	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prai.g_00319	Syag.g_02559
OG0000015	Prai.g_01243	Syag.g_02252, Syag.g_00596
OG0000016	Prai.g_00013	Syag.g_02286
OG0000017	Prai.g_00626	Syag.g_00336, Syag.g_00344
OG0000018	Prai.g_01153	Syag.g_01387
OG0000019	Prai.g_00262, Prai.g_00867	Syag.g_02663
OG0000020	Prai.g_01125, Prai.g_01248, Prai.g_00400	Syag.g_00085
OG0000021	Prai.g_00378	Syag.g_00229
OG0000022	Prai.g_01139	Syag.g_00458
OG0000023	Prai.g_00373	Syag.g_00261, Syag.g_00234
OG0000024	Prai.g_00899, Prai.g_00704	Syag.g_00455
OG0000025	Prai.g_00344, Prai.g_00812	Syag.g_00718
OG0000026	Prai.g_00031, Prai.g_01074	Syag.g_02309
OG0000027	Prai.g_00904	Syag.g_00950, Syag.g_00165
OG0000028	Prai.g_01297, Prai.g_00333	Syag.g_02540
OG0000029	Prai.g_00890	Syag.g_00195
OG0000030	Prai.g_01848	Syag.g_02375, Syag.g_02374
OG0000031	Prai.g_01444	Syag.g_02486
OG0000034	Prai.g_01345	Syag.g_01225, Syag.g_01947
OG0000035	Prai.g_01463	Syag.g_01420, Syag.g_01421
OG0000037	Prai.g_00109	Syag.g_00173
OG0000038	Prai.g_01890	Syag.g_02130, Syag.g_02132
OG0000039	Prai.g_00715	Syag.g_01325, Syag.g_02155
OG0000041	Prai.g_01684	Syag.g_01750, Syag.g_00962
OG0000042	Prai.g_01845	Syag.g_01094, Syag.g_02378
OG0000043	Prai.g_00910	Syag.g_00564
OG0000045	Prai.g_00384	Syag.g_00223
OG0000045	Prai.g_01274	Syag.g_00225
OG0000047	Prai.g_00343, Prai.g_00424	Syag.g_00768
OG0000048	Prai.g_00387	Syag.g_02611
OG0000051	Prai.g_00434	Syag.g_01026
OG0000052	Prai.g_00154	Syag.g_02491
OG0000053	Prai.g_01483	Syag.g_01391
OG0000054	Prai.g_00634	Syag.g_00350
OG0000055	Prai.g_00866	Syag.g_01799, Syag.g_00946
OG0000057	Prai.g_00727	Syag.g_00985
OG0000059	Prai.g_01725	Syag.g_02721
OG0000061	Prai.g_01171	Syag.g_01141
OG0000062	Prai.g_01540	Syag.g_01669
OG0000063	Prai.g_00033, Prai.g_01261	Syag.g_02313
OG0000065	Prai.g_00107	Syag.g_01885, Syag.g_00182
OG0000066	Prai.g_00567	Syag.g_01443
OG0000067	Prai.g_00848	Syag.g_00667
OG0000068	Prai.g_01370	Syag.g_01537
OG0000070	Prai.g_00481	Syag.g_00049
OG0000071	Prai.g_01335	Syag.g_01192
OG0000072	Prai.g_00182	Syag.g_01980, Syag.g_02859
OG0000073	Prai.g_00529	Syag.g_01505
OG0000075	Prai.g_01814	Syag.g_02434
OG0000076	Prai.g_01838	Syag.g_02393
OG0000077	Prai.g_00078	Syag.g_01831
OG0000078	Prai.g_00250	Syag.g_01778
OG0000079	Prai.g_00265	Syag.g_02659, Syag.g_02652
OG0000080	Prai.g_01411	Syag.g_02500
OG0000081	Prai.g_00559	Syag.g_00167
OG0000082	Prai.g_00613	Syag.g_00318
OG0000084	Prai.g_01459	Syag.g_00212, Syag.g_01425
OG0000085	Prai.g_01631	Syag.g_01676
OG0000086	Prai.g_00088	Syag.g_01853
OG0000087	Prai.g_00139	Syag.g_01939
OG0000088	Prai.g_00177	Syag.g_01974
OG0000089	Prai.g_00368	Syag.g_00005
OG0000090	Prai.g_00561	Syag.g_01454
OG0000091	Prai.g_00671	Syag.g_00418
OG0000093	Prai.g_01021	Syag.g_00649
OG0000094	Prai.g_00937	Syag.g_00881
OG0000095	Prai.g_00918	Syag.g_00974
OG0000097	Prai.g_01214	Syag.g_01065
OG0000098	Prai.g_01353	Syag.g_00578, Syag.g_01445
OG0000099	Prai.g_01393	Syag.g_02536
OG0000100	Prai.g_01536	Syag.g_00704
OG0000101	Prai.g_01782	Syag.g_02773
OG0000102	Prai.g_01843	Syag.g_02387
OG0000103	Prai.g_01923	Syag.g_02253
OG0000104	Prai.g_01932	Syag.g_02268
OG0000105	Prai.g_00286, Prai.g_00287	Syag.g_02606
OG0000106	Prai.g_00383	Syag.g_00462
OG0000107	Prai.g_00397	Syag.g_02689
OG0000108	Prai.g_00510	Syag.g_01528
OG0000109	Prai.g_00524	Syag.g_01512
OG0000110	Prai.g_00603	Syag.g_00303
OG0000111	Prai.g_00728	Syag.g_00984
OG0000112	Prai.g_00882	Syag.g_00801
OG0000113	Prai.g_00825	Syag.g_00699
OG0000114	Prai.g_01046	Syag.g_00609
OG0000115	Prai.g_01119	Syag.g_01397
OG0000116	Prai.g_01162	Syag.g_01156
OG0000117	Prai.g_01273	Syag.g_01097
OG0000118	Prai.g_01347	Syag.g_01232
OG0000120	Prai.g_01443	Syag.g_02535
OG0000121	Prai.g_01465	Syag.g_01414
OG0000123	Prai.g_01789	Syag.g_02781
OG0000124	Prai.g_01854	Syag.g_02367, Syag.g_02485
