Orthogroup	Syat	Pral
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Pral.g_01236
OG0000005	Syat.g_03105	Pral.g_01075
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Pral.g_00797
OG0000007	Syat.g_03191	Pral.g_00593
OG0000007	Syat.g_03124	Pral.g_00107
OG0000008	Syat.g_02626	Pral.g_00020
OG0000008	Syat.g_02627	Pral.g_00021
OG0000010	Syat.g_01372	Pral.g_01832, Pral.g_01848
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Pral.g_00015
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Pral.g_00712
OG0000014	Syat.g_02104	Pral.g_00732
OG0000014	Syat.g_02250	Pral.g_01261
OG0000015	Syat.g_00775, Syat.g_01677	Pral.g_01813
OG0000018	Syat.g_01334	Pral.g_01346
OG0000019	Syat.g_01876	Pral.g_00790, Pral.g_01344
OG0000021	Syat.g_00964	Pral.g_01667, Pral.g_01738
OG0000024	Syat.g_03394	Pral.g_01895
OG0000025	Syat.g_00719	Pral.g_01523
OG0000026	Syat.g_02306	Pral.g_01012
OG0000027	Syat.g_00850	Pral.g_01036, Pral.g_00039
OG0000028	Syat.g_02126	Pral.g_00053, Pral.g_00719
OG0000030	Syat.g_00307, Syat.g_00308	Pral.g_00316
OG0000032	Syat.g_01354	Pral.g_01121
OG0000034	Syat.g_01165, Syat.g_02902	Pral.g_01271
OG0000035	Syat.g_01227, Syat.g_01226	Pral.g_01161, Pral.g_01165
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Pral.g_00938
OG0000038	Syat.g_02688, Syat.g_02686	Pral.g_00356
OG0000039	Syat.g_01278	Pral.g_01755
OG0000041	Syat.g_00785, Syat.g_03006	Pral.g_00155
OG0000042	Syat.g_00223, Syat.g_02222	Pral.g_00313
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Pral.g_01888
OG0000045	Syat.g_00935	Pral.g_01322
OG0000046	Syat.g_01626, Syat.g_01026	Pral.g_00711
OG0000048	Syat.g_02046	Pral.g_00768
OG0000052	Syat.g_02140	Pral.g_00987
OG0000053	Syat.g_01330	Pral.g_01139, Pral.g_00066
OG0000054	Syat.g_00987, Syat.g_03390	Pral.g_00482
OG0000055	Syat.g_00693	Pral.g_00082
OG0000057	Syat.g_00817, Syat.g_02055	Pral.g_01740
OG0000058	Syat.g_02133, Syat.g_02238	Pral.g_01202
OG0000059	Syat.g_01832	Pral.g_00195
OG0000061	Syat.g_03260	Pral.g_01367
OG0000062	Syat.g_03107	Pral.g_01073
OG0000063	Syat.g_02303	Pral.g_00435
OG0000064	Syat.g_01568	Pral.g_00980
OG0000065	Syat.g_01571	Pral.g_00940
OG0000066	Syat.g_03283	Pral.g_00551
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Pral.g_01488
OG0000068	Syat.g_00085, Syat.g_01295	Pral.g_01222
