Orthogroup	Prbk	Pray
OG0000000	Prbk.g_00165	Pray.g_01603
OG0000000	Prbk.g_00167	Pray.g_00003, Pray.g_01604
OG0000001	Prbk.g_02574	Pray.g_01836
OG0000001	Prbk.g_01649	Pray.g_01085
OG0000002	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630	Pray.g_01844
OG0000003	Prbk.g_02690	Pray.g_01501
OG0000004	Prbk.g_00166	Pray.g_01890, Pray.g_01602
OG0000005	Prbk.g_01701, Prbk.g_00355	Pray.g_00284
OG0000008	Prbk.g_00907	Pray.g_01559
OG0000009	Prbk.g_01337, Prbk.g_02672, Prbk.g_01344, Prbk.g_02680, Prbk.g_02591	Pray.g_01942
OG0000010	Prbk.g_01004	Pray.g_00328, Pray.g_00730
OG0000011	Prbk.g_00833	Pray.g_00853, Pray.g_00296
OG0000013	Prbk.g_01932, Prbk.g_00013	Pray.g_01610, Pray.g_00184
OG0000015	Prbk.g_02565	Pray.g_00897
OG0000015	Prbk.g_01202	Pray.g_00808
OG0000016	Prbk.g_02558	Pray.g_00309
OG0000018	Prbk.g_01142, Prbk.g_01150	Pray.g_01165
OG0000020	Prbk.g_01746, Prbk.g_01786	Pray.g_01833
OG0000022	Prbk.g_02695	Pray.g_00722
OG0000023	Prbk.g_01137	Pray.g_01578, Pray.g_00842
OG0000024	Prbk.g_01737	Pray.g_01898
OG0000025	Prbk.g_01780	Pray.g_00289
OG0000027	Prbk.g_01820	Pray.g_01091
OG0000028	Prbk.g_01819	Pray.g_01931
OG0000031	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215	Pray.g_01371
OG0000032	Prbk.g_01613	Pray.g_01495
OG0000034	Prbk.g_00259	Pray.g_01722
OG0000037	Prbk.g_01709	Pray.g_01894
OG0000038	Prbk.g_00534, Prbk.g_00539	Pray.g_01806
OG0000040	Prbk.g_01851	Pray.g_01897, Pray.g_00884
OG0000041	Prbk.g_02610	Pray.g_01140
OG0000045	Prbk.g_01122	Pray.g_01177
OG0000046	Prbk.g_01667, Prbk.g_00212	Pray.g_00304
OG0000047	Prbk.g_01019	Pray.g_00064
OG0000049	Prbk.g_00479	Pray.g_01786
OG0000050	Prbk.g_01836, Prbk.g_00773	Pray.g_00647
OG0000051	Prbk.g_02448	Pray.g_00838
OG0000053	Prbk.g_01835, Prbk.g_00619	Pray.g_01040
OG0000054	Prbk.g_00919	Pray.g_01566
OG0000055	Prbk.g_00237	Pray.g_01364
OG0000056	Prbk.g_01617	Pray.g_01493
OG0000057	Prbk.g_00764	Pray.g_00638
OG0000058	Prbk.g_00925	Pray.g_00848
OG0000059	Prbk.g_01094	Pray.g_01222
OG0000061	Prbk.g_01468	Pray.g_00299
OG0000062	Prbk.g_02493	Pray.g_00370
OG0000063	Prbk.g_00694	Pray.g_00110
OG0000066	Prbk.g_02113	Pray.g_00965
OG0000067	Prbk.g_01765	Pray.g_01065
OG0000070	Prbk.g_00056	Pray.g_00584
OG0000071	Prbk.g_01496	Pray.g_01927
OG0000072	Prbk.g_01183	Pray.g_01870
OG0000074	Prbk.g_00477	Pray.g_01808
OG0000075	Prbk.g_00796, Prbk.g_00944	Pray.g_01306
OG0000076	Prbk.g_01209, Prbk.g_00480	Pray.g_01782
OG0000077	Prbk.g_02290	Pray.g_01473
OG0000078	Prbk.g_00472	Pray.g_00800
OG0000079	Prbk.g_02209	Pray.g_00861
OG0000080	Prbk.g_00709	Pray.g_01094
OG0000081	Prbk.g_01815	Pray.g_01072
OG0000082	Prbk.g_02475	Pray.g_00355
OG0000084	Prbk.g_02324	Pray.g_00511
OG0000085	Prbk.g_02271	Pray.g_00632
OG0000086	Prbk.g_02195	Pray.g_00097
OG0000090	Prbk.g_00476	Pray.g_01788
OG0000091	Prbk.g_00275	Pray.g_01714
OG0000092	Prbk.g_02012	Pray.g_01595
