Orthogroup	Prao	Prar
OG0000000	Prao.g_01246	Prar.g_00918
OG0000000	Prao.g_00116	Prar.g_01508
OG0000001	Prao.g_01029	Prar.g_01204
OG0000001	Prao.g_01528, Prao.g_01297, Prao.g_01514	Prar.g_00730
OG0000002	Prao.g_01254	Prar.g_00926
OG0000002	Prao.g_01852	Prar.g_01202
OG0000002	Prao.g_01529	Prar.g_01203
OG0000003	Prao.g_01296	Prar.g_00973
OG0000004	Prao.g_00673	Prar.g_01623
OG0000004	Prao.g_00679	Prar.g_01630
OG0000005	Prao.g_01515	Prar.g_00729
OG0000006	Prao.g_00603	Prar.g_01328
OG0000006	Prao.g_01552	Prar.g_01143
OG0000007	Prao.g_00111	Prar.g_01502
OG0000008	Prao.g_00517	Prar.g_00445
OG0000008	Prao.g_01333	Prar.g_01002
OG0000009	Prao.g_00720	Prar.g_01663
OG0000009	Prao.g_00387	Prar.g_00078
OG0000010	Prao.g_01142	Prar.g_01313
OG0000010	Prao.g_01316	Prar.g_00991
OG0000011	Prao.g_00466	Prar.g_00257
OG0000012	Prao.g_00036	Prar.g_01428
OG0000013	Prao.g_00703	Prar.g_01179
OG0000014	Prao.g_00576, Prao.g_01293	Prar.g_00520
OG0000015	Prao.g_00515	Prar.g_00443
OG0000016	Prao.g_01243	Prar.g_00915
OG0000017	Prao.g_01417	Prar.g_00827
OG0000018	Prao.g_00379	Prar.g_00086
OG0000019	Prao.g_00500, Prao.g_01346	Prar.g_00425
OG0000020	Prao.g_00509	Prar.g_00435
OG0000021	Prao.g_00722	Prar.g_01665
OG0000022	Prao.g_01294	Prar.g_00971
OG0000023	Prao.g_01507, Prao.g_01342	Prar.g_00737
OG0000024	Prao.g_01213	Prar.g_00281
OG0000025	Prao.g_01012	Prar.g_01940
OG0000026	Prao.g_00179	Prar.g_00004
OG0000027	Prao.g_00675	Prar.g_01626
OG0000027	Prao.g_01483	Prar.g_00761
OG0000028	Prao.g_01397	Prar.g_00339
OG0000029	Prao.g_01508	Prar.g_00736
OG0000030	Prao.g_00015	Prar.g_00593
OG0000032	Prao.g_01364, Prao.g_01355	Prar.g_00879
OG0000033	Prao.g_00160	Prar.g_00025
OG0000035	Prao.g_00831	Prar.g_01761
OG0000035	Prao.g_01015	Prar.g_01943
OG0000036	Prao.g_00024	Prar.g_01414
OG0000037	Prao.g_00062	Prar.g_01453
OG0000038	Prao.g_00699	Prar.g_01649
OG0000039	Prao.g_00304	Prar.g_00161
OG0000040	Prao.g_00494	Prar.g_00420
OG0000041	Prao.g_00532	Prar.g_00476
OG0000042	Prao.g_00648	Prar.g_01599
OG0000043	Prao.g_00725	Prar.g_01668
OG0000044	Prao.g_01089	Prar.g_01263
OG0000045	Prao.g_01191	Prar.g_00870
OG0000046	Prao.g_01545	Prar.g_01150
OG0000047	Prao.g_01743	Prar.g_00653
OG0000048	Prao.g_01750	Prar.g_00660
OG0000050	Prao.g_00177	Prar.g_00007
OG0000051	Prao.g_00295	Prar.g_00170
OG0000052	Prao.g_00505	Prar.g_00431
OG0000054	Prao.g_00693	Prar.g_01644
OG0000055	Prao.g_00763	Prar.g_01706
OG0000056	Prao.g_01135	Prar.g_01307
OG0000057	Prao.g_00375, Prao.g_01537	Prar.g_00090
OG0000058	Prao.g_00581	Prar.g_00525
OG0000059	Prao.g_00136	Prar.g_01528
OG0000060	Prao.g_00677	Prar.g_01628
OG0000060	Prao.g_01340	Prar.g_01562
OG0000061	Prao.g_01124, Prao.g_00922	Prar.g_01298
OG0000062	Prao.g_01122	Prar.g_01296
OG0000063	Prao.g_01332	Prar.g_01003
OG0000064	Prao.g_01327, Prao.g_01538	Prar.g_00997
OG0000065	Prao.g_01276	Prar.g_00955
OG0000066	Prao.g_01215	Prar.g_00880
OG0000068	Prao.g_01687	Prar.g_01027
OG0000069	Prao.g_01362, Prao.g_01201	Prar.g_00886
OG0000071	Prao.g_00158	Prar.g_00027
OG0000072	Prao.g_00458	Prar.g_00265
OG0000073	Prao.g_00108	Prar.g_01499
OG0000074	Prao.g_00129	Prar.g_01521
OG0000075	Prao.g_00748	Prar.g_01691
OG0000076	Prao.g_00974	Prar.g_01904
OG0000078	Prao.g_01214	Prar.g_00872
OG0000079	Prao.g_01474	Prar.g_00769
OG0000080	Prao.g_01522	Prar.g_01166
OG0000081	Prao.g_01717	Prar.g_00627
OG0000082	Prao.g_01806	Prar.g_00072
OG0000083	Prao.g_01844	Prar.g_00035
OG0000084	Prao.g_01847	Prar.g_00032
OG0000085	Prao.g_00170	Prar.g_00015
OG0000086	Prao.g_00185	Prar.g_00581
OG0000087	Prao.g_00195	Prar.g_00570
OG0000088	Prao.g_00251	Prar.g_00215
OG0000089	Prao.g_00260	Prar.g_00207
OG0000090	Prao.g_00277	Prar.g_00189
OG0000091	Prao.g_00307	Prar.g_00158
OG0000092	Prao.g_00308	Prar.g_00157
OG0000093	Prao.g_00322	Prar.g_00143
OG0000094	Prao.g_00340	Prar.g_00125
OG0000095	Prao.g_00345	Prar.g_00120
OG0000096	Prao.g_00389	Prar.g_00076
OG0000097	Prao.g_01378	Prar.g_00313
OG0000098	Prao.g_00421	Prar.g_00303
OG0000099	Prao.g_00431	Prar.g_00293
OG0000100	Prao.g_00434	Prar.g_01154
OG0000101	Prao.g_00491	Prar.g_00417
OG0000102	Prao.g_00516	Prar.g_00444
OG0000103	Prao.g_00582	Prar.g_00526
OG0000104	Prao.g_00586	Prar.g_00530
OG0000105	Prao.g_00605	Prar.g_01330
OG0000106	Prao.g_01859	Prar.g_01362
OG0000107	Prao.g_01858	Prar.g_01363
OG0000108	Prao.g_01162	Prar.g_01373
OG0000109	Prao.g_01171	Prar.g_01382
OG0000110	Prao.g_01187	Prar.g_01398
OG0000111	Prao.g_00090	Prar.g_01481
OG0000112	Prao.g_00091	Prar.g_01482
OG0000113	Prao.g_00670	Prar.g_01621
OG0000114	Prao.g_00739	Prar.g_01682
OG0000115	Prao.g_00902	Prar.g_01833
OG0000116	Prao.g_00906	Prar.g_01837
OG0000117	Prao.g_00971	Prar.g_01901
OG0000118	Prao.g_01025	Prar.g_01953
OG0000119	Prao.g_01119	Prar.g_01293
OG0000120	Prao.g_01083	Prar.g_01257
OG0000121	Prao.g_01064	Prar.g_01238
OG0000122	Prao.g_01045	Prar.g_01219
OG0000123	Prao.g_01032	Prar.g_01206
OG0000124	Prao.g_00014	Prar.g_00376
OG0000125	Prao.g_01264	Prar.g_00943
OG0000126	Prao.g_01239	Prar.g_00911
OG0000127	Prao.g_01384	Prar.g_00352
OG0000128	Prao.g_01398	Prar.g_00338
OG0000129	Prao.g_01433	Prar.g_00810
OG0000130	Prao.g_01550	Prar.g_01145
OG0000131	Prao.g_01588	Prar.g_01959
OG0000132	Prao.g_01591	Prar.g_00595
OG0000133	Prao.g_01646	Prar.g_01068
OG0000134	Prao.g_01682	Prar.g_01032
OG0000135	Prao.g_01684	Prar.g_01030
OG0000136	Prao.g_01728	Prar.g_00638
OG0000137	Prao.g_01760	Prar.g_00669
OG0000138	Prao.g_01796	Prar.g_00704
OG0000139	Prao.g_01823	Prar.g_00055
OG0000140	Prao.g_01842	Prar.g_00037
OG0000141	Prao.g_01843	Prar.g_00036
OG0000142	Prao.g_01845	Prar.g_00034
OG0000143	Prao.g_01846	Prar.g_00033
OG0000144	Prao.g_01848	Prar.g_00031
OG0000145	Prao.g_01849	Prar.g_00030
OG0000146	Prao.g_01850	Prar.g_00029
OG0000147	Prao.g_00157	Prar.g_00028
OG0000148	Prao.g_00159	Prar.g_00026
OG0000149	Prao.g_00161	Prar.g_00024
OG0000150	Prao.g_00162	Prar.g_00023
OG0000151	Prao.g_00163	Prar.g_00022
OG0000152	Prao.g_00164	Prar.g_00021
OG0000153	Prao.g_00165	Prar.g_00020
OG0000154	Prao.g_00166	Prar.g_00019
OG0000155	Prao.g_00167	Prar.g_00018
OG0000156	Prao.g_00168	Prar.g_00017
OG0000157	Prao.g_00169	Prar.g_00016
OG0000158	Prao.g_00171	Prar.g_00014
OG0000159	Prao.g_00172	Prar.g_00013
OG0000160	Prao.g_00173	Prar.g_00012
OG0000161	Prao.g_00174	Prar.g_00011
OG0000162	Prao.g_00175	Prar.g_00010
OG0000163	Prao.g_00176	Prar.g_00009
OG0000164	Prao.g_00178	Prar.g_00006
OG0000165	Prao.g_00181	Prar.g_00002
OG0000166	Prao.g_00182	Prar.g_00001
OG0000167	Prao.g_00183	Prar.g_00594
OG0000168	Prao.g_00186	Prar.g_00580
OG0000169	Prao.g_00188	Prar.g_00578
OG0000170	Prao.g_00189	Prar.g_00577
OG0000171	Prao.g_00190	Prar.g_00576
OG0000172	Prao.g_00191	Prar.g_00574
OG0000173	Prao.g_00192	Prar.g_00573
OG0000174	Prao.g_00193	Prar.g_00572
OG0000175	Prao.g_00194	Prar.g_00571
OG0000176	Prao.g_00196	Prar.g_00569
OG0000177	Prao.g_00197	Prar.g_00568
OG0000178	Prao.g_00198	Prar.g_00567
OG0000179	Prao.g_00203	Prar.g_00554
OG0000180	Prao.g_00204	Prar.g_00553
OG0000181	Prao.g_00205	Prar.g_00552
OG0000182	Prao.g_00208	Prar.g_00549
OG0000183	Prao.g_00209	Prar.g_00548
OG0000184	Prao.g_00212	Prar.g_00255
OG0000185	Prao.g_00216	Prar.g_00251
OG0000186	Prao.g_00217	Prar.g_00250
OG0000187	Prao.g_00218	Prar.g_00249
OG0000188	Prao.g_00219	Prar.g_00248
OG0000189	Prao.g_00220	Prar.g_00247
OG0000190	Prao.g_00221	Prar.g_00246
OG0000191	Prao.g_00222	Prar.g_00245
OG0000192	Prao.g_00223	Prar.g_00244
OG0000193	Prao.g_00224	Prar.g_00243
OG0000194	Prao.g_00225	Prar.g_00242
OG0000195	Prao.g_00227	Prar.g_00240
OG0000196	Prao.g_00228	Prar.g_00239
OG0000197	Prao.g_00229	Prar.g_00238
OG0000198	Prao.g_00230	Prar.g_00237
OG0000199	Prao.g_00233	Prar.g_00234
OG0000200	Prao.g_00234	Prar.g_00233
OG0000201	Prao.g_00235	Prar.g_00232
OG0000202	Prao.g_00236	Prar.g_00231
OG0000203	Prao.g_00237	Prar.g_00230
OG0000204	Prao.g_00238	Prar.g_00229
OG0000205	Prao.g_00239	Prar.g_00228
OG0000206	Prao.g_00240	Prar.g_00227
OG0000207	Prao.g_00241	Prar.g_00226
OG0000208	Prao.g_00242	Prar.g_00225
OG0000209	Prao.g_00243	Prar.g_00224
OG0000210	Prao.g_00244	Prar.g_00222
OG0000211	Prao.g_00245	Prar.g_00221
OG0000212	Prao.g_00246	Prar.g_00220
OG0000213	Prao.g_00247	Prar.g_00219
OG0000214	Prao.g_00249	Prar.g_00217
OG0000215	Prao.g_00250	Prar.g_00216
OG0000216	Prao.g_00252	Prar.g_00214
OG0000217	Prao.g_00254	Prar.g_00213
OG0000218	Prao.g_00255	Prar.g_00212
OG0000219	Prao.g_00256	Prar.g_00211
OG0000220	Prao.g_00259	Prar.g_00208
OG0000221	Prao.g_00261	Prar.g_00206
OG0000222	Prao.g_00262	Prar.g_00205
OG0000223	Prao.g_00263	Prar.g_00204
OG0000224	Prao.g_00266	Prar.g_00201
OG0000225	Prao.g_00268	Prar.g_00199
OG0000226	Prao.g_00269	Prar.g_00198
OG0000227	Prao.g_00270	Prar.g_00197
OG0000228	Prao.g_00271	Prar.g_00196
OG0000229	Prao.g_00272	Prar.g_00195
OG0000230	Prao.g_00273	Prar.g_00194
OG0000231	Prao.g_00274	Prar.g_00192
OG0000232	Prao.g_00275	Prar.g_00191
OG0000233	Prao.g_00278	Prar.g_00188
OG0000234	Prao.g_00280	Prar.g_00186
OG0000235	Prao.g_00283	Prar.g_00182
OG0000236	Prao.g_00284	Prar.g_00181
OG0000237	Prao.g_00285	Prar.g_00180
OG0000238	Prao.g_00286	Prar.g_00179
OG0000239	Prao.g_00287	Prar.g_00178
OG0000240	Prao.g_00289	Prar.g_00176
OG0000241	Prao.g_00290	Prar.g_00175
OG0000242	Prao.g_00291	Prar.g_00174
OG0000243	Prao.g_00292	Prar.g_00173
OG0000244	Prao.g_00293	Prar.g_00172
OG0000245	Prao.g_00294	Prar.g_00171
OG0000246	Prao.g_00296	Prar.g_00169
OG0000247	Prao.g_00297	Prar.g_00168
OG0000248	Prao.g_00298	Prar.g_00167
OG0000249	Prao.g_00299	Prar.g_00166
OG0000250	Prao.g_00300	Prar.g_00165
OG0000251	Prao.g_00301	Prar.g_00164
OG0000252	Prao.g_00302	Prar.g_00163
OG0000253	Prao.g_00303	Prar.g_00162
OG0000254	Prao.g_00305	Prar.g_00160
OG0000255	Prao.g_00306	Prar.g_00159
OG0000256	Prao.g_00309	Prar.g_00156
OG0000257	Prao.g_00311	Prar.g_00154
OG0000258	Prao.g_00312	Prar.g_00153
OG0000259	Prao.g_00313	Prar.g_00152
OG0000260	Prao.g_00314	Prar.g_00151
OG0000261	Prao.g_00315	Prar.g_00150
OG0000262	Prao.g_00316	Prar.g_00149
OG0000263	Prao.g_00317	Prar.g_00148
OG0000264	Prao.g_00319	Prar.g_00146
OG0000265	Prao.g_00320	Prar.g_00145
OG0000266	Prao.g_00321	Prar.g_00144
OG0000267	Prao.g_00323	Prar.g_00142
OG0000268	Prao.g_00324	Prar.g_00141
OG0000269	Prao.g_00325	Prar.g_00140
OG0000270	Prao.g_00326	Prar.g_00139
OG0000271	Prao.g_00327	Prar.g_00138
OG0000272	Prao.g_00328	Prar.g_00137
OG0000273	Prao.g_00329	Prar.g_00136
OG0000274	Prao.g_00330	Prar.g_00135
OG0000275	Prao.g_00331	Prar.g_00134
OG0000276	Prao.g_00332	Prar.g_00133
OG0000277	Prao.g_00333	Prar.g_00132
