Orthogroup	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
OG0004349	Praa.g_00059																																							
OG0004350	Praa.g_00542																																							
OG0004351	Praa.g_00709																																							
OG0004352	Praa.g_01334																																							
OG0004353	Praa.g_01335																																							
OG0004354	Praa.g_01337																																							
OG0004355	Praa.g_01338																																							
OG0004356	Praa.g_01344																																							
OG0004357	Praa.g_01345																																							
OG0004358	Praa.g_01346																																							
OG0004359	Praa.g_01401																																							
OG0004360	Praa.g_01402																																							
OG0004361	Praa.g_01406																																							
OG0004362	Praa.g_01413																																							
OG0004363	Praa.g_01418																																							
OG0004364	Praa.g_01419																																							
OG0004365	Praa.g_01431																																							
OG0004366	Praa.g_01433																																							
OG0004367	Praa.g_01445																																							
OG0004368	Praa.g_01540																																							
OG0004369	Praa.g_01664																																							
OG0004370		Prab.g_00349																																						
OG0004371		Prab.g_00628																																						
OG0004372			Prac.g_00662																																					
OG0004373			Prac.g_00774																																					
OG0004374			Prac.g_01087																																					
OG0004375			Prac.g_01877																																					
OG0004376			Prac.g_01968																																					
OG0004377				Prad.g_00071																																				
OG0004378				Prad.g_00083																																				
OG0004379				Prad.g_00086																																				
OG0004380				Prad.g_00311																																				
OG0004381				Prad.g_00314																																				
OG0004382				Prad.g_00355																																				
OG0004383				Prad.g_00495																																				
OG0004384				Prad.g_00538																																				
OG0004385				Prad.g_00539																																				
OG0004386				Prad.g_00549																																				
OG0004387				Prad.g_00550																																				
OG0004388				Prad.g_00552																																				
OG0004389				Prad.g_00554																																				
OG0004390				Prad.g_00556																																				
OG0004391				Prad.g_00557																																				
OG0004392				Prad.g_00559																																				
OG0004393				Prad.g_00568																																				
OG0004394				Prad.g_00569																																				
OG0004395				Prad.g_00632																																				
OG0004396				Prad.g_00954																																				
OG0004397				Prad.g_01028																																				
OG0004398				Prad.g_01208																																				
OG0004399				Prad.g_01296																																				
OG0004400				Prad.g_01321																																				
OG0004401				Prad.g_01328																																				
OG0004402				Prad.g_01942																																				
OG0004403				Prad.g_01984																																				
OG0004404				Prad.g_01986																																				
OG0004405					Prae.g_00057																																			
OG0004406					Prae.g_00144																																			
OG0004407					Prae.g_00507																																			
OG0004408					Prae.g_00682																																			
OG0004409					Prae.g_00702																																			
OG0004410					Prae.g_00704																																			
OG0004411					Prae.g_00705																																			
OG0004412					Prae.g_00706																																			
OG0004413					Prae.g_00707																																			
OG0004414					Prae.g_01226																																			
OG0004415					Prae.g_01302																																			
OG0004416					Prae.g_01303																																			
OG0004417					Prae.g_01304																																			
OG0004418					Prae.g_01305																																			
OG0004419					Prae.g_01307																																			
OG0004420					Prae.g_01395																																			
OG0004421					Prae.g_01397																																			
OG0004422					Prae.g_01408																																			
OG0004423					Prae.g_01411																																			
OG0004424					Prae.g_01413																																			
OG0004425					Prae.g_01414																																			
OG0004426					Prae.g_01415																																			
OG0004427					Prae.g_01428																																			
OG0004428					Prae.g_01429																																			
OG0004429					Prae.g_01430																																			
OG0004430					Prae.g_01431																																			
OG0004431					Prae.g_01432																																			
OG0004432					Prae.g_01607																																			
OG0004433					Prae.g_01610																																			
OG0004434					Prae.g_01611																																			
OG0004435					Prae.g_01613																																			
OG0004436					Prae.g_01763																																			
OG0004437						Praf.g_00049																																		
OG0004438						Praf.g_00066																																		
OG0004439						Praf.g_00078																																		
OG0004440						Praf.g_00079																																		
OG0004441						Praf.g_00105																																		
OG0004442						Praf.g_00122																																		
OG0004443						Praf.g_00125																																		
OG0004444						Praf.g_00128																																		
OG0004445						Praf.g_00129																																		
OG0004446						Praf.g_00133																																		
OG0004447						Praf.g_00147																																		
OG0004448						Praf.g_00148																																		
OG0004449						Praf.g_00149																																		
OG0004450						Praf.g_00151																																		
OG0004451						Praf.g_00197																																		
OG0004452						Praf.g_00198																																		
OG0004453						Praf.g_00202																																		
OG0004454						Praf.g_00204																																		
OG0004455						Praf.g_00211																																		
OG0004456						Praf.g_00235																																		
OG0004457						Praf.g_00236																																		
OG0004458						Praf.g_00237																																		
OG0004459						Praf.g_00271																																		
OG0004460						Praf.g_00272																																		
OG0004461						Praf.g_00273																																		
OG0004462						Praf.g_00274																																		
OG0004463						Praf.g_00281																																		
OG0004464						Praf.g_00283																																		
OG0004465						Praf.g_00288																																		
OG0004466						Praf.g_00289																																		
OG0004467						Praf.g_00323																																		
OG0004468						Praf.g_00330																																		
OG0004469						Praf.g_00338																																		
OG0004470						Praf.g_00352																																		
OG0004471						Praf.g_00354																																		
OG0004472						Praf.g_00357																																		
OG0004473						Praf.g_00361																																		
OG0004474						Praf.g_00362																																		
OG0004475						Praf.g_00367																																		
OG0004476						Praf.g_00384																																		
OG0004477						Praf.g_00398																																		
OG0004478						Praf.g_00505																																		
OG0004479						Praf.g_00514																																		
OG0004480						Praf.g_00544																																		
OG0004481						Praf.g_00553																																		
OG0004482						Praf.g_00557																																		
OG0004483						Praf.g_00560																																		
OG0004484						Praf.g_00584																																		
OG0004485						Praf.g_00591																																		
OG0004486						Praf.g_00620																																		
OG0004487						Praf.g_00633																																		
OG0004488						Praf.g_00654																																		
OG0004489						Praf.g_00727																																		
OG0004490						Praf.g_00780																																		
OG0004491						Praf.g_00781																																		
OG0004492						Praf.g_00795																																		
OG0004493						Praf.g_00811																																		
OG0004494						Praf.g_00812																																		
OG0004495						Praf.g_00821																																		
OG0004496						Praf.g_00837																																		
OG0004497						Praf.g_00838																																		
OG0004498						Praf.g_00840																																		
OG0004499						Praf.g_00841																																		
OG0004500						Praf.g_00842																																		
OG0004501						Praf.g_00843																																		
OG0004502						Praf.g_00844																																		
OG0004503						Praf.g_00846																																		
OG0004504						Praf.g_00847																																		
OG0004505						Praf.g_00849																																		
OG0004506						Praf.g_00851																																		
OG0004507						Praf.g_00952																																		
OG0004508						Praf.g_00964																																		
OG0004509						Praf.g_00974																																		
OG0004510						Praf.g_00975																																		
OG0004511						Praf.g_00980																																		
OG0004512						Praf.g_00983																																		
OG0004513						Praf.g_00990																																		
OG0004514						Praf.g_01000																																		
OG0004515						Praf.g_01009																																		
OG0004516						Praf.g_01010																																		
OG0004517						Praf.g_01011																																		
OG0004518						Praf.g_01013																																		
OG0004519						Praf.g_01021																																		
OG0004520						Praf.g_01023																																		
OG0004521						Praf.g_01041																																		
OG0004522						Praf.g_01044																																		
OG0004523						Praf.g_01052																																		
OG0004524						Praf.g_01055																																		
