Orthogroup	Prar	Praj
OG0000000	Prar.g_00918	Praj.g_00832
OG0000000	Prar.g_01508	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492
OG0000001	Prar.g_00730	Praj.g_01100, Praj.g_01080, Praj.g_01307, Praj.g_01359, Praj.g_01732, Praj.g_01267, Praj.g_00087
OG0000002	Prar.g_00926	Praj.g_01549
OG0000002	Prar.g_01202, Prar.g_01203	Praj.g_00463, Praj.g_01861
OG0000003	Prar.g_00973	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737
OG0000004	Prar.g_01623, Prar.g_01630	Praj.g_01121, Praj.g_00411, Praj.g_01222
OG0000005	Prar.g_00713	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000006	Prar.g_01328	Praj.g_00489
OG0000006	Prar.g_01143	Praj.g_01768
OG0000007	Prar.g_01185	Praj.g_01829
OG0000009	Prar.g_01663	Praj.g_00747
OG0000010	Prar.g_01006, Prar.g_01313, Prar.g_00991	Praj.g_01249
OG0000011	Prar.g_00468	Praj.g_00408
OG0000011	Prar.g_00257	Praj.g_00370
OG0000012	Prar.g_01428	Praj.g_00585, Praj.g_00592
OG0000013	Prar.g_01179	Praj.g_01113
OG0000014	Prar.g_00520	Praj.g_01331
OG0000015	Prar.g_00443	Praj.g_01148
OG0000016	Prar.g_00915	Praj.g_01568
OG0000017	Prar.g_00827, Prar.g_00589	Praj.g_01651
OG0000018	Prar.g_00086	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000019	Prar.g_00425	Praj.g_00084
OG0000020	Prar.g_00435	Praj.g_00308
OG0000021	Prar.g_01665	Praj.g_01316, Praj.g_01051, Praj.g_01335, Praj.g_00976, Praj.g_00975
OG0000022	Prar.g_00971	Praj.g_01076, Praj.g_00419, Praj.g_01356, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000024	Prar.g_00281	Praj.g_00341, Praj.g_01609
OG0000025	Prar.g_01940	Praj.g_00099, Praj.g_01398
OG0000026	Prar.g_00005, Prar.g_00004, Prar.g_01189	Praj.g_01867
OG0000027	Prar.g_00761	Praj.g_01084, Praj.g_01070
OG0000028	Prar.g_00339	Praj.g_01632
OG0000029	Prar.g_00736, Prar.g_01170	Praj.g_01276, Praj.g_01675
OG0000030	Prar.g_00593	Praj.g_01595, Praj.g_01902
OG0000032	Prar.g_00879	Praj.g_00371
OG0000033	Prar.g_00025	Praj.g_00013, Praj.g_01865
OG0000035	Prar.g_01761	Praj.g_01395
OG0000036	Prar.g_01414	Praj.g_01827
OG0000037	Prar.g_01453	Praj.g_01066
OG0000038	Prar.g_01649	Praj.g_01189
OG0000039	Prar.g_00161	Praj.g_00206
OG0000040	Prar.g_00420	Praj.g_01365, Praj.g_01329
OG0000041	Prar.g_00476	Praj.g_01242
OG0000042	Prar.g_01599	Praj.g_00698
OG0000043	Prar.g_01668	Praj.g_00909
