Orthogroup	Prbc	Pram
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165	Pram.g_01511
OG0000000	Prbc.g_00106, Prbc.g_00608	Pram.g_01556
OG0000000	Prbc.g_02167, Prbc.g_00808, Prbc.g_00618	Pram.g_01512
OG0000001	Prbc.g_01920	Pram.g_00873
OG0000001	Prbc.g_01759	Pram.g_00768
OG0000001	Prbc.g_01478	Pram.g_01278
OG0000001	Prbc.g_01475	Pram.g_01170
OG0000001	Prbc.g_01474	Pram.g_01471, Pram.g_01168
OG0000001	Prbc.g_01479, Prbc.g_01473	Pram.g_01174
OG0000002	Prbc.g_00925, Prbc.g_01530	Pram.g_00719
OG0000002	Prbc.g_00588	Pram.g_01953, Pram.g_01954
OG0000004	Prbc.g_00609, Prbc.g_00812	Pram.g_01513, Pram.g_01176
OG0000005	Prbc.g_01233, Prbc.g_02193, Prbc.g_01823	Pram.g_01207
OG0000006	Prbc.g_01323	Pram.g_01505, Pram.g_00621
OG0000008	Prbc.g_01556	Pram.g_00433
OG0000008	Prbc.g_00832	Pram.g_01632
OG0000009	Prbc.g_01108	Pram.g_00602
OG0000009	Prbc.g_00011	Pram.g_01611
OG0000010	Prbc.g_01832, Prbc.g_01836	Pram.g_01164
OG0000013	Prbc.g_01344	Pram.g_00390
OG0000014	Prbc.g_01198	Pram.g_00295
OG0000015	Prbc.g_01273	Pram.g_00359
OG0000016	Prbc.g_00599	Pram.g_01545, Pram.g_00696
OG0000018	Prbc.g_01674	Pram.g_00535
OG0000019	Prbc.g_00037, Prbc.g_00013	Pram.g_00662
OG0000019	Prbc.g_00125	Pram.g_00618
OG0000020	Prbc.g_00650	Pram.g_01283
OG0000021	Prbc.g_00728	Pram.g_01357, Pram.g_01580
OG0000022	Prbc.g_02202	Pram.g_00229
OG0000023	Prbc.g_02189	Pram.g_00794
OG0000024	Prbc.g_00143	Pram.g_00629
OG0000024	Prbc.g_00118, Prbc.g_00129	Pram.g_01186
OG0000025	Prbc.g_01755	Pram.g_01004, Pram.g_00765
OG0000026	Prbc.g_02163, Prbc.g_00103	Pram.g_01561
OG0000027	Prbc.g_00894	Pram.g_01262
OG0000028	Prbc.g_00893	Pram.g_01263
OG0000029	Prbc.g_01822	Pram.g_01189
