Orthogroup	Syae	Prah
OG0000001	Syae.g_01416	Prah.g_01159
OG0000001	Syae.g_01417	Prah.g_02270
OG0000004	Syae.g_00779	Prah.g_01022
OG0000004	Syae.g_00042, Syae.g_02231	Prah.g_01413
OG0000005	Syae.g_01143	Prah.g_01652
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prah.g_00475, Prah.g_01767
OG0000007	Syae.g_02328	Prah.g_01546
OG0000007	Syae.g_01163	Prah.g_01676
OG0000008	Syae.g_00753	Prah.g_00970
OG0000008	Syae.g_00752	Prah.g_00969
OG0000009	Syae.g_00100, Syae.g_01361	Prah.g_00432, Prah.g_01895
OG0000010	Syae.g_02529	Prah.g_00311
OG0000011	Syae.g_00268	Prah.g_01084
OG0000012	Syae.g_00049	Prah.g_00524
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prah.g_01956
OG0000014	Syae.g_01930	Prah.g_02171
OG0000015	Syae.g_01693, Syae.g_00590	Prah.g_01155, Prah.g_00576
OG0000016	Syae.g_01726	Prah.g_00015
OG0000016	Syae.g_00681	Prah.g_01270
OG0000017	Syae.g_02469	Prah.g_01397
OG0000018	Syae.g_02625	Prah.g_00378
OG0000019	Syae.g_02015	Prah.g_02086
OG0000021	Syae.g_00481	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syae.g_00144	Prah.g_01209
OG0000023	Syae.g_00439, Syae.g_00930	Prah.g_00688
OG0000025	Syae.g_00833	Prah.g_00604
OG0000026	Syae.g_01748	Prah.g_00038
OG0000028	Syae.g_01916	Prah.g_02184
OG0000029	Syae.g_00136	Prah.g_01972
OG0000030	Syae.g_01817	Prah.g_00132
OG0000030	Syae.g_01816	Prah.g_00131
OG0000031	Syae.g_01911	Prah.g_02248
OG0000032	Syae.g_02607	Prah.g_00358
OG0000033	Syae.g_01453	Prah.g_02307
OG0000034	Syae.g_00975, Syae.g_01424	Prah.g_01376
OG0000035	Syae.g_02653	Prah.g_00408
OG0000037	Syae.g_01367	Prah.g_01901
OG0000038	Syae.g_01571	Prah.g_02494
OG0000039	Syae.g_02495	Prah.g_02382
OG0000041	Syae.g_01042, Syae.g_00802	Prah.g_01737
OG0000042	Syae.g_01821	Prah.g_00135, Prah.g_01256
OG0000044	Syae.g_00098	Prah.g_00994, Prah.g_00343
OG0000045	Syae.g_00732	Prah.g_01837
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prah.g_01955
OG0000047	Syae.g_02184	Prah.g_00353, Prah.g_00321, Prah.g_00322
OG0000048	Syae.g_01982	Prah.g_02122
OG0000050	Syae.g_01023	Prah.g_01120
OG0000052	Syae.g_01886	Prah.g_02219
OG0000053	Syae.g_02629	Prah.g_00381
OG0000054	Syae.g_00014, Syae.g_00221	Prah.g_01394
OG0000055	Syae.g_00817	Prah.g_00942
OG0000057	Syae.g_00782	Prah.g_01027
OG0000058	Syae.g_01905, Syae.g_01227	Prah.g_02195
OG0000059	Syae.g_02074	Prah.g_02043
OG0000060	Syae.g_02306	Prah.g_01569
OG0000060	Syae.g_00649	Prah.g_01156
OG0000061	Syae.g_00921	Prah.g_01322
OG0000062	Syae.g_01145	Prah.g_01654
OG0000063	Syae.g_01752	Prah.g_00042
OG0000066	Syae.g_02386	Prah.g_01485
OG0000067	Syae.g_00521	Prah.g_00667, Prah.g_01826
OG0000068	Syae.g_02299	Prah.g_01576
OG0000070	Syae.g_00979	Prah.g_00252
OG0000071	Syae.g_00961	Prah.g_01364
OG0000072	Syae.g_01455	Prah.g_02309
OG0000073	Syae.g_02330	Prah.g_01544
OG0000075	Syae.g_01871	Prah.g_02232
OG0000076	Syae.g_01829	Prah.g_00150
OG0000077	Syae.g_01297	Prah.g_01850
OG0000078	Syae.g_02243	Prah.g_01773
OG0000082	Syae.g_02447	Prah.g_01427
OG0000084	Syae.g_00857, Syae.g_02656	Prah.g_00412
OG0000085	Syae.g_01152	Prah.g_01666
OG0000086	Syae.g_01333	Prah.g_01866
OG0000087	Syae.g_01414	Prah.g_02268
OG0000088	Syae.g_01449	Prah.g_02304, Prah.g_00957
OG0000089	Syae.g_02219	Prah.g_00205
OG0000090	Syae.g_02374	Prah.g_01501
OG0000091	Syae.g_00082	Prah.g_00493
OG0000093	Syae.g_00537	Prah.g_00692
OG0000094	Syae.g_00430	Prah.g_02518
OG0000095	Syae.g_00793	Prah.g_00915
OG0000097	Syae.g_00683	Prah.g_01272
OG0000098	Syae.g_02384, Syae.g_02058	Prah.g_00327
OG0000099	Syae.g_01913	Prah.g_02191
OG0000100	Syae.g_00489	Prah.g_01791, Prah.g_00636
OG0000101	Syae.g_02125	Prah.g_01995
OG0000102	Syae.g_01824	Prah.g_00144
OG0000103	Syae.g_01694	Prah.g_02586
OG0000104	Syae.g_01708	Prah.g_02600
OG0000105	Syae.g_01977	Prah.g_02126
OG0000106	Syae.g_00272	Prah.g_01660
OG0000107	Syae.g_02032	Prah.g_02072
OG0000108	Syae.g_02309	Prah.g_01566
OG0000109	Syae.g_02324	Prah.g_01550
OG0000110	Syae.g_02435	Prah.g_01439
OG0000111	Syae.g_00783	Prah.g_01028
OG0000112	Syae.g_00351	Prah.g_00788
OG0000113	Syae.g_00494	Prah.g_00641
OG0000114	Syae.g_00575	Prah.g_00733
OG0000115	Syae.g_02631	Prah.g_00383
OG0000116	Syae.g_00939	Prah.g_01337
