locus_tag	ftype	length_bp	gene	EC_number	COG	product
Syae.g_00001	gene	138				
Syae.g_00001	CDS	138				hypothetical protein
Syae.g_00002	gene	225				
Syae.g_00002	CDS	225				hypothetical protein
Syae.g_00003	gene	5370				
Syae.g_00003	CDS	5370				hypothetical protein
Syae.g_00004	gene	2205				
Syae.g_00004	CDS	2205				hypothetical protein
Syae.g_00005	gene	26292				
Syae.g_00005	CDS	26292				hypothetical protein
Syae.g_00006	gene	783				
Syae.g_00006	CDS	783				hypothetical protein
Syae.g_00007	gene	627				
Syae.g_00007	CDS	627				hypothetical protein
Syae.g_00008	gene	1875	ftsH4			
Syae.g_00008	CDS	1875	ftsH4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
Syae.g_00009	gene	948	argF			
Syae.g_00009	CDS	948	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
Syae.g_00010	gene	678	lexA			
Syae.g_00010	CDS	678	lexA			Transcription regulator LexA
Syae.g_00011	gene	73				
Syae.g_00011	tRNA	73				tRNA-Ala(ggc)
Syae.g_00012	gene	162				
Syae.g_00012	CDS	162				hypothetical protein
Syae.g_00013	gene	189				
Syae.g_00013	CDS	189				hypothetical protein
Syae.g_00014	gene	228				
Syae.g_00014	CDS	228				hypothetical protein
Syae.g_00015	gene	426				
Syae.g_00015	CDS	426				hypothetical protein
Syae.g_00016	gene	408	yabJ			
Syae.g_00016	CDS	408	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
Syae.g_00017	gene	1164	btuD_1			
Syae.g_00017	CDS	1164	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
Syae.g_00018	gene	750	gloB			
Syae.g_00018	CDS	750	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
Syae.g_00019	gene	651	hisG			
Syae.g_00019	CDS	651	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
Syae.g_00020	gene	1779	yheH			
Syae.g_00020	CDS	1779	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
Syae.g_00021	gene	504				
Syae.g_00021	CDS	504				hypothetical protein
Syae.g_00022	gene	672				
Syae.g_00022	CDS	672				hypothetical protein
Syae.g_00023	gene	651				
Syae.g_00023	CDS	651				hypothetical protein
Syae.g_00024	gene	1128	hhoB			
Syae.g_00024	CDS	1128	hhoB			Putative serine protease HhoB
