Orthogroup	Prbd	Other
OG0000001	Prbd.g_01930	Prab.g_01279, Prab.g_01281
OG0000076	Prbd.g_01335	Syao.g_01251
OG0000092	Prbd.g_01193	Prbc.g_01110, Prbc.g_00263
OG0000099	Prbd.g_01734	Syai.g_00151
OG0000117	Prbd.g_01895	Pral.g_01881
