Orthogroup	Syac	Prbn
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prbn.g_01213
OG0000002	Syac.g_01084	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Syac.g_00898	Prbn.g_01565
OG0000004	Syac.g_00948, Syac.g_01975	Prbn.g_00318
OG0000005	Syac.g_00569	Prbn.g_00899
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prbn.g_00308
OG0000007	Syac.g_01885	Prbn.g_00617
OG0000007	Syac.g_00544	Prbn.g_01745
OG0000008	Syac.g_00921	Prbn.g_01645
OG0000008	Syac.g_00922	Prbn.g_01646
OG0000010	Syac.g_01701	Prbn.g_01939, Prbn.g_01357
OG0000012	Syac.g_00955	Prbn.g_00492
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prbn.g_00092
OG0000014	Syac.g_00253	Prbn.g_00074
OG0000015	Syac.g_01408	Prbn.g_01684, Prbn.g_01730
OG0000016	Syac.g_01505, Syac.g_01053	Prbn.g_01131
OG0000017	Syac.g_01749	Prbn.g_00517
OG0000017	Syac.g_01742	Prbn.g_00510
OG0000018	Syac.g_01660	Prbn.g_01167
OG0000019	Syac.g_02207	Prbn.g_00015, Prbn.g_01165
OG0000023	Syac.g_00760	Prbn.g_01030
OG0000024	Syac.g_00925	Prbn.g_01353, Prbn.g_01589
OG0000025	Syac.g_00847	Prbn.g_01510
OG0000026	Syac.g_00034	Prbn.g_00750
OG0000027	Syac.g_01095, Syac.g_01009	Prbn.g_00139, Prbn.g_01664
OG0000028	Syac.g_00237	Prbn.g_01644
OG0000029	Syac.g_01942	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836
OG0000030	Syac.g_00143, Syac.g_00142	Prbn.g_00985
OG0000031	Syac.g_00232	Prbn.g_00171
OG0000032	Syac.g_01677	Prbn.g_00251
OG0000033	Syac.g_00304	Prbn.g_00178
OG0000034	Syac.g_00334, Syac.g_00715	Prbn.g_01073
OG0000035	Syac.g_01630	Prbn.g_00212
OG0000037	Syac.g_01077	Prbn.g_01310
OG0000038	Syac.g_02357, Syac.g_02358	Prbn.g_00946
OG0000039	Syac.g_00856, Syac.g_02378	Prbn.g_01577
OG0000041	Syac.g_00655, Syac.g_00876	Prbn.g_01793
OG0000042	Syac.g_00146	Prbn.g_00988
OG0000043	Syac.g_00808, Syac.g_01100	Prbn.g_01168
OG0000046	Syac.g_02055, Syac.g_02047, Syac.g_02063	Prbn.g_00093
OG0000047	Syac.g_02031	Prbn.g_00690
OG0000048	Syac.g_02240	Prbn.g_01097
OG0000052	Syac.g_00207	Prbn.g_00724
OG0000053	Syac.g_01657	Prbn.g_00233, Prbn.g_01690
OG0000054	Syac.g_00933, Syac.g_01050	Prbn.g_00508
OG0000055	Syac.g_01034	Prbn.g_01719
OG0000057	Syac.g_00894	Prbn.g_01562
OG0000058	Syac.g_00226	Prbn.g_00172
OG0000059	Syac.g_02142	Prbn.g_01833
OG0000061	Syac.g_00769	Prbn.g_01189
OG0000062	Syac.g_00567	Prbn.g_00897
OG0000063	Syac.g_00037	Prbn.g_00130
OG0000064	Syac.g_00575, Syac.g_01567	Prbn.g_00710
OG0000065	Syac.g_00396, Syac.g_00490	Prbn.g_01312
OG0000066	Syac.g_01827	Prbn.g_00577, Prbn.g_01657
OG0000067	Syac.g_01341	Prbn.g_01546
OG0000068	Syac.g_01916	Prbn.g_01240
OG0000069	Syac.g_01272	Prbn.g_00659
OG0000070	Syac.g_00711	Prbn.g_00663
OG0000071	Syac.g_01049, Syac.g_00729	Prbn.g_01084
OG0000072	Syac.g_00302	Prbn.g_00383
OG0000073	Syac.g_01883	Prbn.g_00614
OG0000075	Syac.g_00191	Prbn.g_01917
OG0000076	Syac.g_00156	Prbn.g_00996
OG0000077	Syac.g_00439	Prbn.g_01342
OG0000078	Syac.g_01964	Prbn.g_00310
OG0000079	Syac.g_02211	Prbn.g_00018
OG0000081	Syac.g_01954, Syac.g_00461	Prbn.g_00585
OG0000082	Syac.g_01766	Prbn.g_00530, Prbn.g_01734
OG0000084	Syac.g_00822, Syac.g_01627	Prbn.g_00209
OG0000085	Syac.g_00560	Prbn.g_00144, Prbn.g_01737
OG0000086	Syac.g_00423	Prbn.g_01333
OG0000087	Syac.g_00343	Prbn.g_01278
OG0000088	Syac.g_00308	Prbn.g_01247
OG0000089	Syac.g_01988, Syac.g_01543	Prbn.g_00696
OG0000090	Syac.g_01836	Prbn.g_00583
