Orthogroup	Praa	Syat
OG0000001	Praa.g_01351	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Praa.g_01648	Syat.g_03065
OG0000005	Praa.g_01553	Syat.g_03105
OG0000006	Praa.g_00241, Praa.g_01245	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Praa.g_00497	Syat.g_03191
OG0000007	Praa.g_01635	Syat.g_03124
OG0000008	Praa.g_01241	Syat.g_02626
OG0000009	Praa.g_00105	Syat.g_01567
OG0000010	Praa.g_01047	Syat.g_01372
OG0000012	Praa.g_00623	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Praa.g_00327	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Praa.g_00306	Syat.g_02104
OG0000014	Praa.g_01409	Syat.g_03196, Syat.g_02250
OG0000015	Praa.g_00765	Syat.g_00775, Syat.g_01677
OG0000016	Praa.g_00013	Syat.g_02329
OG0000017	Praa.g_00598	Syat.g_00015
OG0000018	Praa.g_01141	Syat.g_01334
OG0000019	Praa.g_00249, Praa.g_00782	Syat.g_01876
OG0000021	Praa.g_01623, Praa.g_00364	Syat.g_00964
OG0000022	Praa.g_01124	Syat.g_00210
OG0000024	Praa.g_00747, Praa.g_00675	Syat.g_03394
OG0000025	Praa.g_00331, Praa.g_00839	Syat.g_00719
OG0000026	Praa.g_00031, Praa.g_01054	Syat.g_02306
OG0000027	Praa.g_00470, Praa.g_01301	Syat.g_00850
OG0000028	Praa.g_01248, Praa.g_00320	Syat.g_02126
OG0000030	Praa.g_01842	Syat.g_00307, Syat.g_00308
OG0000033	Praa.g_01437	Syat.g_02858
OG0000034	Praa.g_01328	Syat.g_01165, Syat.g_02902
OG0000035	Praa.g_01476	Syat.g_01227, Syat.g_01226
OG0000037	Praa.g_00109	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Praa.g_01883	Syat.g_02688, Syat.g_02686
OG0000039	Praa.g_00686	Syat.g_01278
OG0000040	Praa.g_01140	Syat.g_02551
OG0000041	Praa.g_01683	Syat.g_00785, Syat.g_03006
OG0000042	Praa.g_01839	Syat.g_00223, Syat.g_02222
OG0000048	Praa.g_00373	Syat.g_02046
